roundID,gameID,trialNum,block,selectionMadeAt,correct,stage_started,stage_ended,playerID,renderedAt
01M0WXAW6JASYZN5773BMW2RT0,01M0WWQ74H7CSGCPAHPDSCJ0PV,4,1,1787677872117,TRUE,2026-08-25T17:10:41Z,2026-08-25T17:11:12Z,01M0WX9MXH1SX7Q50079HW9F7E,1787677841688
01M0WXAW6JASYZN5773BMW2RT0,01M0WWQ74H7CSGCPAHPDSCJ0PV,4,1,1787677872117,TRUE,2026-08-25T17:10:41Z,2026-08-25T17:11:12Z,01M0WX667JRE4461924BYZ6YJ1,1787677841483
01M0WY4F1Z2P22052AFSXPAPVE,01M0WWQ9XVXJV1JR4118CY5W09,44,4,1787678951870,TRUE,2026-08-25T17:29:02Z,2026-08-25T17:29:11Z,01M0WY0C090AZDG2K9X542KKDB,1787678942459
01M0WY4F1Z2P22052AFSXPAPVE,01M0WWQ9XVXJV1JR4118CY5W09,44,4,1787678951870,TRUE,2026-08-25T17:29:02Z,2026-08-25T17:29:11Z,01M0WY0ENCGBGZ9MKY7CZKA71D,1787678942656
01M0WY8WP8X35ATRH4ERPHZP37,01M0WWQAZTRSENW9JN2FSQ4BA7,32,3,1787678810453,TRUE,2026-08-25T17:26:37Z,2026-08-25T17:26:49Z,01M0WY09KXZQGZCXQXZTYFDW8C,1787678799115
01M0WY8WP8X35ATRH4ERPHZP37,01M0WWQAZTRSENW9JN2FSQ4BA7,32,3,1787678810453,TRUE,2026-08-25T17:26:37Z,2026-08-25T17:26:49Z,01M0WY0YPE1FGB7GNWHKCY08ZN,1787678797579
01M0WY8WSXSNF5FRNC4KEW1T4G,01M0WWQAZTRSENW9JN2FSQ4BA7,6,1,1787678144868,TRUE,2026-08-25T17:15:08Z,2026-08-25T17:15:43Z,01M0WY09KXZQGZCXQXZTYFDW8C,1787678110512
01M0WY8WSXSNF5FRNC4KEW1T4G,01M0WWQAZTRSENW9JN2FSQ4BA7,6,1,1787678144868,TRUE,2026-08-25T17:15:08Z,2026-08-25T17:15:43Z,01M0WY0YPE1FGB7GNWHKCY08ZN,1787678108976
01M0WYEEV0DQVNVEF77K0V0M67,01M0WWQAZRRWZPK3N7VE24RFV2,0,1,NA,FALSE,2026-08-25T17:26:59Z,2026-08-25T17:27:59Z,01M0WYD27PCMGYRRX23HHYX14S,1787678819163
01M0WXAWAXBFKD0KXHS3Z0DKRM,01M0WWQ74H7CSGCPAHPDSCJ0PV,36,4,1787678639546,TRUE,2026-08-25T17:23:23Z,2026-08-25T17:23:59Z,01M0WX9MXH1SX7Q50079HW9F7E,1787678603138
01M0WXAWAXBFKD0KXHS3Z0DKRM,01M0WWQ74H7CSGCPAHPDSCJ0PV,36,4,1787678639546,TRUE,2026-08-25T17:23:23Z,2026-08-25T17:23:59Z,01M0WX667JRE4461924BYZ6YJ1,1787678603058
01M0WY7G4XNVATRXACH49P4VM2,01M0WWQ9XW83PGVA4HF3WT9HVR,0,1,NA,FALSE,2026-08-25T17:21:03Z,2026-08-25T17:22:03Z,01M0WY0ECEQWZG8FEZD72ENETD,1787678463085
01M0WY7G4XNVATRXACH49P4VM2,01M0WWQ9XW83PGVA4HF3WT9HVR,0,1,NA,FALSE,2026-08-25T17:21:03Z,2026-08-25T17:22:03Z,01M0WXR5QX7RT0467EJCPJ9Y2Y,1787678463110
01M0WY8WVSNJN2FR44XPSXYA80,01M0WWQAZTRSENW9JN2FSQ4BA7,1,1,1787677932183,TRUE,2026-08-25T17:11:49Z,2026-08-25T17:12:12Z,01M0WY09KXZQGZCXQXZTYFDW8C,1787677910735
01M0WY8WVSNJN2FR44XPSXYA80,01M0WWQAZTRSENW9JN2FSQ4BA7,1,1,1787677932183,TRUE,2026-08-25T17:11:49Z,2026-08-25T17:12:12Z,01M0WY0YPE1FGB7GNWHKCY08ZN,1787677909087
01M0WY96B3MFS9AT30KA8XQQ97,01M0WWQAZPP7VBJF1WXDE2YKFW,16,2,1787679563295,TRUE,2026-08-25T17:38:52Z,2026-08-25T17:39:22Z,01M0WXSYNRXCYGT80QAR430CBD,1787679533024
01M0WY96B3MFS9AT30KA8XQQ97,01M0WWQAZPP7VBJF1WXDE2YKFW,16,2,1787679563295,TRUE,2026-08-25T17:38:52Z,2026-08-25T17:39:22Z,01M0WY2T8PBZPVGKC7BWFHJ59J,1787679533400
01M0WXAW6MCBTQKKX5115PB283,01M0WWQ74H7CSGCPAHPDSCJ0PV,45,4,1787678802760,TRUE,2026-08-25T17:26:32Z,2026-08-25T17:26:42Z,01M0WX9MXH1SX7Q50079HW9F7E,1787678792331
01M0WXAW6MCBTQKKX5115PB283,01M0WWQ74H7CSGCPAHPDSCJ0PV,45,4,1787678802760,TRUE,2026-08-25T17:26:32Z,2026-08-25T17:26:42Z,01M0WX667JRE4461924BYZ6YJ1,1787678792248
01M0WXEBBQ5MR21WMTRCENC0QH,01M0WWQ74M3NWYAJGQB0ESKAD2,23,2,NA,NA,NA,2026-08-25T16:53:18Z,NA,NA
01M0WY4ESGQWQASYKCRNDT39H1,01M0WWQ9XVXJV1JR4118CY5W09,5,1,1787678177170,TRUE,2026-08-25T17:15:58Z,2026-08-25T17:16:17Z,01M0WY0ENCGBGZ9MKY7CZKA71D,1787678159182
01M0WY4ESGQWQASYKCRNDT39H1,01M0WWQ9XVXJV1JR4118CY5W09,5,1,1787678177170,TRUE,2026-08-25T17:15:58Z,2026-08-25T17:16:17Z,01M0WY0C090AZDG2K9X542KKDB,1787678159067
01M0WY8D75MBZ2RD4XN9AGWAFJ,01M0WWQ9XT2Q7RF2RHNCTTRDNK,46,4,1787680232650,TRUE,2026-08-25T17:50:16Z,2026-08-25T17:50:32Z,01M0WY1V9QET0HYE5N0547967Y,1787680217343
01M0WY8D75MBZ2RD4XN9AGWAFJ,01M0WWQ9XT2Q7RF2RHNCTTRDNK,46,4,1787680232650,TRUE,2026-08-25T17:50:16Z,2026-08-25T17:50:32Z,01M0WY1FH5WQS14DQ3V446M8AM,1787680216537
01M0WXAW6JASYZN57723MQ4H3T,01M0WWQ74H7CSGCPAHPDSCJ0PV,26,3,1787678420731,TRUE,2026-08-25T17:20:07Z,2026-08-25T17:20:20Z,01M0WX9MXH1SX7Q50079HW9F7E,1787678408006
01M0WXAW6JASYZN57723MQ4H3T,01M0WWQ74H7CSGCPAHPDSCJ0PV,26,3,1787678420731,TRUE,2026-08-25T17:20:07Z,2026-08-25T17:20:20Z,01M0WX667JRE4461924BYZ6YJ1,1787678407957
01M0WYEEXK74K55ZS7TV1DZ2SD,01M0WWQAZRRWZPK3N7VE24RFV2,37,4,NA,NA,NA,2026-08-25T17:10:51Z,NA,NA
01M0WXAW4BB3B1AF8G7BC14NZD,01M0WWQ74H7CSGCPAHPDSCJ0PV,3,1,1787677838155,FALSE,2026-08-25T17:10:01Z,2026-08-25T17:10:38Z,01M0WX9MXH1SX7Q50079HW9F7E,1787677801386
01M0WXAW4BB3B1AF8G7BC14NZD,01M0WWQ74H7CSGCPAHPDSCJ0PV,3,1,1787677838155,FALSE,2026-08-25T17:10:01Z,2026-08-25T17:10:38Z,01M0WX667JRE4461924BYZ6YJ1,1787677801354
01M0WXAW6NBMJ6BCMNQQ7HDMN9,01M0WWQ74H7CSGCPAHPDSCJ0PV,44,4,1787678788950,TRUE,2026-08-25T17:26:12Z,2026-08-25T17:26:28Z,01M0WX667JRE4461924BYZ6YJ1,1787678772060
01M0WXAW6NBMJ6BCMNQQ7HDMN9,01M0WWQ74H7CSGCPAHPDSCJ0PV,44,4,1787678788950,TRUE,2026-08-25T17:26:12Z,2026-08-25T17:26:28Z,01M0WX9MXH1SX7Q50079HW9F7E,1787678772109
01M0WXGEBFQ77THKEKZ2EJGQ73,01M0WWQ74ND1AHANTF309RNWJE,47,4,NA,NA,NA,2026-08-25T16:54:28Z,NA,NA
01M0WY7G4VMKY0JE3F94J4DGNW,01M0WWQ9XW83PGVA4HF3WT9HVR,47,4,1787679969301,TRUE,2026-08-25T17:45:53Z,2026-08-25T17:46:09Z,01M0WXR5QX7RT0467EJCPJ9Y2Y,1787679953824
01M0WY7G4VMKY0JE3F94J4DGNW,01M0WWQ9XW83PGVA4HF3WT9HVR,47,4,1787679969301,TRUE,2026-08-25T17:45:53Z,2026-08-25T17:46:09Z,01M0WY0ECEQWZG8FEZD72ENETD,1787679953573
