id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JH1853QB2X9QMAY3ZPVTM975,01JH16G2DGKHCBDNMABEKQVNAM,2025-01-07T20:44:00.107365341Z,01JH16G2JGQZGTF3X42GEXBVE1,2025-01-07T20:44:00.107365341Z,01JH16T46ECRT2DCA0TCK3A9FY,2025-01-07T20:44:00.107365341Z,01JH172D6J677FJ969XMJT4RCZ,2025-01-07T20:44:00.107365341Z,01JH172KHQWWQWNRWRJ77R8MV1,2025-01-07T20:44:00.107365341Z,,
01JH18755ZTF266N5407E205S6,01JH16G2DGKHCBDNMABEKQVNAM,2025-01-07T20:45:07.135906233Z,01JH16G2JGQZGTF3X42GEXBVE1,2025-01-07T20:45:07.135906233Z,01JH16T46ECRT2DCA0TCK3A9FY,2025-01-07T20:45:07.135906233Z,01JH172DCGK58W25W3JHNGJWWJ,2025-01-07T20:45:07.135906233Z,01JH172M4FAMPR39GZ50ZNFW0R,2025-01-07T20:45:07.135906233Z,true,2025-01-07T20:45:31.132306651Z
01JH18825WJQ1M85A5PYXBDW4T,01JH16GC64174T7CVHW3RPJ4WS,2025-01-07T20:45:36.828660888Z,01JH16GC9W6FMGAV86655KYY63,2025-01-07T20:45:36.828660888Z,01JH16W8EY1V73TD5KGBAMNVQ9,2025-01-07T20:45:36.828660888Z,01JH17B9V692MNVTC5GMQDHZGN,2025-01-07T20:45:36.828660888Z,01JH17BE158Y1AQ5EGEVDH6FAX,2025-01-07T20:45:36.828660888Z,,
01JH17QF68ENVT0R3CBCRREJYW,01JH16G2DGKHCBDNMABEKQVNAM,2025-01-07T20:36:33.096701535Z,01JH16G2JGQZGTF3X42GEXBVE1,2025-01-07T20:36:33.096701535Z,01JH16KE9DJ3AKDCTWNY4P8HY4,2025-01-07T20:36:33.096701535Z,01JH172CG59QC478G491V8VRGG,2025-01-07T20:36:33.096701535Z,01JH172H8YY5EX7X0HMVPTKKM5,2025-01-07T20:36:33.096701535Z,,
01JH0ZH8XR0V6ZGQQJ4B5YB7X5,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:13:21.464237634Z,01JH0YPC4PQ2SZZT98DCX2XKP3,2025-01-07T18:13:21.464237634Z,01JH0YWVP8MYRHJX6GYK4YNCSQ,2025-01-07T18:13:21.464237634Z,01JH0Z60500RMSRKSRCDF05Y22,2025-01-07T18:13:21.464237634Z,01JH0Z60FCAQ8KGTMY6MNMZ25V,2025-01-07T18:13:21.464237634Z,,
01JH0ZQ65B7H0K0ZYGGAF7THVM,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:16:35.243260904Z,01JH0YW898ZZGZ4521HGEPZ2RP,2025-01-07T18:16:35.243260904Z,01JH0ZDNTCH13XZDTNSGWAN5YP,2025-01-07T18:16:35.243260904Z,01JH0ZNXG9MWBJQ9SJBD4A1JVD,2025-01-07T18:16:35.243260904Z,01JH0ZNXMBMYHVP9KG99TV33VF,2025-01-07T18:16:35.243260904Z,,
01JH10474Z5C6TXGC120JCYD83,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:23:42.239317982Z,01JH0YPC4NS99AQ4RGT50WE76D,2025-01-07T18:23:42.239317982Z,01JH0YVPJHJA484R92F8Q7QA88,2025-01-07T18:23:42.239317982Z,01JH0ZHYFD3G2KA3CWPKSG6A64,2025-01-07T18:23:42.239317982Z,01JH0ZHYV7AZ5011X30QFK4T86,2025-01-07T18:23:42.239317982Z,,
01JH10XVAVDJ5SHPA16KFXGJ4J,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:37:42.107868159Z,01JH0YPC4R1XMMR506PW3T899B,2025-01-07T18:37:42.107868159Z,01JH0ZFF7ZSP75ZGWGR8492XSG,2025-01-07T18:37:42.107868159Z,01JH0ZW9Q2CR5SQHDZWNT8HG5G,2025-01-07T18:37:42.107868159Z,01JH0ZWANV1MNDESNGKNFZ7VC5,2025-01-07T18:37:42.107868159Z,,
01JH11EJC7F89HC0D07TJQ0RMX,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:46:49.991074994Z,01JH0YW899PD6KSY7EQWBD7C81,2025-01-07T18:46:49.991074994Z,01JH10KQNGZFF28QS5MVWVGPEK,2025-01-07T18:46:49.991074994Z,01JH10TFXET52T2N19NN9H7EFR,2025-01-07T18:46:49.991074994Z,01JH10TH642VFYJCABPPVBNSWQ,2025-01-07T18:46:49.991074994Z,,
01JH15RPTXSQECP1KQ6BAJYQCP,01JH0ZJAX6SKCT4W7XVG490DBA,2025-01-07T20:02:16.541089058Z,01JH0ZJAXYW944PXCEPQ45X3TW,2025-01-07T20:02:16.541089058Z,01JH14EHNP0989SWS80XTG93E8,2025-01-07T20:02:16.541089058Z,01JH150DSWEEG3P9FWGDASWT1H,2025-01-07T20:02:16.541089058Z,01JH150G1T1GJXFZ4FQ66YCFSS,2025-01-07T20:02:16.541089058Z,,
01JH107HFGKKV0Y08JTSESYPX3,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:25:31.120766486Z,01JH0YPC4NS99AQ4RGT50WE76D,2025-01-07T18:25:31.120766486Z,01JH0YVPJHJA484R92F8Q7QA88,2025-01-07T18:25:31.120766486Z,01JH0ZHYF12279FJNJNQB60RGC,2025-01-07T18:25:31.120766486Z,01JH0ZHYZQNA1WW0WNQK2H7Y7H,2025-01-07T18:25:31.120766486Z,,
01JH114WW7GYG0HSVYNFRWXZM1,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:41:33.06352808Z,01JH0YW898ZZGZ4521HGEPZ2RP,2025-01-07T18:41:33.06352808Z,01JH0ZGCE0SZNDNF9KEBZD782P,2025-01-07T18:41:33.06352808Z,01JH0ZNXHN85PEX6P7QZ154P02,2025-01-07T18:41:33.06352808Z,01JH0ZNYAPMYJ9SQ134M0J1GGX,2025-01-07T18:41:33.06352808Z,true,2025-01-07T18:42:22.101235945Z
01JH11M5M4T9HVWKZBXS3E5TZA,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:49:53.540478246Z,01JH0YW898ZZGZ4521HGEPZ2RP,2025-01-07T18:49:53.540478246Z,01JH0ZGCE0SZNDNF9KEBZD782P,2025-01-07T18:49:53.540478246Z,01JH0ZNXJM96E24Y5VDF7YFCP3,2025-01-07T18:49:53.540478246Z,01JH0ZNYM0V84ZCWKHN86SM06W,2025-01-07T18:49:53.540478246Z,,
01JH186WHHXMDN3XWYSY7GMM6X,01JH16GC64174T7CVHW3RPJ4WS,2025-01-07T20:44:58.289463278Z,01JH16GC9W6FMGAV86655KYY63,2025-01-07T20:44:58.289463278Z,01JH16R0FXPRTDDKM3EZ4AHETJ,2025-01-07T20:44:58.289463278Z,01JH17B9XXR44CCP4F9SNN0T34,2025-01-07T20:44:58.289463278Z,01JH17BDR165VNBHT5DP5RHAJQ,2025-01-07T20:44:58.289463278Z,,
01JH11RA3E92QAXDJNDZK0W5JB,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:52:09.198621462Z,01JH0YW899PD6KSY7EQWBD7C81,2025-01-07T18:52:09.198621462Z,01JH10KQNGZFF28QS5MVWVGPEK,2025-01-07T18:52:09.198621462Z,01JH10TG1C0ZPZEJXEGM0BM156,2025-01-07T18:52:09.198621462Z,01JH10THZ7QJEFSRK17340VAY7,2025-01-07T18:52:09.198621462Z,,
