id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JH150KSDY7BXP9N7FW589BJ8,01JH0ZJAX6SKCT4W7XVG490DBA,2025-01-07T19:49:06.989978267Z,60,2025-01-07T19:49:06.989978267Z,true,2025-01-07T20:29:06.031675227Z,01JH0ZJAXYW944PXCEPQ45X3TW,2025-01-07T19:49:06.989978267Z,0,2025-01-07T19:49:06.989978267Z,true,2025-01-07T20:28:37.180085059Z,selection,2025-01-07T19:49:06.989978267Z,01JH150ED8Q7WKRVEWCMDN3VA7,2025-01-07T19:49:06.989978267Z,true,2025-01-07T20:28:37.060707987Z,true,2025-01-07T20:28:37.261140701Z,01JH150KRZ7V7GHC466HF2BTV5,2025-01-07T19:49:06.989978267Z
01JH0ZHYHH67928SDAMANZ1CW4,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:13:43.601674266Z,3,2025-01-07T18:13:43.601674266Z,true,2025-01-07T18:16:02.647559714Z,01JH0YPC4NS99AQ4RGT50WE76D,2025-01-07T18:13:43.601674266Z,1,2025-01-07T18:13:43.601674266Z,true,2025-01-07T18:15:59.62983625Z,feedback,2025-01-07T18:13:43.601674266Z,01JH0ZHYDF5B63MY0FZCHB1994,2025-01-07T18:13:43.601674266Z,true,2025-01-07T18:15:59.588453311Z,true,2025-01-07T18:15:59.640371961Z,01JH0ZHYHDFS3WHPCZ5GCMEVQV,2025-01-07T18:13:43.601674266Z
01JH0ZNXXEZBKA0M3R8N4GHACH,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:15:54.030758248Z,60,2025-01-07T18:15:54.030758248Z,true,2025-01-07T18:26:40.250770601Z,01JH0YW898ZZGZ4521HGEPZ2RP,2025-01-07T18:15:54.030758248Z,0,2025-01-07T18:15:54.030758248Z,true,2025-01-07T18:25:49.493301513Z,selection,2025-01-07T18:15:54.030758248Z,01JH0ZNXHA8DY6CTSXEJX8P0RM,2025-01-07T18:15:54.030758248Z,true,2025-01-07T18:25:49.465572836Z,true,2025-01-07T18:25:49.517780578Z,01JH0ZNXX6TSDA1B8YXB7VWFSW,2025-01-07T18:15:54.030758248Z
01JH0ZNYQJGCYV0V50E15DY5W4,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:15:54.866217805Z,60,2025-01-07T18:15:54.866217805Z,true,2025-01-07T18:54:06.97532223Z,01JH0YW898ZZGZ4521HGEPZ2RP,2025-01-07T18:15:54.866217805Z,0,2025-01-07T18:15:54.866217805Z,true,2025-01-07T18:53:21.223794642Z,selection,2025-01-07T18:15:54.866217805Z,01JH0ZNXJWXVM7JTKWH10CQFBG,2025-01-07T18:15:54.866217805Z,true,2025-01-07T18:53:21.14920404Z,true,2025-01-07T18:53:21.257215468Z,01JH0ZNYQBA8CVZHYJ30TZT91R,2025-01-07T18:15:54.866217805Z
01JH105F85RJ5FPRF3NG3XN66K,01JH0YW88SXQAVDXG9KWSJX4BN,2025-01-07T18:24:23.301305746Z,3,2025-01-07T18:24:23.301305746Z,true,2025-01-07T18:27:14.477067263Z,01JH0YW899PD6KSY7EQEAXBBBC,2025-01-07T18:24:23.301305746Z,1,2025-01-07T18:24:23.301305746Z,true,2025-01-07T18:27:11.437217013Z,feedback,2025-01-07T18:24:23.301305746Z,01JH105EXQ7GSZMMEKP2K0C1N7,2025-01-07T18:24:23.301305746Z,true,2025-01-07T18:27:11.413501662Z,true,2025-01-07T18:27:11.462643018Z,01JH105F7TRFDHVRD2W32MGK05,2025-01-07T18:24:23.301305746Z
01JH0ZHYT5NP0JJB2YB2Q12YBZ,01JH0YPC3EKRB8H02J43HQQMKS,2025-01-07T18:13:43.87788931Z,60,2025-01-07T18:13:43.87788931Z,true,2025-01-07T18:23:02.665313975Z,01JH0YPC4NS99AQ4RGT50WE76D,2025-01-07T18:13:43.87788931Z,0,2025-01-07T18:13:43.87788931Z,true,2025-01-07T18:22:46.100019798Z,selection,2025-01-07T18:13:43.87788931Z,01JH0ZHYEM0BW08SFQQZ2NV33X,2025-01-07T18:13:43.87788931Z,true,2025-01-07T18:22:46.067363304Z,true,2025-01-07T18:22:46.120169698Z,01JH0ZHYT0EXMD8TKP79A0WZF0,2025-01-07T18:13:43.87788931Z
01JH10G8AVRT41KMGBEAZ7P04V,01JH0ZJAX6SKCT4W7XVG490DBA,2025-01-07T18:30:16.667445498Z,60,2025-01-07T18:30:16.667445498Z,true,2025-01-07T18:59:53.785860118Z,01JH0ZJAXXGE7NR06XJDY2MWKW,2025-01-07T18:30:16.667445498Z,0,2025-01-07T18:30:16.667445498Z,true,2025-01-07T18:59:10.899833772Z,selection,2025-01-07T18:30:16.667445498Z,01JH10G6TJT5N8V8XFGRRJQZ0T,2025-01-07T18:30:16.667445498Z,true,2025-01-07T18:59:10.797347725Z,true,2025-01-07T18:59:10.953202581Z,01JH10G8ANBFZ9MSQNC70VV0A4,2025-01-07T18:30:16.667445498Z
01JH112MP9KDZYGQK924EC5B4C,01JH0ZW4PCB9TBDZMH5NWZ5G1E,2025-01-07T18:40:19.14541666Z,3,2025-01-07T18:40:19.14541666Z,false,2025-01-07T18:40:19.14541666Z,01JH0ZW4Q2AHGQD213SFSDFHFH,2025-01-07T18:40:19.14541666Z,1,2025-01-07T18:40:19.14541666Z,,,feedback,2025-01-07T18:40:19.14541666Z,01JH112K2ZEBBNJPMCZ3YRW3T9,2025-01-07T18:40:19.14541666Z,false,2025-01-07T18:40:19.14541666Z,,,01JH112MNRQKJFMX9NZ85SXEK2,2025-01-07T18:40:19.14541666Z
01JH10G73GXEEPBXG06BSRF2RZ,01JH0ZJAX6SKCT4W7XVG490DBA,2025-01-07T18:30:15.408148271Z,60,2025-01-07T18:30:15.408148271Z,true,2025-01-07T18:33:31.074176016Z,01JH0ZJAXXGE7NR06XJDY2MWKW,2025-01-07T18:30:15.408148271Z,0,2025-01-07T18:30:15.408148271Z,true,2025-01-07T18:32:59.458667412Z,selection,2025-01-07T18:30:15.408148271Z,01JH10G6P0QFWPRS4GDSXTYE9B,2025-01-07T18:30:15.408148271Z,true,2025-01-07T18:32:59.414376539Z,true,2025-01-07T18:32:59.491230464Z,01JH10G739ZH13ZCTKG0X5ZF57,2025-01-07T18:30:15.408148271Z
01JH16TFE58VGX7R24A8HJPKCG,01JH16G2DGKHCBDNMABEKQVNAM,2025-01-07T20:20:43.077642152Z,3,2025-01-07T20:20:43.077642152Z,false,2025-01-07T20:20:43.077642152Z,01JH16G2KK12WBJF9J75ZDWEXK,2025-01-07T20:20:43.077642152Z,1,2025-01-07T20:20:43.077642152Z,,,feedback,2025-01-07T20:20:43.077642152Z,01JH16TBYNRHFV0SDCYXMW11JQ,2025-01-07T20:20:43.077642152Z,false,2025-01-07T20:20:43.077642152Z,,,01JH16TFD9SCXG9E6CNVM62ED3,2025-01-07T20:20:43.077642152Z
