rt,response,trial_index,roundID,target,rotation,tangramURLs,director_msg,trial_type,time_elapsed,internal_node_id,annotationLabel,annotation
"4680","[object Object]","1","01JHRNQJK61FGT1RHQZ13D3EGC","tangrams/198_70.png","270","tangrams/337_55.png,tangrams/390_91.png,tangrams/198_70.png,tangrams/182_320.png","S shape and zig zaggy arrows diamonds","survey-html-form","4683","0.0-0.0","top_bottom","top_bottom"
"4462","[object Object]","2","01JHRNQJJ6T7WDVG0421VQ9RQD","tangrams/182_55.png","270","tangrams/182_55.png,tangrams/337_70.png,tangrams/390_91.png,tangrams/198_320.png","normal arrow on left side man on right","survey-html-form","9149","0.0-1.0","top_bottom","top_bottom"
"1947","[object Object]","3","01JHRNQJP978DDX8MVBM3WZBPP","tangrams/182_320.png","270","tangrams/182_320.png,tangrams/198_70.png,tangrams/390_91.png,tangrams/337_55.png","arrow on left L shape on right","survey-html-form","11099","0.0-2.0","top_bottom","top_bottom"
"2349","[object Object]","4","01JHRNQJQAEM0HP4CR4DEER1E5","tangrams/337_70.png","270","tangrams/198_55.png,tangrams/390_91.png,tangrams/337_70.png,tangrams/182_320.png","two feet pointing left and zig zaggy arrow pointing right","survey-html-form","13450","0.0-3.0","top_bottom","top_bottom"
"2347","[object Object]","5","01JHRNQJN9TJJT11F394MNC58G","tangrams/337_91.png","270","tangrams/337_91.png,tangrams/390_55.png,tangrams/182_320.png,tangrams/198_70.png","legs on left arrow pointing into shape on right","survey-html-form","15798","0.0-4.0","top_bottom","top_bottom"
"3981","[object Object]","6","01JHRNQJM6337W0C0A7F6H845B","tangrams/337_320.png","270","tangrams/337_320.png,tangrams/182_91.png,tangrams/198_70.png,tangrams/390_55.png","one leg pointing right","survey-html-form","19782","0.0-5.0","top","top"
"3815","[object Object]","7","01JHRNQJH57P78TEK2A9JRQEK3","tangrams/182_91.png","270","tangrams/198_55.png,tangrams/390_320.png,tangrams/337_70.png,tangrams/182_91.png","normal looking arrow on the left side","survey-html-form","23598","0.0-6.0","top","top"
"3698","[object Object]","8","01JHRNQJG4S5EK7XGVKQPG6XCK","tangrams/390_55.png","270","tangrams/337_320.png,tangrams/182_70.png,tangrams/390_55.png,tangrams/198_91.png","heart on left man on right","survey-html-form","27298","0.0-7.0","top_bottom","top_bottom"
"2740","[object Object]","9","01JHRNQJD2JNDDWQM369YVK2CE","tangrams/390_70.png","270","tangrams/337_55.png,tangrams/390_70.png,tangrams/198_91.png,tangrams/182_320.png","heart shape on left and diamonds on right","survey-html-form","30040","0.0-8.0","top_bottom","top_bottom"
"7021","[object Object]","10","01JHRNQJSDE8BV81A05RF1VJVE","tangrams/198_55.png","270","tangrams/198_55.png,tangrams/182_91.png,tangrams/390_70.png,tangrams/337_320.png","man holding up one arm on the left","survey-html-form","37064","0.0-9.0","top","top"
