rt,response,trial_index,roundID,target,rotation,tangramURLs,director_msg,trial_type,time_elapsed,internal_node_id,annotationLabel,annotation
"16405","[object Object]","1","01JJ02Z95BHTW1E63TK81JSVH1","tangrams/359_386.png","270","tangrams/398_356.png,tangrams/359_386.png,tangrams/319_448.png,tangrams/99_437.png","Human with mouth open facing the left","survey-html-form","16406","0.0-0.0","holistic","holistic"
"5828","[object Object]","2","01JJ02Z9546FWAQVH4T65VDRRH","tangrams/176_305.png","270","tangrams/438_268.png,tangrams/284_68.png,tangrams/176_305.png,tangrams/336_52.png","hexagon in its right","survey-html-form","22238","0.0-1.0","bottom","bottom"
"3516","[object Object]","3","01JJ02Z97MGKHJ6JA7FPZRBQ9G","tangrams/142_251.png","270","tangrams/142_251.png,tangrams/351_274.png,tangrams/438_268.png,tangrams/284_68.png","Duck with beak facing down","survey-html-form","25755","0.0-2.0","holistic","holistic"
"3448","[object Object]","4","01JJ02Z98KE7KSFG5KP3BWM8JE","tangrams/370_454.png","270","tangrams/336_52.png,tangrams/36_0.png,tangrams/370_454.png,tangrams/299_73.png","shaped like a backslash","survey-html-form","29205","0.0-3.0","holistic","holistic"
"5765","[object Object]","5","01JJ02Z95J41BT09GXP7GHZY70","tangrams/27_48.png","270","tangrams/191_343.png,tangrams/27_48.png,tangrams/299_73.png,tangrams/398_356.png","3 spikes on it sides looks like a club","survey-html-form","34971","0.0-4.0","holistic","holistic"
"6048","[object Object]","6","01JJ02Z97CBY333CA7AMAA9NS0","tangrams/36_0.png","270","tangrams/284_68.png,tangrams/36_0.png,tangrams/299_73.png,tangrams/319_448.png","Irregular bottom square like","survey-html-form","41022","0.0-5.0","holistic","holistic"
"10363","[object Object]","7","01JJ02Z962ADPWFA2CF4E3QAY2","tangrams/116_218.png","270","tangrams/116_218.png,tangrams/299_73.png,tangrams/359_386.png,tangrams/319_448.png","Diamond shaped disconnected on the left","survey-html-form","51387","0.0-6.0","bottom","bottom"
"2865","[object Object]","8","01JJ02Z969YHB4PQK94J44V2KJ","tangrams/284_68.png","270","tangrams/27_48.png,tangrams/336_52.png,tangrams/284_68.png,tangrams/299_73.png","4 similar spikes on the left","survey-html-form","54254","0.0-7.0","top","top"
"3064","[object Object]","9","01JJ02Z98BPA2FA4DA0DDYT412","tangrams/351_274.png","270","tangrams/99_437.png,tangrams/351_274.png,tangrams/284_68.png,tangrams/116_218.png","Tree thats slanted","survey-html-form","57321","0.0-8.0","holistic","holistic"
"5765","[object Object]","10","01JJ02Z98TNGFDF9BQ2WD07P6J","tangrams/438_268.png","270","tangrams/116_218.png,tangrams/438_268.png,tangrams/359_386.png,tangrams/299_73.png","Insect with two antennas and a mouth","survey-html-form","63087","0.0-9.0","holistic","holistic"
"2565","[object Object]","11","01JJ02Z97W6NMAEH0R0GH8VKRE","tangrams/191_343.png","270","tangrams/299_73.png,tangrams/191_343.png,tangrams/359_386.png,tangrams/27_48.png","Bull s head","survey-html-form","65655","0.0-10.0","holistic","holistic"
"2541","[object Object]","12","01JJ02Z94MN575PBQT0P20C6Y6","tangrams/299_73.png","270","tangrams/116_218.png,tangrams/319_448.png,tangrams/359_386.png,tangrams/299_73.png","wine glasss with a lid","survey-html-form","68204","0.0-11.0","holistic","holistic"
"4899","[object Object]","13","01JJ02Z96QAG1JXE5AHJFWDNB3","tangrams/319_448.png","270","tangrams/27_48.png,tangrams/398_356.png,tangrams/319_448.png,tangrams/284_68.png","dinosaur facing the right with a wide booty","survey-html-form","73104","0.0-12.0","holistic","holistic"
"3230","[object Object]","14","01JJ02Z96GZSB2MSTZQY3BABYM","tangrams/99_437.png","270","tangrams/99_437.png,tangrams/284_68.png,tangrams/116_218.png,tangrams/319_448.png","Letter N to the right","survey-html-form","76337","0.0-13.0","bottom","bottom"
"2782","[object Object]","15","01JJ02Z975MFHA1CSR34M0AXCE","tangrams/336_52.png","270","tangrams/398_356.png,tangrams/336_52.png,tangrams/299_73.png,tangrams/370_454.png","E to the right","survey-html-form","79121","0.0-14.0","bottom","bottom"
"5048","[object Object]","16","01JJ02Z9840JS5CM8ZYZYN43EZ","tangrams/398_356.png","270","tangrams/142_251.png,tangrams/398_356.png,tangrams/27_48.png,tangrams/336_52.png","Looks like letter N","survey-html-form","84170","0.0-15.0","holistic","holistic"
"3097","[object Object]","17","01JJCYVVVA3SERPHT41BBXAQE2","tangrams/35_194.png","180","tangrams/460_68.png,tangrams/179_89.png,tangrams/35_194.png,tangrams/36_307.png","rectangular hole","survey-html-form","87270","0.0-16.0","bottom","bottom"
"24349","[object Object]","18","01JJCYVVT2QWB7NY08F6Z2HATB","tangrams/35_89.png","180","tangrams/35_89.png,tangrams/179_68.png,tangrams/36_307.png,tangrams/460_194.png","fat rocket no hole","survey-html-form","111620","0.0-17.0","top_bottom","top_bottom"
"2664","[object Object]","19","01JJCYVVR33C1T31X5MG1JSAMY","tangrams/179_307.png","180","tangrams/460_68.png,tangrams/36_194.png,tangrams/179_307.png,tangrams/35_89.png","arms up","survey-html-form","114286","0.0-18.0","bottom","bottom"
"2115","[object Object]","20","01JJCYVVGE3APC4J13JDVM7MH8","tangrams/36_307.png","180","tangrams/460_89.png,tangrams/35_68.png,tangrams/179_194.png,tangrams/36_307.png","arms up","survey-html-form","116404","0.0-19.0","bottom","bottom"
