id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01J1GEV00ZQVRYWM75EAWMG1QE,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:18:15.967348164Z,01J1GC6FWTB9WWY47TTH34ZJK7,2024-06-28T22:18:15.967348164Z,01J1GCKBHNTZ4R2CYPVBZ3H75Z,2024-06-28T22:18:15.967348164Z,01J1GDKAYEV5HTXHD3KW6HK9QS,2024-06-28T22:18:15.967348164Z,01J1GDKC33TX44TEG3C5P8PPE0,2024-06-28T22:18:15.967348164Z,true,2024-06-28T22:18:32.841489574Z
01J1GF37YARKWRV2J9QPW2B8M4,01J1GDGVAB7DT53BEJKAXEN00S,2024-06-28T22:22:46.218929778Z,01J1GDGVB9VD9QZM57WJNGBSE3,2024-06-28T22:22:46.218929778Z,01J1GDRY8S6N8FJXWF352C4CWD,2024-06-28T22:22:46.218929778Z,01J1GDXJQTQJNGKZ9YRT8W77QS,2024-06-28T22:22:46.218929778Z,01J1GDXMDGYZEC20DJXDEG1RTA,2024-06-28T22:22:46.218929778Z,,
01J1GEBV10KEPH9APEJJPTV31S,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:09:59.32896736Z,01J1GC6FWRQ635VP9NEJPYXAAA,2024-06-28T22:09:59.32896736Z,01J1GCFFT5VZKE8R0766EQR2EM,2024-06-28T22:09:59.32896736Z,01J1GD6H6W76T5GVP02JEDNJ9A,2024-06-28T22:09:59.32896736Z,01J1GD6J834GMWE4GMMT3VBH47,2024-06-28T22:09:59.32896736Z,,
01J1GESHPDD39RCVSQ64NCXS2B,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:17:28.525884071Z,01J1GC6FWTB9WWY47TTH34ZJK7,2024-06-28T22:17:28.525884071Z,01J1GCKBHNTZ4R2CYPVBZ3H75Z,2024-06-28T22:17:28.525884071Z,01J1GDKAYP6C9WYEEVC4YMMTPJ,2024-06-28T22:17:28.525884071Z,01J1GDKC1BW39CEAFDWY8NRGMV,2024-06-28T22:17:28.525884071Z,true,2024-06-28T22:17:47.840850901Z
01J1GF3RCRJBE98JAFJ4Y8EF32,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:23:03.064561471Z,01J1GC6FWTB9WWY47TTH34ZJK7,2024-06-28T22:23:03.064561471Z,01J1GDABVD6WHGSHJ552PVS5N8,2024-06-28T22:23:03.064561471Z,01J1GDKB0EG59Y8HGJCNQE039K,2024-06-28T22:23:03.064561471Z,01J1GDKCF86PCK015Q68VY0T6X,2024-06-28T22:23:03.064561471Z,true,2024-06-28T22:23:17.421096769Z
01J1GDWJ0WEYZ9N4S5MGQC656C,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:01:38.588725754Z,01J1GC6FWRQ635VP9NEJPYXAAA,2024-06-28T22:01:38.588725754Z,01J1GCFFT5VZKE8R0766EQR2EM,2024-06-28T22:01:38.588725754Z,01J1GD6H6DKV59BQSR4NK6G9CE,2024-06-28T22:01:38.588725754Z,01J1GD6HRJ93VSBREEGWTJ5TSZ,2024-06-28T22:01:38.588725754Z,,
01J1GEY021VPCYJV3Z4DK0MRE9,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:19:54.305623483Z,01J1GC6FWTB9WWY47TTH34ZJK7,2024-06-28T22:19:54.305623483Z,01J1GDABVD6WHGSHJ552PVS5N8,2024-06-28T22:19:54.305623483Z,01J1GDKAZZJFSG6PJABHNP7RN7,2024-06-28T22:19:54.305623483Z,01J1GDKC6M25JHAERHKPRW0HFE,2024-06-28T22:19:54.305623483Z,,
01J1GF2GV1ERANRD9N0W5T7GE1,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:22:22.561493113Z,01J1GC6FWTB9WWY47TTH34ZJK7,2024-06-28T22:22:22.561493113Z,01J1GDABVD6WHGSHJ552PVS5N8,2024-06-28T22:22:22.561493113Z,01J1GDKB026R6ZKS8QK4AFP40D,2024-06-28T22:22:22.561493113Z,01J1GDKCDDX0J3V3Y4QT5651JZ,2024-06-28T22:22:22.561493113Z,true,2024-06-28T22:22:34.930167207Z
01J1GF37YYY12MR197JF9YWCCC,01J1GDGVAB7DT53BEJKAXEN00S,2024-06-28T22:22:46.238735288Z,01J1GDGVB9VD9QZM57WJNGBSE3,2024-06-28T22:22:46.238735288Z,01J1GDPY8DBDQZWT21D9T9C2SY,2024-06-28T22:22:46.238735288Z,01J1GDXJQTQJNGKZ9YRT8W77QS,2024-06-28T22:22:46.238735288Z,01J1GDXMDGYZEC20DJXDEG1RTA,2024-06-28T22:22:46.238735288Z,,
01J1GDP55W7FBFT7Q32E0RK9J4,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:58:08.828394923Z,01J1GBK26CYMKC01RC7CNKBGM1,2024-06-28T21:58:08.828394923Z,01J1GCXRR9A6DSJ0SRBJ6CCP9P,2024-06-28T21:58:08.828394923Z,01J1GD4CWYYDEAT46Y1NHW4X7B,2024-06-28T21:58:08.828394923Z,01J1GD4DNZYGKMPGKZP5NQE3BA,2024-06-28T21:58:08.828394923Z,true,2024-06-28T21:58:14.212918366Z
01J1GE4X4NDBJQB79E2PSFTMKC,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:06:12.117041926Z,01J1GC6FWV623Q1S58FYC029H6,2024-06-28T22:06:12.117041926Z,01J1GCKZWY6P0KJD736C8JZX44,2024-06-28T22:06:12.117041926Z,01J1GDVA9DRR1YHA6DFXMYMZR6,2024-06-28T22:06:12.117041926Z,01J1GDVBBZWFRHYKKGJ4W0ANPA,2024-06-28T22:06:12.117041926Z,true,2024-06-28T22:06:23.309319572Z
01J1GEG9WWFCAFZTBP2RM35YT7,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:12:25.628772802Z,01J1GC6FWV623Q1S58FYC029H6,2024-06-28T22:12:25.628772802Z,01J1GCKZWY6P0KJD736C8JZX44,2024-06-28T22:12:25.628772802Z,01J1GDVAEPPDHEZY4NKYKW7PPB,2024-06-28T22:12:25.628772802Z,01J1GDVC9383TB8NY6Y2M8BAQ4,2024-06-28T22:12:25.628772802Z,,
01J1GEZJ265Y3R590DCHA491BP,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:20:45.515335833Z,01J1GC6FWTB9WWY47TTH34ZJK7,2024-06-28T22:20:45.515335833Z,01J1GDABVD6WHGSHJ552PVS5N8,2024-06-28T22:20:45.515335833Z,01J1GDKB17BHXTQY4Q8NQ78RG3,2024-06-28T22:20:45.515335833Z,01J1GDKC8ZJW4DT7FJR9CD21ZP,2024-06-28T22:20:45.515335833Z,true,2024-06-28T22:21:03.061345072Z
01J1GDHN8W2M76CDXZ0JZ5HXT3,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:55:41.468489031Z,01J1GBK26FB54362GGJR86CQAT,2024-06-28T21:55:41.468489031Z,01J1GCTBVK12MQ5CB3YAC9C6SQ,2024-06-28T21:55:41.468489031Z,01J1GD1F2R4KXCYC63N7SX2J6A,2024-06-28T21:55:41.468489031Z,01J1GD1FGT3J0GJF6KZPZH2R8S,2024-06-28T21:55:41.468489031Z,true,2024-06-28T21:55:48.787130959Z
01J1GDJ2VCJMYDDPN6S1STH1GY,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:55:55.372426721Z,01J1GBK26CYMKC01RC7CNKBGM1,2024-06-28T21:55:55.372426721Z,01J1GCRN9GSBF74K18QEQ0K2S6,2024-06-28T21:55:55.372426721Z,01J1GD4CWJ100TXWQVN871Z7YG,2024-06-28T21:55:55.372426721Z,01J1GD4DF2YQSDW2AYCNAP4RYF,2024-06-28T21:55:55.372426721Z,,
01J1GDW2GC8RPCGZ1CRMSYDEZB,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T22:01:22.700468156Z,01J1GBK26FB54362GGJR86CQAT,2024-06-28T22:01:22.700468156Z,01J1GCX8GDS14BXNM6CHK2N3YD,2024-06-28T22:01:22.700468156Z,01J1GD1F304CSBK07X4A93SD5J,2024-06-28T22:01:22.700468156Z,01J1GD1FTVV1GN6RVFKNB9HNJ2,2024-06-28T22:01:22.700468156Z,true,2024-06-28T22:01:30.477218543Z
01J1GEEZVDHR66S0P9JPS8ZTN7,01J1GC6FW8MAYTMD1B3D93ZCCH,2024-06-28T22:11:42.574019112Z,01J1GC6FWRQ635VP9NEJPYXAAA,2024-06-28T22:11:42.574019112Z,01J1GD391VNBF9K9ZF71FRRCXM,2024-06-28T22:11:42.574019112Z,01J1GD6H7HNDES59SNSRKE5H19,2024-06-28T22:11:42.574019112Z,01J1GD6JBTT785AZHYJDAYQ0JC,2024-06-28T22:11:42.574019112Z,true,2024-06-28T22:11:55.042207032Z
01J1GDHWXR103X6MNYR13HF0J5,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:55:49.304795307Z,01J1GBK26CYMKC01RC7CNKBGM1,2024-06-28T21:55:49.304795307Z,01J1GCXRR9A6DSJ0SRBJ6CCP9P,2024-06-28T21:55:49.304795307Z,01J1GD4CWJ100TXWQVN871Z7YG,2024-06-28T21:55:49.304795307Z,01J1GD4DF1XG6QAJRFA3XVMKJM,2024-06-28T21:55:49.304795307Z,true,2024-06-28T21:55:55.328751261Z
01J1GDQPSZCRJP794C3EP1X0S8,01J1GBK25HJKDE4YJE63JRP132,2024-06-28T21:58:59.647856034Z,01J1GBK26CYMKC01RC7CNKBGM1,2024-06-28T21:58:59.647856034Z,01J1GCXRR9A6DSJ0SRBJ6CCP9P,2024-06-28T21:58:59.647856034Z,01J1GD4CXAM1VZ2P55DFJC0T38,2024-06-28T21:58:59.647856034Z,01J1GD4DRRV5338XHCEGSE934R,2024-06-28T21:58:59.647856034Z,true,2024-06-28T21:59:04.803700588Z
