id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01J1GDX2CGDNRDXKWBAFKRCECC,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-06-28T22:01:55.344185181Z,all games finished,2024-06-28T22:08:04.651573366Z,true,2024-06-28T22:01:55.392062631Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-28T22:01:55.344185181Z,ended,2024-06-28T22:08:04.651573366Z
01J1GBK25HJKDE4YJE63JRP132,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1},{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1},{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-06-28T21:21:30.289423537Z,all games finished,2024-06-28T22:28:32.863227979Z,true,2024-06-28T21:21:30.318644579Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-06-28T21:21:30.289423537Z,ended,2024-06-28T22:28:32.863227979Z
01J1GBK6S05D9M5VGD4N34FSR5,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1},{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1},{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-06-28T21:21:35.008946798Z,,,true,2024-06-28T21:21:35.031030608Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-06-28T21:21:35.008946798Z,terminated,2024-06-28T21:32:04.839989304Z
01J1GC6FW8MAYTMD1B3D93ZCCH,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1},{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1},{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-06-28T21:32:06.920138586Z,all games finished,2024-06-28T22:27:32.886518005Z,true,2024-06-28T21:32:06.938973118Z,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-06-28T21:32:06.920138586Z,ended,2024-06-28T22:27:32.886518005Z
01J1GDGVAB7DT53BEJKAXEN00S,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-noncomp"",""factors"":{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-06-28T21:55:14.89173206Z,,,true,2024-06-28T21:55:14.918061957Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-28T21:55:14.89173206Z,terminated,2024-06-28T22:34:45.695955483Z
01J1GDHARDV96TACY2NYM4YJ9V,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-within"",""factors"":{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-06-28T21:55:30.70134196Z,,,true,2024-06-28T21:55:30.736597779Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-06-28T21:55:30.70134196Z,terminated,2024-06-28T22:34:42.588659989Z
