roundID,gameID,trialNum,block,selectionMadeAt,correct,stage_started,stage_ended,playerID,renderedAt
01M1HYQFP07J6QCFFFTXGQHZAN,01M1HWV3JN33V1Q2D4HRBVP5XY,0,1,1788383764262,TRUE,2026-09-02T21:15:13Z,2026-09-02T21:16:04Z,01M1HY7KBEGEP5QDNV7DG3XGY8,1788383713069
01M1HYQFP07J6QCFFFTXGQHZAN,01M1HWV3JN33V1Q2D4HRBVP5XY,0,1,1788383764262,TRUE,2026-09-02T21:15:13Z,2026-09-02T21:16:04Z,01M1HYFAAV5FXPH07FBCM98RQ0,1788383714071
01M1HXWTVB1S23RKXE03K1MY4F,01M1HWT5H10J1B7ETFSS293CEM,24,3,1788383656034,TRUE,2026-09-02T21:14:01Z,2026-09-02T21:14:16Z,01M1HXNZBDT500AK3A720AX19C,1788383641299
01M1HXWTVB1S23RKXE03K1MY4F,01M1HWT5H10J1B7ETFSS293CEM,24,3,1788383656034,TRUE,2026-09-02T21:14:01Z,2026-09-02T21:14:16Z,01M1HXNTHKRE8MAZ1E2BSTP477,1788383641486
01M1HY8FVG3M8BQQJT1XX7H5E4,01M1HWT5H4GHTCQDJQ5DVR9SAT,30,3,1788384121453,TRUE,2026-09-02T21:21:44Z,2026-09-02T21:22:00Z,01M1HXNQWCSWF23KQCTV8Z3JJN,1788384103558
01M1HY8FVG3M8BQQJT1XX7H5E4,01M1HWT5H4GHTCQDJQ5DVR9SAT,30,3,1788384121453,TRUE,2026-09-02T21:21:44Z,2026-09-02T21:22:00Z,01M1HXNM1C2M4C8S95F7E0F85A,1788384104895
01M1HY8FX2GNZJ4NWM8F0777H5,01M1HWT5H4GHTCQDJQ5DVR9SAT,25,3,1788384027798,TRUE,2026-09-02T21:20:14Z,2026-09-02T21:20:28Z,01M1HXNQWCSWF23KQCTV8Z3JJN,1788384013616
01M1HY8FX2GNZJ4NWM8F0777H5,01M1HWT5H4GHTCQDJQ5DVR9SAT,25,3,1788384027798,TRUE,2026-09-02T21:20:14Z,2026-09-02T21:20:28Z,01M1HXNM1C2M4C8S95F7E0F85A,1788384014944
01M1HYQFQDTG28PPXJXP1Q66X9,01M1HWV3JN33V1Q2D4HRBVP5XY,25,3,1788384883220,TRUE,2026-09-02T21:34:04Z,2026-09-02T21:34:42Z,01M1HYFAAV5FXPH07FBCM98RQ0,1788384844972
01M1HYQFQDTG28PPXJXP1Q66X9,01M1HWV3JN33V1Q2D4HRBVP5XY,25,3,1788384883220,TRUE,2026-09-02T21:34:04Z,2026-09-02T21:34:42Z,01M1HY7KBEGEP5QDNV7DG3XGY8,1788384844003
01M1HY8FR4MH6J4GY7XMP6RV6G,01M1HWT5H4GHTCQDJQ5DVR9SAT,37,4,1788384261962,TRUE,2026-09-02T21:23:59Z,2026-09-02T21:24:22Z,01M1HXNM1C2M4C8S95F7E0F85A,1788384240455
01M1HY8FR4MH6J4GY7XMP6RV6G,01M1HWT5H4GHTCQDJQ5DVR9SAT,37,4,1788384261962,TRUE,2026-09-02T21:23:59Z,2026-09-02T21:24:22Z,01M1HXNQWCSWF23KQCTV8Z3JJN,1788384239107
