prolificID,bonus
667973c17619c2294d71d1ff,1.8
5b7fef3c6d519f000114a332,1.89
5fe9284c2c2ee63925e41e5d,1.71
669ed868dcdb63e0d6d82ab1,1.5
55057a56fdf99b5b566a70bb,1.92
677bce23ce1c9c524036e58a,1.38
67294b05cdfd3c3bab66672a,1.53
669d7d04ec742963733a5b35,1.8
66fcf57756fa4ce37f35d17e,1.38
5aafd9eff69e940001d88bf4,1.86
656f0ce82c0ba5e95ad58a03,1.53
5e70bd5480f43a0009625d4c,1.86
668f0d397de9e8878fa2a5de,1.8
6537d382e6ef905f0b52d045,1.89
6641256ffc6a86915f43f994,1.8
5fd212bbaf3cce26aee4b4c7,1.89
6447b9633f4b280aad385306,1.89
62da7d3913126d5b2122fc0c,1.5
6725e7b41fcf010acfb50097,1.71
5c071ea87967600001637beb,1.92
