gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets
01JFTPDKC80VTXCKZQW7ZPJ6FC,NA,01JFTPDKBN54WJC0Q23V9G4W6F,NA,NA,terminated,NA
01JFTQACX62MC4YGKDM3YF7J0X,NA,01JFTQACWQ0FNMYBWVFAMZ2V7H,NA,NA,terminated,NA
01JFTQCWESPQ3EZTPB4CRS0064,NA,01JFTQCWECTS6937WB79DWJS06,NA,NA,failed,NA
01JFTPDKC80VTXCKZQVP8YJDYM,NA,01JFTPDKBN54WJC0Q23V9G4W6F,NA,NA,terminated,NA
01JFTPDKC80VTXCKZQVYHXTT2Y,NA,01JFTPDKBN54WJC0Q23V9G4W6F,NA,NA,terminated,NA
01JFTQ1TNK374SFRFGCDRGTWKF,NA,01JFTQ1TN3F5JAMW40B7HJMM3M,NA,NA,terminated,NA
01JFTQACX4PZZR41GZQ77VDMT4,NA,01JFTQACWQ0FNMYBWVFAMZ2V7H,NA,NA,terminated,NA
01JFTQDY3Y2RECY99FWNKPQ5GD,NA,01JFTQDY3DJQV75D5888Z6P9Q2,NA,NA,failed,NA
01JFTQ1TNK374SFRFGCV8RFT4Q,NA,01JFTQ1TN3F5JAMW40B7HJMM3M,NA,NA,terminated,NA
01JFTQACX3WD34QYZ7ZM6GW59K,NA,01JFTQACWQ0FNMYBWVFAMZ2V7H,NA,NA,terminated,NA
01JFTQCWETJ81EPRJHTFGJ2WYS,2,01JFTQCWECTS6937WB79DWJS06,4,comp-between,ended,"[[110,398],[110,274],[110,428],[110,107],[27,398],[27,274],[27,428],[27,107],[269,398],[269,274],[269,428],[269,107],[338,398],[338,274],[338,428],[338,107]]"
01JFTQDY3T5WZ6VV9YPMDNZAES,NA,01JFTQDY3DJQV75D5888Z6P9Q2,NA,NA,NA,NA
01JFTQ1TNJTM1AHPTSZ21ZCZYT,NA,01JFTQ1TN3F5JAMW40B7HJMM3M,NA,NA,terminated,NA
01JFTQCWEVJMRJ7X1FGENJ4774,2,01JFTQCWECTS6937WB79DWJS06,4,noncomp,ended,"[[144,126],[427,343],[437,29],[463,25],[22,209],[205,410],[66,421],[355,162],[45,61],[408,373],[202,232],[309,258],[79,165],[302,420],[461,169],[194,354]]"
01JFTQDY3XFB5TXP5H7T6HRP4Y,NA,01JFTQDY3DJQV75D5888Z6P9Q2,NA,NA,failed,NA
