gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets
01J1QNE39PJ7B8A0REVHZR1A7K,2,01J1QNE398RS8YBXTYNPZB97GK,4,comp-within,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1QNE39Q81W3DCXXJZ95X0QX,2,01J1QNE398RS8YBXTYNPZB97GK,4,noncomp,ended,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]"
01J1QNE6KNDHKGTDVN9VP8XKVM,2,01J1QNE6K879FS2YCCFD4581M2,4,noncomp,ended,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]"
01J1QREJ14NN3ZAHFH2HQ79BRV,NA,01J1QREHYN1N7X25AWX86N2FTD,NA,NA,terminated,NA
01J1QNE39PJ7B8A0REV36W4QSF,2,01J1QNE398RS8YBXTYNPZB97GK,4,comp-between,terminated,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1QNEE1QGJVSMNPAJZ8D88KJ,2,01J1QNEE1411JQHNJP627GJF23,4,comp-between,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1QNEE1P53GVS68GZ19GDF41,2,01J1QNEE1411JQHNJP627GJF23,4,noncomp,ended,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]"
01J1QNE12RAT2HV30CJ14B10MV,2,01J1QNE11Z45RGCN8KT7NWPAJ4,4,comp-between,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1QNE12S0A8AFYPZ0YNZWKYZ,2,01J1QNE11Z45RGCN8KT7NWPAJ4,4,comp-within,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1QNE6KNDHKGTDVN9A5ABN3E,2,01J1QNE6K879FS2YCCFD4581M2,4,comp-between,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1QNEE1NSP9W3MM8ZJCN4WGY,2,01J1QNEE1411JQHNJP627GJF23,4,comp-within,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1QNE12VV9T74DS9BE310JQ7,2,01J1QNE11Z45RGCN8KT7NWPAJ4,4,noncomp,ended,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]"
01J1QNE6KPS5SV4KX4GKK5GM7S,2,01J1QNE6K879FS2YCCFD4581M2,4,comp-within,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
