rt,response,trial_index,roundID,target,rotation,tangramURLs,director_msg,trial_type,time_elapsed,internal_node_id,annotationLabel,annotation
"7059","[object Object]","1","01JHDTFN5NQ72H3WE3SSPX61CQ","tangrams/246_381.png","180","tangrams/378_108.png,tangrams/418_61.png,tangrams/414_225.png,tangrams/246_381.png","snowman","survey-html-form","7067","0.0-0.0","holistic","holistic"
"2980","[object Object]","2","01JHDTFNHW1K9N0DCC02C8P11B","tangrams/400_249.png","180","tangrams/400_249.png,tangrams/449_177.png,tangrams/414_225.png,tangrams/418_61.png","bowtie","survey-html-form","10055","0.0-1.0","bottom","bottom"
"3703","[object Object]","3","01JHDTFNBS0DVM9YKB00RHXF81","tangrams/418_61.png","180","tangrams/400_249.png,tangrams/414_225.png,tangrams/418_61.png,tangrams/357_465.png","two teeth","survey-html-form","13764","0.0-2.0","top","top"
"3693","[object Object]","4","01JHDTFNFACSG53VVM525P117W","tangrams/150_56.png","180","tangrams/267_42.png,tangrams/18_45.png,tangrams/418_61.png,tangrams/150_56.png","bbq","survey-html-form","17463","0.0-3.0","holistic","holistic"
"4931","[object Object]","5","01JHDTFNG6MVE8KHCS4TVWHCET","tangrams/267_42.png","180","tangrams/357_465.png,tangrams/267_42.png,tangrams/18_45.png,tangrams/246_381.png","cat or goat","survey-html-form","22399","0.0-4.0","holistic","holistic"
"2483","[object Object]","6","01JHDTFN84FMAR8JJB8TMNSB4X","tangrams/454_114.png","180","tangrams/454_114.png,tangrams/446_200.png,tangrams/357_465.png,tangrams/138_67.png","one leg","survey-html-form","24884","0.0-5.0","top","top"
"2665","[object Object]","7","01JHDTFNE7ZC44RMAT4ZRAS68Q","tangrams/350_14.png","180","tangrams/350_14.png,tangrams/11_198.png,tangrams/414_225.png,tangrams/138_67.png","funnel","survey-html-form","27552","0.0-6.0","bottom","bottom"
"13947","[object Object]","8","01JHDTFNMEHKTRJ1SRYJ849VWC","tangrams/446_200.png","180","tangrams/378_108.png,tangrams/267_42.png,tangrams/446_200.png,tangrams/11_198.png","symmetric left chunk","survey-html-form","41506","0.0-7.0","bottom","bottom"
"3631","[object Object]","9","01JHDTFNJQJD2X46BCV1WGZGAP","tangrams/378_108.png","180","tangrams/138_67.png,tangrams/449_177.png,tangrams/400_249.png,tangrams/378_108.png","square on right side","survey-html-form","45139","0.0-8.0","bottom","bottom"
"5865","[object Object]","10","01JHDTFP1XH0Z4K7QGFEDJP31F","tangrams/101_93.png","180","tangrams/150_56.png,tangrams/101_93.png,tangrams/267_42.png,tangrams/378_108.png","whale fish","survey-html-form","51007","0.0-9.0","holistic","holistic"
"2447","[object Object]","11","01JHDTFNN9C0NJXPHWA7WGAA3Q","tangrams/414_225.png","180","tangrams/418_61.png,tangrams/414_225.png,tangrams/378_108.png,tangrams/357_465.png","down arrow","survey-html-form","53457","0.0-10.0","top","top"
"5481","[object Object]","12","01JHDTFNH1CM0JT2NTMYMB1D9J","tangrams/18_45.png","180","tangrams/400_249.png,tangrams/246_381.png,tangrams/418_61.png,tangrams/18_45.png","devil goat","survey-html-form","58941","0.0-11.0","holistic","holistic"
"5149","[object Object]","13","01JHDTFN36864WXH9C6Q64GW9N","tangrams/449_177.png","180","tangrams/449_177.png,tangrams/267_42.png,tangrams/414_225.png,tangrams/350_14.png","triangle roof house","survey-html-form","64091","0.0-12.0","bottom","bottom"
"2864","[object Object]","14","01JHDTFNAKKTH6G30H69QPM959","tangrams/138_67.png","180","tangrams/138_67.png,tangrams/246_381.png,tangrams/378_108.png,tangrams/11_198.png","parted hair","survey-html-form","66958","0.0-13.0","bottom","bottom"
"3362","[object Object]","15","01JHDTFND0RCA1ZD0R74P7VK16","tangrams/357_465.png","180","tangrams/418_61.png,tangrams/138_67.png,tangrams/357_465.png,tangrams/400_249.png","wide bat","survey-html-form","70325","0.0-14.0","holistic","holistic"
"11063","[object Object]","16","01JHDTFN9B4W2N654SN1MJDXQ0","tangrams/11_198.png","180","tangrams/454_114.png,tangrams/11_198.png,tangrams/138_67.png,tangrams/378_108.png","fish pointing up","survey-html-form","81391","0.0-15.0","top_bottom","top_bottom"
"5498","[object Object]","17","01JHGHN1DNC25V7PYYPPYVMKAH","tangrams/38_137.png","90","tangrams/450_81.png,tangrams/38_137.png,tangrams/23_88.png,tangrams/277_41.png","e","survey-html-form","86891","0.0-16.0","top","top"
"3165","[object Object]","18","01JHGHN1ERGY0SSV02A147X9JC","tangrams/23_137.png","90","tangrams/38_81.png,tangrams/277_88.png,tangrams/23_137.png,tangrams/450_41.png","flat","survey-html-form","90058","0.0-17.0","top","top"
"2582","[object Object]","19","01JHGHN1H6NVTFDSCXX3E9KYQX","tangrams/38_41.png","90","tangrams/277_88.png,tangrams/450_137.png,tangrams/38_41.png,tangrams/23_81.png","e","survey-html-form","92641","0.0-18.0","top","top"
