rt,response,trial_index,roundID,target,rotation,tangramURLs,director_msg,trial_type,time_elapsed,internal_node_id,annotationLabel,annotation
"3763","[object Object]","1","01JJSWAWGSWBE7S8N72GT8FJQF","tangrams/358_235.png","90","tangrams/69_134.png,tangrams/304_351.png,tangrams/358_235.png,tangrams/187_398.png","cut out","survey-html-form","3764","0.0-0.0","top","top"
"8632","[object Object]","2","01JJSWAWM6QGJ7Q3NWGTTSWBR7","tangrams/363_16.png","90","tangrams/448_96.png,tangrams/304_351.png,tangrams/363_16.png,tangrams/353_455.png","batman","survey-html-form","12398","0.0-1.0","top","top"
"4997","[object Object]","3","01JJSWAWKXS4NPH8W5M3MRMHSP","tangrams/403_210.png","90","tangrams/205_336.png,tangrams/449_89.png,tangrams/363_16.png,tangrams/403_210.png","man sit leg up","survey-html-form","17397","0.0-2.0","bottom","bottom"
"4047","[object Object]","4","01JJSWAWH6DQVTJQ9ZNRPM3MYQ","tangrams/314_46.png","90","tangrams/314_46.png,tangrams/62_108.png,tangrams/69_134.png,tangrams/353_455.png","bowl with moutains","survey-html-form","21448","0.0-3.0","top_bottom","top_bottom"
"7431","[object Object]","5","01JJSWAWJXFKM60ER7Q5T3WD1M","tangrams/353_455.png","90","tangrams/363_16.png,tangrams/353_455.png,tangrams/107_333.png,tangrams/69_134.png","train","survey-html-form","28881","0.0-4.0","holistic","holistic"
"2897","[object Object]","6","01JJSWAWG3CSE4KZF7W7T516CN","tangrams/205_336.png","90","tangrams/448_96.png,tangrams/135_261.png,tangrams/205_336.png,tangrams/304_351.png","cut out","survey-html-form","31780","0.0-5.0","bottom","bottom"
"4497","[object Object]","7","01JJSWAWMEM0B5GH9KX43KXJ7W","tangrams/187_398.png","90","tangrams/187_398.png,tangrams/463_143.png,tangrams/353_455.png,tangrams/62_108.png","man face","survey-html-form","36280","0.0-6.0","bottom","bottom"
"2698","[object Object]","8","01JJSWAWEMKA1Z44BY5ZKYB05X","tangrams/32_256.png","90","tangrams/363_16.png,tangrams/32_256.png,tangrams/304_351.png,tangrams/358_235.png","spikes","survey-html-form","38980","0.0-7.0","holistic","holistic"
"14747","[object Object]","9","01JJSWAWJNJTGJ8RQ130EKNRF2","tangrams/62_108.png","90","tangrams/107_333.png,tangrams/32_256.png,tangrams/62_108.png,tangrams/449_89.png","t rex side","survey-html-form","53731","0.0-8.0","idk","idk"
"4432","[object Object]","10","01JJSWAWHJNR3J252YA1SY1VZ8","tangrams/69_134.png","90","tangrams/448_96.png,tangrams/187_398.png,tangrams/358_235.png,tangrams/69_134.png","diamond left spikes right","survey-html-form","58164","0.0-9.0","top_bottom","top_bottom"
"6347","[object Object]","11","01JJSWAWKN1W4WTKW27029TB59","tangrams/448_96.png","90","tangrams/449_89.png,tangrams/403_210.png,tangrams/314_46.png,tangrams/448_96.png","chicken","survey-html-form","64513","0.0-10.0","holistic","holistic"
"7182","[object Object]","12","01JJSWAWHZRM9TEWGTEVYQPTD2","tangrams/135_261.png","90","tangrams/403_210.png,tangrams/358_235.png,tangrams/187_398.png,tangrams/135_261.png","2 squares one at bottom and one on the right","survey-html-form","71696","0.0-11.0","top_bottom","top_bottom"
"2931","[object Object]","13","01JJSWAWKDT7C66XHPWBS6XDZX","tangrams/449_89.png","90","tangrams/353_455.png,tangrams/449_89.png,tangrams/69_134.png,tangrams/107_333.png","swan shape","survey-html-form","74630","0.0-12.0","holistic","holistic"
"2046","[object Object]","14","01JJSWAWFK1H6B4A6V8WMKNDT8","tangrams/463_143.png","90","tangrams/448_96.png,tangrams/135_261.png,tangrams/463_143.png,tangrams/69_134.png","praying man","survey-html-form","76679","0.0-13.0","holistic","holistic"
"9731","[object Object]","15","01JJSWAWGC9WB24MWNGBP8F3TA","tangrams/107_333.png","90","tangrams/314_46.png,tangrams/107_333.png,tangrams/135_261.png,tangrams/304_351.png","ufo with x","survey-html-form","86413","0.0-14.0","top_bottom","top_bottom"
"4080","[object Object]","16","01JJSWAWJCAKSN36RWMHG8N4B6","tangrams/304_351.png","90","tangrams/69_134.png,tangrams/403_210.png,tangrams/304_351.png,tangrams/32_256.png","mans face with square nose","survey-html-form","90496","0.0-15.0","holistic","holistic"
"7964","[object Object]","17","01JJWD338DZQ2KH1909M2R2NMS","tangrams/300_293.png","270","tangrams/53_314.png,tangrams/300_314.png,tangrams/300_293.png,tangrams/53_293.png","left is arrow between 2 blocks 3 diamonds","survey-html-form","98462","0.0-16.0","top_bottom","top_bottom"
"4584","[object Object]","18","01JJWD338A7J2GDJVVD3QTM764","tangrams/374_86.png","270","tangrams/300_86.png,tangrams/300_293.png,tangrams/374_86.png,tangrams/374_293.png","black diamond top left up arrow on right","survey-html-form","103046","0.0-17.0","top_bottom","top_bottom"
"3281","[object Object]","19","01JJWD33894DGYKNGA7P8NKBPT","tangrams/336_186.png","270","tangrams/336_186.png,tangrams/336_86.png,tangrams/374_186.png,tangrams/374_86.png","left straight line right push button","survey-html-form","106329","0.0-18.0","top_bottom","top_bottom"
"2317","[object Object]","20","01JJWD338GE64HW6ZPDHNJNQVG","tangrams/374_293.png","270","tangrams/374_293.png,tangrams/336_293.png,tangrams/374_314.png,tangrams/336_314.png","small diamond on left 3 diamonds on right","survey-html-form","108647","0.0-19.0","top_bottom","top_bottom"
"1832","[object Object]","21","01JJWD338F2369J4J4Y0FRQ4G6","tangrams/53_314.png","270","tangrams/53_314.png,tangrams/53_86.png,tangrams/300_86.png,tangrams/300_314.png","left is big black arrow right is 2 arrows","survey-html-form","110480","0.0-20.0","top_bottom","top_bottom"
"1948","[object Object]","22","01JJWD338B7NHGXACF8W66N85X","tangrams/53_186.png","270","tangrams/374_86.png,tangrams/53_86.png,tangrams/374_186.png,tangrams/53_186.png","arrow on left pointing left pushb button on right","survey-html-form","112429","0.0-21.0","top_bottom","top_bottom"
"1864","[object Object]","23","01JJWD338GE64HW6ZPCM0SVCZX","tangrams/300_314.png","270","tangrams/300_314.png,tangrams/336_314.png,tangrams/336_186.png,tangrams/300_186.png","arrow between squars on left two arrows pointing right on right","survey-html-form","114297","0.0-22.0","top_bottom","top_bottom"
"1747","[object Object]","24","01JJWD33894DGYKNGA6WM30JSG","tangrams/53_293.png","270","tangrams/336_293.png,tangrams/336_314.png,tangrams/53_293.png,tangrams/53_314.png","big arrow left black diamonds on right","survey-html-form","116046","0.0-23.0","top_bottom","top_bottom"
"1864","[object Object]","25","01JJWD338CXTJ2ECBHPWX1TJXJ","tangrams/336_86.png","270","tangrams/374_186.png,tangrams/336_186.png,tangrams/336_86.png,tangrams/374_86.png","straight line to the left up arrow on right","survey-html-form","117912","0.0-24.0","top_bottom","top_bottom"
"6548","[object Object]","26","01JJWD338CXTJ2ECBHQME1Y85A","tangrams/300_86.png","270","tangrams/300_86.png,tangrams/300_186.png,tangrams/374_86.png,tangrams/374_186.png","left is black arrow between blocks arrow pointing up","survey-html-form","124462","0.0-25.0","top_bottom","top_bottom"
"2914","[object Object]","27","01JJWD3386RRA2RMJM5FR5X1EX","tangrams/336_314.png","270","tangrams/336_314.png,tangrams/53_314.png,tangrams/336_186.png,tangrams/53_186.png","left is straight line right is 2 pointing right","survey-html-form","127379","0.0-26.0","top_bottom","top_bottom"
