roundID,gameID,phase,trialNum,repNum,targetNum,numTrials,numTrialsPerBlock,setId,target,targetLabel,tangramURLs,displayLabels,response,correct,selection,director,matcher,selectionMadeAt,clickBlockedAt,block
01M14TP6QMVGD04CRSQM22FW2R,01M14SGHT1R1T89RW3KEBWKX4S,training,6,0,7,48,12,2,/tangrams/236_198.png,F8,"[""/tangrams/370_396.png"",""/tangrams/128_342.png"",""/tangrams/10_15.png"",""/tangrams/236_198.png""]","[""F6"",""C3"",""A1"",""F8""]",/tangrams/236_198.png,TRUE,/tangrams/236_198.png,01M14TDEA04KFX2ZPQMKS3Y9DB,01M14T36DFG88TQ0ZWSNKRAPJ2,1787943058438,NA,1
01M14TSZ1QPYMAK90S0T618TD6,01M14SGHT011RS3K43GJ2H3XM3,training,8,0,9,48,12,2,/tangrams/186_342.png,D3,"[""/tangrams/186_342.png"",""/tangrams/10_7.png"",""/tangrams/128_349.png"",""/tangrams/421_15.png""]","[""D3"",""A2"",""C4"",""B1""]",/tangrams/186_342.png,TRUE,/tangrams/186_342.png,01M14TNZR32DDYDVE7ADVHXW77,01M14TK5TJHPMJ8EVNSFSWK56R,1787943693761,NA,1
01M14TSZ7PD1R05446YE8RWFJ0,01M14SGHT011RS3K43GJ2H3XM3,training,41,3,6,48,12,2,/tangrams/421_15.png,B1,"[""/tangrams/186_7.png"",""/tangrams/421_15.png"",""/tangrams/10_342.png"",""/tangrams/128_349.png""]","[""D2"",""B1"",""A3"",""C4""]",/tangrams/421_15.png,TRUE,/tangrams/421_15.png,01M14TK5TJHPMJ8EVNSFSWK56R,01M14TNZR32DDYDVE7ADVHXW77,1787944268998,NA,4
01M14TWRS4E5RBV310QEJVNYXT,01M14SGHSZFM9JBEJ22KKAENMP,training,41,3,6,48,12,2,/tangrams/186_15.png,D1,"[""/tangrams/421_15.png"",""/tangrams/186_15.png"",""/tangrams/10_342.png"",""/tangrams/186_7.png""]","[""B1"",""D1"",""A3"",""D2""]",/tangrams/186_15.png,TRUE,/tangrams/186_15.png,01M14TB49R9EXHJJTJ0T86KJ84,01M14TNNG989SSWD0DKW0RVGNH,1787945363105,NA,4
01M14TWRSG1AVY3Y1597A39QTF,01M14SGHSZFM9JBEJ22KKAENMP,training,28,2,5,48,12,2,/tangrams/421_349.png,B4,"[""/tangrams/186_7.png"",""/tangrams/421_349.png"",""/tangrams/421_342.png"",""/tangrams/10_349.png""]","[""D2"",""B4"",""B3"",""A4""]",/tangrams/421_349.png,TRUE,/tangrams/421_349.png,01M14TNNG989SSWD0DKW0RVGNH,01M14TB49R9EXHJJTJ0T86KJ84,1787944922672,NA,3
01M14TWRVSM7W98MFG9CMNB4A5,01M14SGHSZFM9JBEJ22KKAENMP,training,11,0,12,48,12,2,/tangrams/10_7.png,A2,"[""/tangrams/128_15.png"",""/tangrams/10_7.png"",""/tangrams/186_7.png"",""/tangrams/10_342.png""]","[""C1"",""A2"",""D2"",""A3""]",/tangrams/10_7.png,TRUE,/tangrams/10_7.png,01M14TB49R9EXHJJTJ0T86KJ84,01M14TNNG989SSWD0DKW0RVGNH,1787944305403,NA,1
01M14TWRW75MBS2ZJ5D3R3KZFD,01M14SGHSZFM9JBEJ22KKAENMP,training,7,0,8,48,12,2,/tangrams/186_15.png,D1,"[""/tangrams/421_15.png"",""/tangrams/128_7.png"",""/tangrams/186_15.png"",""/tangrams/186_342.png""]","[""B1"",""C2"",""D1"",""D3""]",/tangrams/186_15.png,TRUE,/tangrams/186_15.png,01M14TB49R9EXHJJTJ0T86KJ84,01M14TNNG989SSWD0DKW0RVGNH,1787944162403,NA,1
01M14TP6PZS8YT0FTHZ32NCP2K,01M14SGHT1R1T89RW3KEBWKX4S,training,20,1,9,48,12,2,/tangrams/148_294.png,F4,"[""/tangrams/236_198.png"",""/tangrams/291_410.png"",""/tangrams/304_351.png"",""/tangrams/148_294.png""]","[""F8"",""F3"",""F7"",""F4""]",/tangrams/148_294.png,TRUE,/tangrams/148_294.png,01M14TDEA04KFX2ZPQMKS3Y9DB,01M14T36DFG88TQ0ZWSNKRAPJ2,1787943783363,NA,2
01M14TSZ0RG898TE7Y66E0VFVN,01M14SGHT011RS3K43GJ2H3XM3,training,1,0,2,48,12,2,/tangrams/421_342.png,B3,"[""/tangrams/186_7.png"",""/tangrams/10_349.png"",""/tangrams/421_342.png"",""/tangrams/128_15.png""]","[""D2"",""A4"",""B3"",""C1""]",/tangrams/421_342.png,TRUE,/tangrams/421_342.png,01M14TK5TJHPMJ8EVNSFSWK56R,01M14TNZR32DDYDVE7ADVHXW77,1787943428575,NA,1
01M14TSZ1WJD767VRF0M1C0Z8C,01M14SGHT011RS3K43GJ2H3XM3,training,7,0,8,48,12,2,/tangrams/128_349.png,C4,"[""/tangrams/186_15.png"",""/tangrams/10_7.png"",""/tangrams/421_342.png"",""/tangrams/128_349.png""]","[""D1"",""A2"",""B3"",""C4""]",/tangrams/128_349.png,TRUE,/tangrams/128_349.png,01M14TK5TJHPMJ8EVNSFSWK56R,01M14TNZR32DDYDVE7ADVHXW77,1787943673585,NA,1
01M14TSZ3TQAS3MR7MTPNWQTWG,01M14SGHT011RS3K43GJ2H3XM3,training,15,1,4,48,12,2,/tangrams/186_342.png,D3,"[""/tangrams/128_7.png"",""/tangrams/186_342.png"",""/tangrams/10_349.png"",""/tangrams/421_15.png""]","[""C2"",""D3"",""A4"",""B1""]",/tangrams/186_342.png,TRUE,/tangrams/186_342.png,01M14TK5TJHPMJ8EVNSFSWK56R,01M14TNZR32DDYDVE7ADVHXW77,1787943857808,NA,2
