id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01JFE3K715JMY3E2YWR546XDJV,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-19T00:03:03.333101378Z,3,2024-12-19T00:03:03.333101378Z,true,2024-12-19T00:11:30.899865602Z,,,01JFE2F3G88EFKXAZ79H1Z0JEZ,2024-12-19T00:03:03.333101378Z,1,2024-12-19T00:03:03.333101378Z,true,2024-12-19T00:11:27.869846542Z,feedback,2024-12-19T00:03:03.333101378Z,01JFE3K6J4SZ9AT1300ZQH6S74,2024-12-19T00:03:03.333101378Z,true,2024-12-19T00:11:27.832178842Z,true,2024-12-19T00:11:27.895227748Z,,,01JFE3K7102B2SMNZPXWVV1EZE,2024-12-19T00:03:03.333101378Z
01JFE3K7MG83KEJBSMPS22QGDC,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-19T00:03:03.952578068Z,60,2024-12-19T00:03:03.952578068Z,true,2024-12-19T00:17:11.979484786Z,,,01JFE2F3G88EFKXAZ79H1Z0JEZ,2024-12-19T00:03:03.952578068Z,0,2024-12-19T00:03:03.952578068Z,true,2024-12-19T00:17:06.134593245Z,selection,2024-12-19T00:03:03.952578068Z,01JFE3K6G6MD1A8PGTANF5E4QE,2024-12-19T00:03:03.952578068Z,true,2024-12-19T00:17:06.061711094Z,true,2024-12-19T00:17:06.173780643Z,,,01JFE3K7M78JSK5GWBXT26VXFX,2024-12-19T00:03:03.952578068Z
01JFE3P3H1XGXH608GP3SG87HH,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-19T00:04:38.049950478Z,3,2024-12-19T00:04:38.049950478Z,false,2024-12-19T00:04:38.049950478Z,,,01JFE2F3G88EFKXAZ79VCSWHZ9,2024-12-19T00:04:38.049950478Z,1,2024-12-19T00:04:38.049950478Z,,,feedback,2024-12-19T00:04:38.049950478Z,01JFE3P1R14K0JT79JV2GBT3Y9,2024-12-19T00:04:38.049950478Z,false,2024-12-19T00:04:38.049950478Z,,,,,01JFE3P3GPAVM94B194GSVWTHW,2024-12-19T00:04:38.049950478Z
01JFE3VJ8DHMV7T5ED4KPKFQW3,01JFE2F4Z1V3R2QPM6H32SYRG1,2024-12-19T00:07:36.973985258Z,3,2024-12-19T00:07:36.973985258Z,true,2024-12-19T00:18:47.748560544Z,,,01JFE2F4ZKGQVWRPETSR6SJYE1,2024-12-19T00:07:36.973985258Z,1,2024-12-19T00:07:36.973985258Z,true,2024-12-19T00:18:44.695797065Z,feedback,2024-12-19T00:07:36.973985258Z,01JFE3VHFZR8J6Y19WARDK40XB,2024-12-19T00:07:36.973985258Z,true,2024-12-19T00:18:44.642562952Z,true,2024-12-19T00:18:44.731931437Z,,,01JFE3VJ8423JPSCZMEEM7897S,2024-12-19T00:07:36.973985258Z
01JFE3VJA00BNP5XXYNMPMRTE3,01JFE2F4Z1V3R2QPM6H32SYRG1,2024-12-19T00:07:37.024283317Z,3,2024-12-19T00:07:37.024283317Z,true,2024-12-19T00:19:41.695748038Z,,,01JFE2F4ZKGQVWRPETSR6SJYE1,2024-12-19T00:07:37.024283317Z,1,2024-12-19T00:07:37.024283317Z,true,2024-12-19T00:19:38.643706748Z,feedback,2024-12-19T00:07:37.024283317Z,01JFE3VHE0MAFF10Z5NAHTN499,2024-12-19T00:07:37.024283317Z,true,2024-12-19T00:19:38.59176733Z,true,2024-12-19T00:19:38.673729484Z,,,01JFE3VJ9R1M5M7ZM0E9YAP6A6,2024-12-19T00:07:37.024283317Z
01JFE3VJFH4DP2K34TBY7MQHWT,01JFE2F4Z1V3R2QPM6H32SYRG1,2024-12-19T00:07:37.201774973Z,60,2024-12-19T00:07:37.201774973Z,true,2024-12-19T00:22:27.827155033Z,,,01JFE2F4ZKGQVWRPETSR6SJYE1,2024-12-19T00:07:37.201774973Z,0,2024-12-19T00:07:37.201774973Z,true,2024-12-19T00:21:27.785721977Z,selection,2024-12-19T00:07:37.201774973Z,01JFE3VHH5NRVBHGE9N8F50CGH,2024-12-19T00:07:37.201774973Z,true,2024-12-19T00:21:27.734354541Z,true,2024-12-19T00:21:27.823052138Z,,,01JFE3VJF7D2J0AGPGM9N8033E,2024-12-19T00:07:37.201774973Z
01JFE43W6BKAPSQ9Q3QMZQ42JW,01JFE2F6201T265AQ8QKTC3PAM,2024-12-19T00:12:09.291984561Z,60,2024-12-19T00:12:09.291984561Z,true,2024-12-19T00:30:23.001229538Z,,,01JFE2F62GTGJW6PH1EHSDRF1P,2024-12-19T00:12:09.291984561Z,0,2024-12-19T00:12:09.291984561Z,true,2024-12-19T00:30:12.274915377Z,selection,2024-12-19T00:12:09.291984561Z,01JFE43STYJG3A8XKY45RWENQP,2024-12-19T00:12:09.291984561Z,true,2024-12-19T00:30:12.210786764Z,true,2024-12-19T00:30:12.325502468Z,,,01JFE43W60H5RS8509PASSW86H,2024-12-19T00:12:09.291984561Z
01JFE3JSJY5R5DEPCZSDHXJSW8,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-19T00:02:49.566329705Z,3,2024-12-19T00:02:49.566329705Z,true,2024-12-19T00:16:25.566386471Z,,,01JFE2F3GA5Q3S2M2VD0KJEAF0,2024-12-19T00:02:49.566329705Z,1,2024-12-19T00:02:49.566329705Z,true,2024-12-19T00:16:22.530448711Z,feedback,2024-12-19T00:02:49.566329705Z,01JFE3JRX7NDE75QHVX6A7Z6TF,2024-12-19T00:02:49.566329705Z,true,2024-12-19T00:16:22.476594809Z,true,2024-12-19T00:16:22.563423141Z,,,01JFE3JSJSMAABNK9Y0DJ61BRT,2024-12-19T00:02:49.566329705Z
01JFE3JSZTVVQB9PQWCMJ7QMTB,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-19T00:02:49.97867454Z,3,2024-12-19T00:02:49.97867454Z,true,2024-12-19T00:19:50.063032964Z,,,01JFE2F3GA5Q3S2M2VD0KJEAF0,2024-12-19T00:02:49.97867454Z,1,2024-12-19T00:02:49.97867454Z,true,2024-12-19T00:19:47.01539318Z,feedback,2024-12-19T00:02:49.97867454Z,01JFE3JRXJKE18KPPAJ9HHPBBS,2024-12-19T00:02:49.97867454Z,true,2024-12-19T00:19:46.949511342Z,true,2024-12-19T00:19:47.056234891Z,,,01JFE3JSZPEAWDG9V6Z3AYEBS7,2024-12-19T00:02:49.97867454Z
01JFE3K6WAWVTZV9GXJKZJR9HB,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-19T00:03:03.178501822Z,3,2024-12-19T00:03:03.178501822Z,true,2024-12-19T00:09:23.607796802Z,,,01JFE2F3G88EFKXAZ79H1Z0JEZ,2024-12-19T00:03:03.178501822Z,1,2024-12-19T00:03:03.178501822Z,true,2024-12-19T00:09:20.571367084Z,feedback,2024-12-19T00:03:03.178501822Z,01JFE3K6HPKGBYJT6F6R4A53EQ,2024-12-19T00:03:03.178501822Z,true,2024-12-19T00:09:20.539388216Z,true,2024-12-19T00:09:20.596939152Z,,,01JFE3K6W58MKA5C1BGE036HVS,2024-12-19T00:03:03.178501822Z
01JFE3K7N50S8CNMGWCSC3DTET,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-19T00:03:03.973853136Z,3,2024-12-19T00:03:03.973853136Z,true,2024-12-19T00:17:24.967376234Z,,,01JFE2F3G88EFKXAZ79H1Z0JEZ,2024-12-19T00:03:03.973853136Z,1,2024-12-19T00:03:03.973853136Z,true,2024-12-19T00:17:21.93349286Z,feedback,2024-12-19T00:03:03.973853136Z,01JFE3K6G3012BWX1TYNN99XN7,2024-12-19T00:03:03.973853136Z,true,2024-12-19T00:17:21.892777475Z,true,2024-12-19T00:17:21.962824849Z,,,01JFE3K7MZPZQW2FE2XPKHQDDY,2024-12-19T00:03:03.973853136Z
01JFE3P2GEATN1JDV4T8KFZ49V,01JFE2F3F5HJQFAZ9GTKYACR7B,2024-12-19T00:04:37.006504272Z,60,2024-12-19T00:04:37.006504272Z,true,2024-12-19T00:33:29.084246158Z,,,01JFE2F3G88EFKXAZ79VCSWHZ9,2024-12-19T00:04:37.006504272Z,0,2024-12-19T00:04:37.006504272Z,true,2024-12-19T00:32:29.01973682Z,selection,2024-12-19T00:04:37.006504272Z,01JFE3P1PQ02TE2TBAS5H1WHHJ,2024-12-19T00:04:37.006504272Z,true,2024-12-19T00:32:28.96363459Z,true,2024-12-19T00:32:29.05634951Z,,,01JFE3P2G5RQA402VQKWQDAK4W,2024-12-19T00:04:37.006504272Z
01JFE3QTAR27P0TRTDVY9WHMY3,01JFE2F4Z1V3R2QPM6H32SYRG1,2024-12-19T00:05:34.168518027Z,60,2024-12-19T00:05:34.168518027Z,true,2024-12-19T00:17:38.31472019Z,,,01JFE2F4ZPX2JA4S2YP9QSTGK7,2024-12-19T00:05:34.168518027Z,0,2024-12-19T00:05:34.168518027Z,true,2024-12-19T00:16:52.671381046Z,selection,2024-12-19T00:05:34.168518027Z,01JFE3QSKP52Q6AR18EKWX8GT6,2024-12-19T00:05:34.168518027Z,true,2024-12-19T00:16:52.616248509Z,true,2024-12-19T00:16:52.706668584Z,,,01JFE3QTAHCBFWK8J6T56G18H7,2024-12-19T00:05:34.168518027Z
01JFE3QTTJSERMJ6YP55DTR2S1,01JFE2F4Z1V3R2QPM6H32SYRG1,2024-12-19T00:05:34.674331011Z,3,2024-12-19T00:05:34.674331011Z,true,2024-12-19T00:24:37.860211981Z,,,01JFE2F4ZPX2JA4S2YP9QSTGK7,2024-12-19T00:05:34.674331011Z,1,2024-12-19T00:05:34.674331011Z,true,2024-12-19T00:24:34.821377155Z,feedback,2024-12-19T00:05:34.674331011Z,01JFE3QSNY5739TCEMFPN91BY3,2024-12-19T00:05:34.674331011Z,true,2024-12-19T00:24:34.745100689Z,true,2024-12-19T00:24:34.855327345Z,,,01JFE3QTT81Q5KNF4QWP8HXX1B,2024-12-19T00:05:34.674331011Z
01JFE3QTX33J6Z84GCVQTYBVV8,01JFE2F4Z1V3R2QPM6H32SYRG1,2024-12-19T00:05:34.755559054Z,60,2024-12-19T00:05:34.755559054Z,true,2024-12-19T00:25:57.08577227Z,,,01JFE2F4ZPX2JA4S2YP9QSTGK7,2024-12-19T00:05:34.755559054Z,0,2024-12-19T00:05:34.755559054Z,true,2024-12-19T00:25:23.932798101Z,selection,2024-12-19T00:05:34.755559054Z,01JFE3QSNZ0WWNXXGYYY57C18G,2024-12-19T00:05:34.755559054Z,true,2024-12-19T00:25:23.874276203Z,true,2024-12-19T00:25:23.973632541Z,,,01JFE3QTWVA595VNVGZ14X80E5,2024-12-19T00:05:34.755559054Z
01JFE3VK3YZBYBDVR2AJJ94QTH,01JFE2F4Z1V3R2QPM6H32SYRG1,2024-12-19T00:07:37.854797313Z,60,2024-12-19T00:07:37.854797313Z,true,2024-12-19T00:29:55.583256234Z,,,01JFE2F4ZKGQVWRPETSR6SJYE1,2024-12-19T00:07:37.854797313Z,0,2024-12-19T00:07:37.854797313Z,true,2024-12-19T00:29:44.679017835Z,selection,2024-12-19T00:07:37.854797313Z,01JFE3VHK1HG2AW9KP9BEACPX9,2024-12-19T00:07:37.854797313Z,true,2024-12-19T00:29:44.610782774Z,true,2024-12-19T00:29:44.717013773Z,,,01JFE3VK3MMWNRS5HVFDQ34B9F,2024-12-19T00:07:37.854797313Z
01JFE43TWZTYR252FZ9F7AMEY8,01JFE2F6201T265AQ8QKTC3PAM,2024-12-19T00:12:07.968008749Z,60,2024-12-19T00:12:07.968008749Z,true,2024-12-19T00:22:54.59907437Z,,,01JFE2F62GTGJW6PH1EHSDRF1P,2024-12-19T00:12:07.968008749Z,0,2024-12-19T00:12:07.968008749Z,true,2024-12-19T00:22:41.649231556Z,selection,2024-12-19T00:12:07.968008749Z,01JFE43SPVBT6AED21PWA77GYA,2024-12-19T00:12:07.968008749Z,true,2024-12-19T00:22:41.591981908Z,true,2024-12-19T00:22:41.705841033Z,,,01JFE43TWMMHTM219EYVYJXJDN,2024-12-19T00:12:07.968008749Z
