id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,compSetId,compSetIdLastChangedAt,components,componentsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedInactive,endedInactiveLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,numPosttestItems,numPosttestItemsLastChangedAt,numPretestItems,numPretestItemsLastChangedAt,numRoundsInactive,numRoundsInactiveLastChangedAt,rotation,rotationLastChangedAt,roundIndex,roundIndexLastChangedAt,setId,setIdLastChangedAt,setIndex,setIndexLastChangedAt,setReplicate,setReplicateLastChangedAt,setSlotInReplicate,setSlotInReplicateLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,stimulusSchemaVersion,stimulusSchemaVersionLastChangedAt,targets,targetsLastChangedAt,trainingLabels,trainingLabelsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01M0JJMWY9HJ4DPXE1Y7910VKY,2,2026-08-21T11:32:59.279456-05:00,01M0JJMWXFA9B8FFW0WBE7QYTZ,2026-08-21T11:32:14.281366-05:00,0,2026-08-21T11:32:59.356879-05:00,"{""1"":244,""2"":339,""3"":405,""4"":66,""5"":448,""6"":333,""7"":364,""8"":25,""9"":24,""10"":126,""11"":32,""12"":1,""A"":138,""B"":366,""C"":422,""D"":279,""E"":452,""F"":120,""G"":260,""H"":162,""I"":150,""J"":401,""K"":239,""L"":444}",2026-08-21T11:32:59.356879-05:00,4,2026-08-21T11:32:59.29702-05:00,comp-within,2026-08-21T11:32:59.29702-05:00,true,2026-08-21T11:38:31.943538-05:00,false,2026-08-21T11:32:59.29702-05:00,end of game,2026-08-21T11:38:31.953153-05:00,01M0JJMX0NXHDWT7QRPWT9RJTQ,2026-08-21T11:32:14.363216-05:00,false,2026-08-21T11:32:59.625033-05:00,01M0JJNK6FEDPYP4EFXY3EEZJC,2026-08-21T11:32:37.082381-05:00,5,2026-08-21T11:32:59.29702-05:00,20,2026-08-21T11:32:59.356879-05:00,20,2026-08-21T11:32:59.356879-05:00,0,2026-08-21T11:37:47.612744-05:00,90,2026-08-21T11:32:59.29702-05:00,13,2026-08-21T11:32:59.356879-05:00,0,2026-08-21T11:32:59.300956-05:00,0,2026-08-21T11:32:59.300956-05:00,0,2026-08-21T11:32:59.300956-05:00,0,2026-08-21T11:32:59.300956-05:00,1,2026-08-21T11:32:59.29702-05:00,null,2026-08-21T11:38:31.943538-05:00,true,2026-08-21T11:32:59.279456-05:00,true,2026-08-21T11:32:59.279456-05:00,ended,2026-08-21T11:38:31.953153-05:00,exp2-1,2026-08-21T11:32:59.356879-05:00,"[{""label"":""A2"",""top"":138,""bottom"":339,""image"":""138_339.png""},{""label"":""A3"",""top"":138,""bottom"":405,""image"":""138_405.png""},{""label"":""A4"",""top"":138,""bottom"":66,""image"":""138_66.png""},{""label"":""B1"",""top"":366,""bottom"":244,""image"":""366_244.png""},{""label"":""B3"",""top"":366,""bottom"":405,""image"":""366_405.png""},{""label"":""B4"",""top"":366,""bottom"":66,""image"":""366_66.png""},{""label"":""C1"",""top"":422,""bottom"":244,""image"":""422_244.png""},{""label"":""C2"",""top"":422,""bottom"":339,""image"":""422_339.png""},{""label"":""C4"",""top"":422,""bottom"":66,""image"":""422_66.png""},{""label"":""D1"",""top"":279,""bottom"":244,""image"":""279_244.png""},{""label"":""D2"",""top"":279,""bottom"":339,""image"":""279_339.png""},{""label"":""D3"",""top"":279,""bottom"":405,""image"":""279_405.png""}]",2026-08-21T11:32:59.356879-05:00,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",2026-08-21T11:32:59.356879-05:00,"{""contextSize"":4,""contextStructure"":""comp-within"",""describeSecondsPerItem"":10,""feedbackDuration"":1,""maxTimeout"":5,""numRepetitionsWithPartner"":1,""playerCount"":2,""selectionDuration"":30,""showNegativeFeedback"":1}",2026-08-21T11:32:14.281366-05:00,exp2-test-comp-within,2026-08-21T11:32:14.281366-05:00
01M0JK9BZ1KRYD1KCET8TJ3NXX,2,2026-08-21T11:44:08.122904-05:00,01M0JK9BY4R112K1G4R9MXJ5Y6,2026-08-21T11:43:25.025533-05:00,0,2026-08-21T11:44:08.172117-05:00,"{""1"":244,""2"":339,""3"":405,""4"":66,""5"":448,""6"":333,""7"":364,""8"":25,""9"":24,""10"":126,""11"":32,""12"":1,""A"":138,""B"":366,""C"":422,""D"":279,""E"":452,""F"":120,""G"":260,""H"":162,""I"":150,""J"":401,""K"":239,""L"":444}",2026-08-21T11:44:08.172117-05:00,4,2026-08-21T11:44:08.153362-05:00,comp-within,2026-08-21T11:44:08.153362-05:00,true,2026-08-21T11:45:56.588684-05:00,false,2026-08-21T11:44:08.153362-05:00,end of game,2026-08-21T11:45:56.598479-05:00,01M0JK9BZBX5GEENSYJC0TFFGQ,2026-08-21T11:43:25.036028-05:00,false,2026-08-21T11:44:08.433975-05:00,01M0JK9VKJM65E59332M0CX7KM,2026-08-21T11:43:41.050727-05:00,5,2026-08-21T11:44:08.153362-05:00,20,2026-08-21T11:44:08.172117-05:00,20,2026-08-21T11:44:08.172117-05:00,0,2026-08-21T11:44:08.153362-05:00,180,2026-08-21T11:44:08.153362-05:00,13,2026-08-21T11:44:08.172117-05:00,0,2026-08-21T11:44:08.153362-05:00,0,2026-08-21T11:44:08.153362-05:00,0,2026-08-21T11:44:08.153362-05:00,0,2026-08-21T11:44:08.153362-05:00,1,2026-08-21T11:44:08.153362-05:00,null,2026-08-21T11:45:56.588684-05:00,true,2026-08-21T11:44:08.122904-05:00,true,2026-08-21T11:44:08.122904-05:00,ended,2026-08-21T11:45:56.598479-05:00,exp2-1,2026-08-21T11:44:08.172117-05:00,"[{""label"":""A2"",""top"":138,""bottom"":339,""image"":""138_339.png""},{""label"":""A3"",""top"":138,""bottom"":405,""image"":""138_405.png""},{""label"":""A4"",""top"":138,""bottom"":66,""image"":""138_66.png""},{""label"":""B1"",""top"":366,""bottom"":244,""image"":""366_244.png""},{""label"":""B3"",""top"":366,""bottom"":405,""image"":""366_405.png""},{""label"":""B4"",""top"":366,""bottom"":66,""image"":""366_66.png""},{""label"":""C1"",""top"":422,""bottom"":244,""image"":""422_244.png""},{""label"":""C2"",""top"":422,""bottom"":339,""image"":""422_339.png""},{""label"":""C4"",""top"":422,""bottom"":66,""image"":""422_66.png""},{""label"":""D1"",""top"":279,""bottom"":244,""image"":""279_244.png""},{""label"":""D2"",""top"":279,""bottom"":339,""image"":""279_339.png""},{""label"":""D3"",""top"":279,""bottom"":405,""image"":""279_405.png""}]",2026-08-21T11:44:08.172117-05:00,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",2026-08-21T11:44:08.172117-05:00,"{""contextSize"":4,""contextStructure"":""comp-within"",""describeSecondsPerItem"":10,""feedbackDuration"":1,""maxTimeout"":5,""numRepetitionsWithPartner"":1,""playerCount"":2,""selectionDuration"":30,""showNegativeFeedback"":1}",2026-08-21T11:43:25.025533-05:00,exp2-test-comp-within,2026-08-21T11:43:25.025533-05:00
