id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,rotation,rotationLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01JH1F2GX7DR1ZQG7AGSN3KRT7,2,2025-01-07T23:05:02.338624717Z,01JH1F2GWN9BRWEZHJG2Y9F7DZ,2025-01-07T22:44:55.335425149Z,"[63,36,223,188]",2025-01-07T23:05:02.587610046Z,4,2025-01-07T23:05:02.366875909Z,comp-within,2025-01-07T23:05:02.366875909Z,true,2025-01-07T23:33:40.289217284Z,end of game,2025-01-07T23:33:40.3202806Z,01JH1F2GYKFW4EEEG28H8FHPCT,2025-01-07T22:44:55.381320404Z,true,2025-01-07T23:05:02.587610046Z,3,2025-01-07T23:05:02.366875909Z,0,2025-01-07T23:05:02.366875909Z,63,2025-01-07T23:05:02.587610046Z,1,2025-01-07T23:05:02.366875909Z,null,2025-01-07T23:33:40.289217284Z,true,2025-01-07T23:05:02.338624717Z,true,2025-01-07T23:05:02.338624717Z,ended,2025-01-07T23:33:40.3202806Z,"[[267,63],[267,36],[267,223],[267,188],[187,63],[187,36],[187,223],[187,188],[270,63],[270,36],[270,223],[270,188],[254,63],[254,36],[254,223],[254,188]]",2025-01-07T23:05:02.587610046Z,"[267,187,270,254]",2025-01-07T23:05:02.587610046Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T22:44:55.335425149Z,full-comp-within,2025-01-07T22:44:55.335425149Z
01JH1FPYSBXXZ6KPHKJBRG98KY,2,2025-01-07T23:16:10.466246155Z,01JH1FPYRY2N1PAAP7WYQBA41J,2025-01-07T22:56:04.907663838Z,"[161,40,239,45]",2025-01-07T23:16:10.934220193Z,4,2025-01-07T23:16:10.514245152Z,comp-within,2025-01-07T23:16:10.514245152Z,true,2025-01-07T23:43:59.369173867Z,timeOut,2025-01-07T23:43:59.349580207Z,01JH1FPYT6Y8F0EVCSX4GK2HMX,2025-01-07T22:56:04.936521204Z,true,2025-01-07T23:16:10.934220193Z,3,2025-01-07T23:16:10.514245152Z,270,2025-01-07T23:16:10.514245152Z,63,2025-01-07T23:16:10.934220193Z,1,2025-01-07T23:16:10.514245152Z,null,2025-01-07T23:43:59.369173867Z,true,2025-01-07T23:16:10.466246155Z,true,2025-01-07T23:16:10.466246155Z,ended,2025-01-07T23:43:59.349580207Z,"[[135,161],[135,40],[135,239],[135,45],[99,161],[99,40],[99,239],[99,45],[159,161],[159,40],[159,239],[159,45],[98,161],[98,40],[98,239],[98,45]]",2025-01-07T23:16:10.934220193Z,"[135,99,159,98]",2025-01-07T23:16:10.934220193Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T22:56:04.907663838Z,full-comp-within,2025-01-07T22:56:04.907663838Z
01JH1FPYSD6AFHHMZW70VZN68N,2,2025-01-07T23:16:18.314994556Z,01JH1FPYRY2N1PAAP7WYQBA41J,2025-01-07T22:56:04.909754429Z,"[167,306,273,207,443,35,91,77,372,390,127,409,398,324,362,147]",2025-01-07T23:16:19.726825804Z,4,2025-01-07T23:16:19.347900885Z,noncomp,2025-01-07T23:16:19.347900885Z,true,2025-01-07T23:51:57.973534813Z,end of game,2025-01-07T23:51:58.008865714Z,01JH1FPYTMFV2B35A4A5MPS4DV,2025-01-07T22:56:04.950642977Z,true,2025-01-07T23:16:19.726825804Z,3,2025-01-07T23:16:19.347900885Z,90,2025-01-07T23:16:19.347900885Z,63,2025-01-07T23:16:19.726825804Z,1,2025-01-07T23:16:19.347900885Z,null,2025-01-07T23:51:57.973534813Z,true,2025-01-07T23:16:18.314994556Z,true,2025-01-07T23:16:18.314994556Z,ended,2025-01-07T23:51:58.008865714Z,"[[64,167],[291,306],[287,273],[367,207],[57,443],[157,35],[202,91],[235,77],[377,372],[459,390],[30,127],[316,409],[188,398],[108,324],[359,362],[128,147]]",2025-01-07T23:16:19.726825804Z,"[64,291,287,367,57,157,202,235,377,459,30,316,188,108,359,128]",2025-01-07T23:16:19.726825804Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T22:56:04.909754429Z,full-noncomp,2025-01-07T22:56:04.909754429Z
01JH1F0VW6JT3H4WKEJFKRQGWC,2,2025-01-07T22:59:21.870911944Z,01JH1F0VV6DMN73981986B8RYJ,2025-01-07T22:44:01.03005515Z,"[92,243,219,279]",2025-01-07T22:59:22.085131443Z,4,2025-01-07T22:59:21.890348932Z,comp-between,2025-01-07T22:59:21.890348932Z,true,2025-01-07T23:03:37.886818776Z,timeOut,2025-01-07T23:03:37.881650163Z,01JH1F0VX0QJ5HD70S5JWQTQXE,2025-01-07T22:44:01.058651046Z,true,2025-01-07T22:59:22.085131443Z,3,2025-01-07T22:59:21.890348932Z,180,2025-01-07T22:59:21.890348932Z,63,2025-01-07T22:59:22.085131443Z,1,2025-01-07T22:59:21.890348932Z,null,2025-01-07T23:03:37.886818776Z,true,2025-01-07T22:59:21.870911944Z,true,2025-01-07T22:59:21.870911944Z,ended,2025-01-07T23:03:37.881650163Z,"[[1,92],[1,243],[1,219],[1,279],[78,92],[78,243],[78,219],[78,279],[162,92],[162,243],[162,219],[162,279],[337,92],[337,243],[337,219],[337,279]]",2025-01-07T22:59:22.085131443Z,"[1,78,162,337]",2025-01-07T22:59:22.085131443Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T22:44:01.03005515Z,full-comp-between,2025-01-07T22:44:01.03005515Z
01JH1F0VW7XB18ASJ0NKJ196TK,2,2025-01-07T23:04:08.040199671Z,01JH1F0VV6DMN73981986B8RYJ,2025-01-07T22:44:01.031122557Z,"[57,145,399,459]",2025-01-07T23:04:08.24967533Z,4,2025-01-07T23:04:08.066194055Z,comp-within,2025-01-07T23:04:08.066194055Z,true,2025-01-07T23:26:47.23241561Z,end of game,2025-01-07T23:26:47.260759188Z,01JH1F0VXKZZCE5HM51P7KZ5SV,2025-01-07T22:44:01.078731958Z,true,2025-01-07T23:04:08.24967533Z,3,2025-01-07T23:04:08.066194055Z,0,2025-01-07T23:04:08.066194055Z,63,2025-01-07T23:04:08.24967533Z,1,2025-01-07T23:04:08.066194055Z,null,2025-01-07T23:26:47.23241561Z,true,2025-01-07T23:04:08.040199671Z,true,2025-01-07T23:04:08.040199671Z,ended,2025-01-07T23:26:47.260759188Z,"[[212,57],[212,145],[212,399],[212,459],[226,57],[226,145],[226,399],[226,459],[363,57],[363,145],[363,399],[363,459],[440,57],[440,145],[440,399],[440,459]]",2025-01-07T23:04:08.24967533Z,"[212,226,363,440]",2025-01-07T23:04:08.24967533Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T22:44:01.031122557Z,full-comp-within,2025-01-07T22:44:01.031122557Z
01JH1F0VW7XB18ASJ0P081ZZVT,2,2025-01-07T22:58:16.158458985Z,01JH1F0VV6DMN73981986B8RYJ,2025-01-07T22:44:01.0317975Z,"[153,414,133,77,215,116,453,394,66,179,155,422,342,124,87,5]",2025-01-07T22:58:16.380928396Z,4,2025-01-07T22:58:16.177719316Z,noncomp,2025-01-07T22:58:16.177719316Z,true,2025-01-07T23:22:00.111345935Z,end of game,2025-01-07T23:22:00.135957648Z,01JH1F0VYBS3Q53PE96ZE59F5Q,2025-01-07T22:44:01.101395602Z,true,2025-01-07T22:58:16.380928396Z,3,2025-01-07T22:58:16.177719316Z,270,2025-01-07T22:58:16.177719316Z,63,2025-01-07T22:58:16.380928396Z,1,2025-01-07T22:58:16.177719316Z,null,2025-01-07T23:22:00.111345935Z,true,2025-01-07T22:58:16.158458985Z,true,2025-01-07T22:58:16.158458985Z,ended,2025-01-07T23:22:00.135957648Z,"[[269,153],[171,414],[95,133],[450,77],[454,215],[48,116],[457,453],[169,394],[361,66],[243,179],[150,155],[173,422],[366,342],[63,124],[123,87],[392,5]]",2025-01-07T22:58:16.380928396Z,"[269,171,95,450,454,48,457,169,361,243,150,173,366,63,123,392]",2025-01-07T22:58:16.380928396Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T22:44:01.0317975Z,full-noncomp,2025-01-07T22:44:01.0317975Z
01JH1F2GX5K41HMV06X44CSAH5,2,2025-01-07T23:08:59.517328553Z,01JH1F2GWN9BRWEZHJG2Y9F7DZ,2025-01-07T22:44:55.333962891Z,"[40,410,84,37]",2025-01-07T23:08:59.845870384Z,4,2025-01-07T23:08:59.546781382Z,comp-between,2025-01-07T23:08:59.546781382Z,true,2025-01-07T23:32:32.752349343Z,end of game,2025-01-07T23:32:32.791402348Z,01JH1F2GY5E78J4KHJ7ECA8MRS,2025-01-07T22:44:55.367402373Z,true,2025-01-07T23:08:59.845870384Z,3,2025-01-07T23:08:59.546781382Z,180,2025-01-07T23:08:59.546781382Z,63,2025-01-07T23:08:59.845870384Z,1,2025-01-07T23:08:59.546781382Z,null,2025-01-07T23:32:32.752349343Z,true,2025-01-07T23:08:59.517328553Z,true,2025-01-07T23:08:59.517328553Z,ended,2025-01-07T23:32:32.791402348Z,"[[3,40],[3,410],[3,84],[3,37],[215,40],[215,410],[215,84],[215,37],[130,40],[130,410],[130,84],[130,37],[21,40],[21,410],[21,84],[21,37]]",2025-01-07T23:08:59.845870384Z,"[3,215,130,21]",2025-01-07T23:08:59.845870384Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T22:44:55.333962891Z,full-comp-between,2025-01-07T22:44:55.333962891Z
01JH1G90GH3ZQX32Q109C1JCDD,2,2025-01-07T23:25:42.174736779Z,01JH1G90FVA7G9KNR2B5RQV60J,2025-01-07T23:05:56.497720808Z,"[297,303,286,239,359,8,464,218,377,455,179,271,33,12,384,250]",2025-01-07T23:25:42.854846671Z,4,2025-01-07T23:25:42.233306928Z,noncomp,2025-01-07T23:25:42.233306928Z,true,2025-01-08T00:03:46.594279249Z,end of game,2025-01-08T00:03:46.630799464Z,01JH1G90JMWCN747468TTP6W7Q,2025-01-07T23:05:56.565809155Z,true,2025-01-07T23:25:42.854846671Z,3,2025-01-07T23:25:42.233306928Z,90,2025-01-07T23:25:42.233306928Z,63,2025-01-07T23:25:42.854846671Z,1,2025-01-07T23:25:42.233306928Z,null,2025-01-08T00:03:46.594279249Z,true,2025-01-07T23:25:42.174736779Z,true,2025-01-07T23:25:42.174736779Z,ended,2025-01-08T00:03:46.630799464Z,"[[389,297],[57,303],[163,286],[284,239],[266,359],[314,8],[49,464],[104,218],[123,377],[107,455],[217,179],[99,271],[311,33],[403,12],[135,384],[463,250]]",2025-01-07T23:25:42.854846671Z,"[389,57,163,284,266,314,49,104,123,107,217,99,311,403,135,463]",2025-01-07T23:25:42.854846671Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T23:05:56.497720808Z,full-noncomp,2025-01-07T23:05:56.497720808Z
01JH1F2GX6BEVR4BAV8462G3EX,2,2025-01-07T23:09:24.538576325Z,01JH1F2GWN9BRWEZHJG2Y9F7DZ,2025-01-07T22:44:55.33478868Z,"[235,104,435,440,62,203,458,79,317,338,294,60,158,464,120,167]",2025-01-07T23:09:24.837470339Z,4,2025-01-07T23:09:24.578316853Z,noncomp,2025-01-07T23:09:24.578316853Z,true,2025-01-07T23:38:45.656829671Z,end of game,2025-01-07T23:38:45.692107397Z,01JH1F2GXRCDNHFD9QEJW7Q4F4,2025-01-07T22:44:55.354420229Z,true,2025-01-07T23:09:24.837470339Z,3,2025-01-07T23:09:24.578316853Z,270,2025-01-07T23:09:24.578316853Z,63,2025-01-07T23:09:24.837470339Z,1,2025-01-07T23:09:24.578316853Z,null,2025-01-07T23:38:45.656829671Z,true,2025-01-07T23:09:24.538576325Z,true,2025-01-07T23:09:24.538576325Z,ended,2025-01-07T23:38:45.692107397Z,"[[430,235],[394,104],[6,435],[64,440],[289,62],[12,203],[342,458],[345,79],[139,317],[284,338],[39,294],[86,60],[99,158],[404,464],[182,120],[384,167]]",2025-01-07T23:09:24.837470339Z,"[430,394,6,64,289,12,342,345,139,284,39,86,99,404,182,384]",2025-01-07T23:09:24.837470339Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T22:44:55.33478868Z,full-noncomp,2025-01-07T22:44:55.33478868Z
01JH1FPYSBXXZ6KPHKHW6Q97EB,2,2025-01-07T23:12:53.768848268Z,01JH1FPYRY2N1PAAP7WYQBA41J,2025-01-07T22:56:04.907480669Z,"[310,84,332,359]",2025-01-07T23:12:54.130109284Z,4,2025-01-07T23:12:53.807556524Z,comp-between,2025-01-07T23:12:53.807556524Z,true,2025-01-07T23:36:46.113727955Z,end of game,2025-01-07T23:36:46.14342598Z,01JH1FPYSTPKFN36PKSR5AK502,2025-01-07T22:56:04.923962973Z,true,2025-01-07T23:12:54.130109284Z,3,2025-01-07T23:12:53.807556524Z,270,2025-01-07T23:12:53.807556524Z,63,2025-01-07T23:12:54.130109284Z,1,2025-01-07T23:12:53.807556524Z,null,2025-01-07T23:36:46.113727955Z,true,2025-01-07T23:12:53.768848268Z,true,2025-01-07T23:12:53.768848268Z,ended,2025-01-07T23:36:46.14342598Z,"[[181,310],[181,84],[181,332],[181,359],[322,310],[322,84],[322,332],[322,359],[90,310],[90,84],[90,332],[90,359],[101,310],[101,84],[101,332],[101,359]]",2025-01-07T23:12:54.130109284Z,"[181,322,90,101]",2025-01-07T23:12:54.130109284Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T22:56:04.907480669Z,full-comp-between,2025-01-07T22:56:04.907480669Z
