gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets
01J1GBK6SJY4W02RSZHCGGWNQ1,NA,01J1GBK6S05D9M5VGD4N34FSR5,NA,NA,terminated,NA
01J1GBK6SKDRW2T0DT9NBZDD85,NA,01J1GBK6S05D9M5VGD4N34FSR5,NA,NA,terminated,NA
01J1GBK6SQ4AEY9TYN189G0XXR,NA,01J1GBK6S05D9M5VGD4N34FSR5,NA,NA,terminated,NA
01J1GC6FWRQ635VP9NEJPYXAAA,2,01J1GC6FW8MAYTMD1B3D93ZCCH,4,comp-between,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1GDGVB9VD9QZM57WJNGBSE3,2,01J1GDGVAB7DT53BEJKAXEN00S,4,noncomp,terminated,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]"
01J1GDHASBXZ6SCDTEHD99JNZ9,NA,01J1GDHARDV96TACY2NYM4YJ9V,NA,NA,terminated,NA
01J1GBK26D21DVATKGAY8P4SJK,2,01J1GBK25HJKDE4YJE63JRP132,4,comp-within,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1GBK26FB54362GGJR86CQAT,2,01J1GBK25HJKDE4YJE63JRP132,4,noncomp,ended,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]"
01J1GDX2EDTXCYB9B8VEBCE6ZH,NA,01J1GDX2CGDNRDXKWBAFKRCECC,NA,NA,failed,NA
01J1GC6FWV623Q1S58FYC029H6,2,01J1GC6FW8MAYTMD1B3D93ZCCH,4,noncomp,ended,"[[0,16],[1,17],[2,18],[3,19],[4,20],[5,21],[6,22],[7,23],[8,24],[9,25],[10,26],[11,27],[12,28],[13,29],[14,30],[15,31]]"
01J1GBK26CYMKC01RC7CNKBGM1,2,01J1GBK25HJKDE4YJE63JRP132,4,comp-between,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
01J1GC6FWTB9WWY47TTH34ZJK7,2,01J1GC6FW8MAYTMD1B3D93ZCCH,4,comp-within,ended,"[[0,16],[0,17],[0,18],[0,19],[1,16],[1,17],[1,18],[1,19],[2,16],[2,17],[2,18],[2,19],[3,16],[3,17],[3,18],[3,19]]"
