id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01JFGHA4B622FG9YA6N5TGYB01,01JFGFWSJ3PS8C1T010MK368EP,2024-12-19T22:41:14.598943637Z,01JFGFWSJTPRE578HBRT5YXA5V,2024-12-19T22:41:14.598943637Z,01JFGGPHKK3AVZJ78J4S5VYEDK,2024-12-19T22:41:14.598943637Z,01JFGGXV2FT0M533Z4S7BYX7TV,2024-12-19T22:41:14.598943637Z
01JFGJJMVAD1QEDJETWGYABAS0,01JFGFWSJ3PS8C1T010MK368EP,2024-12-19T23:03:22.21881934Z,01JFGFWSJSN7CYYEARKZXH111B,2024-12-19T23:03:22.21881934Z,01JFGH9N89BJHQ0G9TGZVH9VKV,2024-12-19T23:03:22.21881934Z,01JFGHBZS8CBS58MXD9G295MW0,2024-12-19T23:03:22.21881934Z
01JFGJNPQD3CAAGY69ZVBE7172,01JFGFWSJ3PS8C1T010MK368EP,2024-12-19T23:05:02.445097435Z,01JFGFWSJTPRE578HBRT5YXA5V,2024-12-19T23:05:02.445097435Z,01JFGGPHKK3AVZJ78J4S5VYEDK,2024-12-19T23:05:02.445097435Z,01JFGGXV42Y8GGBE4GMT4KEQG3,2024-12-19T23:05:02.445097435Z
01JFGJYBNV6T7G55833T9ZX9MK,01JFGFWSJ3PS8C1T010MK368EP,2024-12-19T23:09:46.044059123Z,01JFGFWSJTPRE578HBRT5YXA5V,2024-12-19T23:09:46.044059123Z,01JFGGPHKK3AVZJ78J4S5VYEDK,2024-12-19T23:09:46.044059123Z,01JFGGXV3HJDX7968HCKPAVP09,2024-12-19T23:09:46.044059123Z
01JFGKAPD7BJRYZT96VNHKB1YR,01JFGFW0DVE7CVHWSRC197DM3P,2024-12-19T23:16:30.24758207Z,01JFGFW0F27SHDS0SFHGM8CNDF,2024-12-19T23:16:30.24758207Z,01JFGGQK2BT0FZKWF7K16B1AFN,2024-12-19T23:16:30.24758207Z,01JFGH3DKXTMAT66BYQD0B3VM8,2024-12-19T23:16:30.24758207Z
01JFGGTV5T3PMQTZV13RWYS8D9,01JFGFWXRF7SWH4R9JWCGX5AX9,2024-12-19T22:32:53.690205835Z,01JFGFWXS1CYQ8W171661NCV0C,2024-12-19T22:32:53.690205835Z,01JFGGM5WH54V3KZQZR41Y89CR,2024-12-19T22:32:53.690205835Z,01JFGGTRV1AK0XQ96D1FW340T0,2024-12-19T22:32:53.690205835Z
01JFGHS4H83W99YBMR6XFTF6VC,01JFGFWXRF7SWH4R9JWCGX5AX9,2024-12-19T22:49:26.31251444Z,01JFGFWXS1CYQ8W171661NCV0C,2024-12-19T22:49:26.31251444Z,01JFGGM5WH54V3KZQZR41Y89CR,2024-12-19T22:49:26.31251444Z,01JFGGTRWTHG87A7WQ92WM3X6W,2024-12-19T22:49:26.31251444Z
01JFGHYJ1NC7YNACRAEP98VFEF,01JFGFWSJ3PS8C1T010MK368EP,2024-12-19T22:52:23.989244506Z,01JFGFWSJTPRE578HBRT5YXA5V,2024-12-19T22:52:23.989244506Z,01JFGGPHKK3AVZJ78J4S5VYEDK,2024-12-19T22:52:23.989244506Z,01JFGGXV30D40VTH7W6WS61PKN,2024-12-19T22:52:23.989244506Z
01JFGJNHKZKMVVCV0PEV2KSNQQ,01JFGFWSJ3PS8C1T010MK368EP,2024-12-19T23:04:57.215702871Z,01JFGFWSJSN7CYYEARKZXH111B,2024-12-19T23:04:57.215702871Z,01JFGH9N89BJHQ0G9TGZVH9VKV,2024-12-19T23:04:57.215702871Z,01JFGHBZRRAQ7M7T5W0P41432H,2024-12-19T23:04:57.215702871Z
01JFGJFR7JXSH593X4HD5D22PE,01JFGFW0DVE7CVHWSRC197DM3P,2024-12-19T23:01:47.378676785Z,01JFGFW0F27SHDS0SFHRM30VA0,2024-12-19T23:01:47.378676785Z,01JFGGQNTR2KRJH94PV4GMMG7E,2024-12-19T23:01:47.378676785Z,01JFGH5CDYKRVX2FMRFG7F31CH,2024-12-19T23:01:47.378676785Z
