id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01J1G42QCE70VNVAH5NVPG12S4,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T19:10:14.926173611Z,01J1G1WHTAFKTGHBG3KKSCJSTE,2024-06-28T19:10:14.926173611Z,01J1G2BRW5KJ4ZP0C060PF0TCP,2024-06-28T19:10:14.926173611Z,01J1G2W2D43XH5HR1PCYE1QC41,2024-06-28T19:10:14.926173611Z
01J1G4PE8ZEQ3B9N8QBWGCJEEN,01J1G2YKKY64N5QWXBZ4KNKWBC,2024-06-28T19:21:00.959982394Z,01J1G2YKN01DFX61RSJD6JCCFB,2024-06-28T19:21:00.959982394Z,01J1G38P2XZ2TM9P4M66872N8Y,2024-06-28T19:21:00.959982394Z,01J1G3EE48A6SR7S87Y0M3W8PP,2024-06-28T19:21:00.959982394Z
01J1G3R5M19W2WJ7DVSRMZJNS9,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:04:29.057602071Z,01J1G2BFP2D4J7V9H0V3XJEAHQ,2024-06-28T19:04:29.057602071Z,01J1G2T8HB1GEVF048FFA2RHEY,2024-06-28T19:04:29.057602071Z,01J1G2YX6WPCMC99E3H8ETG5RQ,2024-06-28T19:04:29.057602071Z
01J1G3MXCRX30XV0S36JVBJJ2S,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:02:42.328550973Z,01J1G2BFP1PWCGVSRMBF7V50Z5,2024-06-28T19:02:42.328550973Z,01J1G2C0TJNERKCDPC78DA8EN3,2024-06-28T19:02:42.328550973Z,01J1G2KBPFC4M2GYD4DYDA3PZR,2024-06-28T19:02:42.328550973Z
01J1G35355N8953TD695VNDWEH,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:54:03.941776096Z,01J1G2BFP1PWCGVSRMBF7V50Z5,2024-06-28T18:54:03.941776096Z,01J1G2C0TJNERKCDPC78DA8EN3,2024-06-28T18:54:03.941776096Z,01J1G2KBNYYKF716Z0W4A50NQK,2024-06-28T18:54:03.941776096Z
01J1G3Q97ZQRCZ0YZ7D2KTJRAJ,01J1G2YKKY64N5QWXBZ4KNKWBC,2024-06-28T19:03:59.999634293Z,01J1G2YKN01DFX61RSJD6JCCFB,2024-06-28T19:03:59.999634293Z,01J1G31G1N74P19HSMVCG3S0FF,2024-06-28T19:03:59.999634293Z,01J1G3EDT80JWX0C57YCRSEXY1,2024-06-28T19:03:59.999634293Z
01J1G3N62CA4STZHNZ5AAHZ022,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T19:02:51.213016372Z,01J1G1WHT9T93BKEMYX1GA4C93,2024-06-28T19:02:51.213016372Z,01J1G28YDBHJP9AHTMTEE3RA7E,2024-06-28T19:02:51.213016372Z,01J1G2JBSB00KJV75W3AFCT8GQ,2024-06-28T19:02:51.213016372Z
01J1G3B0HWKCN5YD3BA9CGT5PN,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:57:17.884367264Z,01J1G1WHTAFKTGHBG3KKSCJSTE,2024-06-28T18:57:17.884367264Z,01J1G2PG89YW7YCDFRSWYMQG1W,2024-06-28T18:57:17.884367264Z,01J1G2W2A8NFAYJ9WXWZKGEB72,2024-06-28T18:57:17.884367264Z
01J1G3D4JS1PF23K4VGHJ9FD7F,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T18:58:27.545739664Z,01J1G2BFP1PWCGVSRMBF7V50Z5,2024-06-28T18:58:27.545739664Z,01J1G2C0TJNERKCDPC78DA8EN3,2024-06-28T18:58:27.545739664Z,01J1G2KBPGT0CADE97V01NAJPY,2024-06-28T18:58:27.545739664Z
01J1G3J904TZQYMVTJVKZPC3CG,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:01:15.908442816Z,01J1G2BFP2D4J7V9H0V3XJEAHQ,2024-06-28T19:01:15.908442816Z,01J1G2RV8EK2KYFBN5MV3JDGVZ,2024-06-28T19:01:15.908442816Z,01J1G2YX5B9MDZCFJPV2FD7CFQ,2024-06-28T19:01:15.908442816Z
01J1G481FPMJ6RZ00JKMJPHHBR,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:13:09.110432684Z,01J1G2BFNZX85J152SRG2XMJ7M,2024-06-28T19:13:09.110432684Z,01J1G36TYQ8DBDFBXF2TT5T4JT,2024-06-28T19:13:09.110432684Z,01J1G3CMWQZ57ZCWY8VER40871,2024-06-28T19:13:09.110432684Z
01J1G4H6DKJZEHTSN7BGG95P9V,01J1G2YKKY64N5QWXBZ4KNKWBC,2024-06-28T19:18:09.075348995Z,01J1G2YKN01DFX61RSJD6JCCFB,2024-06-28T19:18:09.075348995Z,01J1G38P2XZ2TM9P4M66872N8Y,2024-06-28T19:18:09.075348995Z,01J1G3EE1TGMPVNT8SR99CZE4C,2024-06-28T19:18:09.075348995Z
01J1G2ZTAMN7DZEWDP8R3WE19A,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:51:11.060777038Z,01J1G1WHT9T93BKEMYX1GA4C93,2024-06-28T18:51:11.060777038Z,01J1G20MXD2JXJMM31WQFG1M43,2024-06-28T18:51:11.060777038Z,01J1G2JBRSYN3152BWBEKQ7DA4,2024-06-28T18:51:11.060777038Z
01J1G3T5NC4J97B9111GA2VSVD,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T19:05:34.636076797Z,01J1G1WHT9T93BKEMYX1GA4C93,2024-06-28T19:05:34.636076797Z,01J1G20MXD2JXJMM31WQFG1M43,2024-06-28T19:05:34.636076797Z,01J1G2JBSGRMK7XV87CYZBN099,2024-06-28T19:05:34.636076797Z
01J1G3WJN4DDR5793ZTGHB8A4V,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:06:53.476571678Z,01J1G2BFP2D4J7V9H0V3XJEAHQ,2024-06-28T19:06:53.476571678Z,01J1G2RV8EK2KYFBN5MV3JDGVZ,2024-06-28T19:06:53.476571678Z,01J1G2YX8VQDSEY5X4WEE94RA9,2024-06-28T19:06:53.476571678Z
01J1G3EWMM3WY8AQ5F3WBJD3EJ,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:59:24.948748969Z,01J1G1WHT9T93BKEMYX1GA4C93,2024-06-28T18:59:24.948748969Z,01J1G20MXD2JXJMM31WQFG1M43,2024-06-28T18:59:24.948748969Z,01J1G2JBS4G402APSQ5Y9MAV18,2024-06-28T18:59:24.948748969Z
01J1G48CQN6JG5472SZF36RBCE,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T19:13:20.629971916Z,01J1G1WHT4GZEZV213005AZ1MM,2024-06-28T19:13:20.629971916Z,01J1G2AW8JR5Q9P9WX8DF1C7DP,2024-06-28T19:13:20.629971916Z,01J1G2J4TKEEDWF0V2PQN5REJW,2024-06-28T19:13:20.629971916Z
01J1G48TGH61KANT2N0RZ1869W,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:13:34.737550655Z,01J1G2BFNZX85J152SRG2XMJ7M,2024-06-28T19:13:34.737550655Z,01J1G2EZDQFBSKJ15KW9KM1SPD,2024-06-28T19:13:34.737550655Z,01J1G3CN04D9YBX6JH1Z1YDSHY,2024-06-28T19:13:34.737550655Z
01J1G4J1KVEB5D88ER6SZYQXHS,01J1G2YKKY64N5QWXBZ4KNKWBC,2024-06-28T19:18:36.92378794Z,01J1G2YKN01DFX61RSJD6JCCFB,2024-06-28T19:18:36.92378794Z,01J1G31G1N74P19HSMVCG3S0FF,2024-06-28T19:18:36.92378794Z,01J1G3EE25A5ZG6Q1XZ9YNR388,2024-06-28T19:18:36.92378794Z
01J1G50WSBQ8PVS18N6QV7PYZC,01J1G2YKKY64N5QWXBZ4KNKWBC,2024-06-28T19:26:43.499648145Z,01J1G2YKN01DFX61RSJD6JCCFB,2024-06-28T19:26:43.499648145Z,01J1G31G1N74P19HSMVCG3S0FF,2024-06-28T19:26:43.499648145Z,01J1G3EDSJ2SD67X1HJDDTBCGD,2024-06-28T19:26:43.499648145Z
01J1G3H6Q12MW8D10XC9VTG01A,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T19:00:40.801054249Z,01J1G1WHT9T93BKEMYX1GA4C93,2024-06-28T19:00:40.801054249Z,01J1G28YDBHJP9AHTMTEE3RA7E,2024-06-28T19:00:40.801054249Z,01J1G2JBS85476NGFA1T4GS1X6,2024-06-28T19:00:40.801054249Z
01J1G3CD98NP8QPAVCVJAF5QC3,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:58:03.688422106Z,01J1G1WHTAFKTGHBG3KKSCJSTE,2024-06-28T18:58:03.688422106Z,01J1G2PG89YW7YCDFRSWYMQG1W,2024-06-28T18:58:03.688422106Z,01J1G2W2ABQ5BSH2C7BKK8JZP5,2024-06-28T18:58:03.688422106Z
01J1G3DEGGNK29A9WMCFHK1ZBN,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:58:37.712899914Z,01J1G1WHTAFKTGHBG3KKSCJSTE,2024-06-28T18:58:37.712899914Z,01J1G2BRW5KJ4ZP0C060PF0TCP,2024-06-28T18:58:37.712899914Z,01J1G2W2AD572T4ZCB0T91XR3J,2024-06-28T18:58:37.712899914Z
01J1G3VWYRY31REEYYT918498T,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T19:06:31.256207033Z,01J1G1WHTAFKTGHBG3KKSCJSTE,2024-06-28T19:06:31.256207033Z,01J1G2PG89YW7YCDFRSWYMQG1W,2024-06-28T19:06:31.256207033Z,01J1G2W2C4983CBEZRVKWS891F,2024-06-28T19:06:31.256207033Z
01J1G37MTMN6CGNZT0YME34ZHF,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T18:55:27.572678095Z,01J1G1WHT9T93BKEMYX1GA4C93,2024-06-28T18:55:27.572678095Z,01J1G20MXD2JXJMM31WQFG1M43,2024-06-28T18:55:27.572678095Z,01J1G2JBRNXQ6TW3TYZX0YBEM1,2024-06-28T18:55:27.572678095Z
01J1G46JQ9Q4ZFBVVB0TF9CC9D,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:12:21.22520034Z,01J1G2BFP1PWCGVSRMBF7V50Z5,2024-06-28T19:12:21.22520034Z,01J1G29ZSQ2H4YGFV8J1JR7MDK,2024-06-28T19:12:21.22520034Z,01J1G2KBQBZK1BS2SXYSVC1P96,2024-06-28T19:12:21.22520034Z
01J1G4ZXQN47C0BJPHXW585F6F,01J1G2YKKY64N5QWXBZ4KNKWBC,2024-06-28T19:26:11.701455439Z,01J1G2YKN01DFX61RSJD6JCCFB,2024-06-28T19:26:11.701455439Z,01J1G38P2XZ2TM9P4M66872N8Y,2024-06-28T19:26:11.701455439Z,01J1G3EE7G5T73YHFNQ8FW4BYF,2024-06-28T19:26:11.701455439Z
01J1G41KCS5QTDCQ78PG0CB1YT,01J1G2BFN0V4NRGA0RRRMWK4VC,2024-06-28T19:09:38.073707348Z,01J1G2BFNZX85J152SRG2XMJ7M,2024-06-28T19:09:38.073707348Z,01J1G2EZDQFBSKJ15KW9KM1SPD,2024-06-28T19:09:38.073707348Z,01J1G3CMX7C4CPX45ZYT9CKE8C,2024-06-28T19:09:38.073707348Z
01J1G3EWB6CKNKASRB7PNE4Y37,01J1G2YKKY64N5QWXBZ4KNKWBC,2024-06-28T18:59:24.646940776Z,01J1G2YKN01DFX61RSJD6JCCFB,2024-06-28T18:59:24.646940776Z,01J1G31G1N74P19HSMVCG3S0FF,2024-06-28T18:59:24.646940776Z,01J1G3EDYNN4PK1WEQT2GY747B,2024-06-28T18:59:24.646940776Z
01J1G45DN3XFEX76XBGXT3PXA2,01J1G1WHSGH86TY9ERYRE7DDTW,2024-06-28T19:11:43.267347982Z,01J1G1WHT9T93BKEMYX1GA4C93,2024-06-28T19:11:43.267347982Z,01J1G28YDBHJP9AHTMTEE3RA7E,2024-06-28T19:11:43.267347982Z,01J1G2JBT5CCFYM90R17Y80R6A,2024-06-28T19:11:43.267347982Z
