gameID,batchID,contextStructure,contextSize,status,setId,setIndex,setReplicate,setSlotInReplicate,compSetId,rotation,numPretestItems,numPosttestItems,describeSecondsPerItem,stimulusSchemaVersion,trainingLabels,endedInactive,trainingRoundsCompleted,trainingRoundsExpected,endedReason
01M20X0YW742ZY2EX5FCQ61EFA,01M20X0YVH2AP42HQ7GDP3QA3Q,comp-within,4,ended,8,1,0,0,8,0,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",TRUE,NA,48,pretestAbandoned
01M20X12WDNRHQCMYC0R9VEVHQ,01M20X12W0MEDC1G6J3HF3H8EZ,comp-within,4,ended,9,2,0,0,9,90,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",TRUE,5,48,timeOut
01M20X12WE7PPHA7JSTZZ2E6FT,01M20X12W0MEDC1G6J3HF3H8EZ,comp-between,4,ended,8,1,0,0,8,0,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M20X12WH32MX7V56M1SN262T,01M20X12W0MEDC1G6J3HF3H8EZ,noncomp,4,ended,10,3,0,0,10,180,8,20,60,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",FALSE,48,48,end of game
01M215K1RCENCVM87G4759AF5H,01M215HT5DK54N1T34BJ7HXJSD,comp-between,4,ended,12,5,0,0,12,0,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M20X175C3KPQQT6V3T5B5Q0N,01M20X174Y6DM08PFPA8T98AHG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M20X0YW80CVJTXB8KR0PJ9Z8,01M20X0YVH2AP42HQ7GDP3QA3Q,comp-between,4,ended,8,1,0,1,8,0,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",TRUE,5,48,timeOut
01M20X13PPQ56SF2D1TXYZ1GT1,01M20X13P6VV8RYQABGGGN2H8H,comp-between,4,ended,8,1,0,1,8,0,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M20X14TTKZWGB70XGMAFRR2H,01M20X14T0SG6SY5CP4Y7K8KG0,comp-within,4,ended,8,1,0,1,8,0,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M20X14TW6FQW067YRK6RNDKN,01M20X14T0SG6SY5CP4Y7K8KG0,comp-between,4,ended,9,2,0,1,9,90,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M20X15BBYTN3YPSFQGJ5ZXF5,01M20X15AS9VRFG218VP0AFYBT,comp-between,4,ended,10,3,0,0,10,180,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M20WZK57NAX0A8X7B3WNHQN9,01M20WZK4DGZKBAGP34TVXJ8T6,noncomp,4,ended,8,1,0,0,8,0,8,20,60,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",FALSE,48,48,end of game
