gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets
01JGMPEGCD0EX4TXSSNEY3A670,2,01JGMPEGBWA2MPEFNSAW965NKY,4,noncomp,ended,"[[93,72],[51,197],[151,356],[293,75],[264,364],[87,146],[24,79],[357,48],[118,98],[277,150],[128,215],[370,191],[216,148],[385,302],[292,424],[345,25]]"
01JGMPEGCD0EX4TXSSNR8YRX74,2,01JGMPEGBWA2MPEFNSAW965NKY,4,comp-within,ended,"[[436,178],[436,52],[436,356],[436,260],[83,178],[83,52],[83,356],[83,260],[349,178],[349,52],[349,356],[349,260],[334,178],[334,52],[334,356],[334,260]]"
01JGMPETJ1NYR6E3J1F4NX8HFM,NA,01JGMPETHFG9CVHHC6XJE6A22A,NA,NA,terminated,NA
01JGMPDZ42BSHFVYVY6M672P0G,2,01JGMPDZ376T9XHA8WCVV40Y2J,4,comp-between,ended,"[[165,427],[165,212],[165,264],[165,99],[186,427],[186,212],[186,264],[186,99],[284,427],[284,212],[284,264],[284,99],[158,427],[158,212],[158,264],[158,99]]"
01JGMPEKWGHHVPTB7Y1WE4VE72,2,01JGMPEKW1V97KK4X1VQTESBEP,4,comp-between,ended,"[[233,219],[233,358],[233,406],[233,281],[224,219],[224,358],[224,406],[224,281],[210,219],[210,358],[210,406],[210,281],[71,219],[71,358],[71,406],[71,281]]"
01JGMPE587BR7N7WSVT2WDGBYZ,2,01JGMPE57MXBQ4QHPBXP8PZ1NK,4,comp-between,ended,"[[48,379],[48,180],[48,119],[48,441],[84,379],[84,180],[84,119],[84,441],[25,379],[25,180],[25,119],[25,441],[0,379],[0,180],[0,119],[0,441]]"
01JGMPE5881R3V1FHKJ19MG8QG,NA,01JGMPE57MXBQ4QHPBXP8PZ1NK,NA,NA,terminated,NA
01JGMPEGCCTMJ7086RP1QDWA0E,2,01JGMPEGBWA2MPEFNSAW965NKY,4,comp-between,ended,"[[229,31],[229,0],[229,155],[229,241],[355,31],[355,0],[355,155],[355,241],[441,31],[441,0],[441,155],[441,241],[91,31],[91,0],[91,155],[91,241]]"
01JGMPEKWGHHVPTB7Y2D6260DM,2,01JGMPEKW1V97KK4X1VQTESBEP,4,noncomp,ended,"[[194,182],[331,424],[233,32],[341,65],[404,96],[202,152],[136,204],[298,17],[293,189],[50,387],[307,93],[252,9],[423,376],[107,428],[246,84],[255,443]]"
01JGMPEKWH8QMTD4WJEC8GZVHA,2,01JGMPEKW1V97KK4X1VQTESBEP,4,comp-within,ended,"[[183,46],[183,189],[183,78],[183,309],[330,46],[330,189],[330,78],[330,309],[376,46],[376,189],[376,78],[376,309],[39,46],[39,189],[39,78],[39,309]]"
01JGMPETJ1NYR6E3J1EVCQBS9H,NA,01JGMPETHFG9CVHHC6XJE6A22A,NA,NA,terminated,NA
01JGMPDZ43FFD9JRQ4A4DMTRA1,2,01JGMPDZ376T9XHA8WCVV40Y2J,4,noncomp,ended,"[[198,389],[128,429],[92,96],[305,251],[458,59],[115,220],[15,188],[66,99],[223,184],[349,309],[248,455],[334,285],[122,139],[348,432],[399,260],[403,386]]"
01JGMPDZ43FFD9JRQ4AJG1MR0F,2,01JGMPDZ376T9XHA8WCVV40Y2J,4,comp-within,ended,"[[307,365],[307,39],[307,73],[307,385],[346,365],[346,39],[346,73],[346,385],[50,365],[50,39],[50,73],[50,385],[373,365],[373,39],[373,73],[373,385]]"
01JGMPE5881R3V1FHKJHHTTK7K,2,01JGMPE57MXBQ4QHPBXP8PZ1NK,4,noncomp,ended,"[[443,4],[440,270],[355,222],[224,179],[143,146],[259,154],[431,465],[267,178],[288,93],[383,108],[280,202],[81,320],[142,421],[256,439],[109,153],[352,28]]"
01JGMPETJ1NYR6E3J1FJPCHZ1Q,NA,01JGMPETHFG9CVHHC6XJE6A22A,NA,NA,terminated,NA
