id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01J1QQQ2Y2SPG3KQJTC3PHJV8H,01J1QNE6K879FS2YCCFD4581M2,2024-07-01T18:08:06.082314133Z,3,2024-07-01T18:08:06.082314133Z,true,2024-07-01T18:17:54.827225634Z,,,01J1QNE6KNDHKGTDVN9A5ABN3E,2024-07-01T18:08:06.082314133Z,1,2024-07-01T18:08:06.082314133Z,true,2024-07-01T18:17:51.787327219Z,feedback,2024-07-01T18:08:06.082314133Z,01J1QQQ1M2N05PR409AF0V340X,2024-07-01T18:08:06.082314133Z,true,2024-07-01T18:17:51.736973134Z,true,2024-07-01T18:17:51.823178308Z,,,01J1QQQ2XM2J0PMS3RDH6ETNNF,2024-07-01T18:08:06.082314133Z
01J1QR68RKNEM532MXYHHENZB3,01J1QNEE1411JQHNJP627GJF23,2024-07-01T18:16:23.571488005Z,60,2024-07-01T18:16:23.571488005Z,true,2024-07-01T18:29:36.12290394Z,,,01J1QNEE1QGJVSMNPAJZ8D88KJ,2024-07-01T18:16:23.571488005Z,0,2024-07-01T18:16:23.571488005Z,true,2024-07-01T18:29:30.912363446Z,selection,2024-07-01T18:16:23.571488005Z,01J1QR66EXY6W0PRE3KHDTG2W9,2024-07-01T18:16:23.571488005Z,true,2024-07-01T18:29:30.83271251Z,true,2024-07-01T18:29:30.964378704Z,,,01J1QR68R8BRZH4VPEXSYVRA84,2024-07-01T18:16:23.571488005Z
01J1QPCP8YHWNQV34T3RTT26CG,01J1QNE11Z45RGCN8KT7NWPAJ4,2024-07-01T17:44:56.862522667Z,60,2024-07-01T17:44:56.862522667Z,true,2024-07-01T17:58:20.624998497Z,,,01J1QNE12RAT2HV30CJ14B10MV,2024-07-01T17:44:56.862522667Z,0,2024-07-01T17:44:56.862522667Z,true,2024-07-01T17:58:15.239143159Z,selection,2024-07-01T17:44:56.862522667Z,01J1QPCNHR03WE3V6AM735JEC0,2024-07-01T17:44:56.862522667Z,true,2024-07-01T17:58:15.210998627Z,true,2024-07-01T17:58:15.256967847Z,,,01J1QPCP8RJ5Q25MS2V18B8RPS,2024-07-01T17:44:56.862522667Z
01J1QQD4S77C7X5C0HH237M2BC,01J1QNE6K879FS2YCCFD4581M2,2024-07-01T18:02:40.296025697Z,3,2024-07-01T18:02:40.296025697Z,true,2024-07-01T18:06:27.240551558Z,,,01J1QNE6KPS5SV4KX4GKK5GM7S,2024-07-01T18:02:40.296025697Z,1,2024-07-01T18:02:40.296025697Z,true,2024-07-01T18:06:24.20289751Z,feedback,2024-07-01T18:02:40.296025697Z,01J1QQD484QX0B0DZ874QFSN2V,2024-07-01T18:02:40.296025697Z,true,2024-07-01T18:06:24.162148791Z,true,2024-07-01T18:06:24.235803726Z,,,01J1QQD4RTAB4VY9NQQQVQYJ82,2024-07-01T18:02:40.296025697Z
01J1QQD6EAEH05VTKSSZB1S2VG,01J1QNE6K879FS2YCCFD4581M2,2024-07-01T18:02:41.994534695Z,60,2024-07-01T18:02:41.994534695Z,true,2024-07-01T18:26:37.660839759Z,,,01J1QNE6KPS5SV4KX4GKK5GM7S,2024-07-01T18:02:41.994534695Z,0,2024-07-01T18:02:41.994534695Z,true,2024-07-01T18:26:26.478917501Z,selection,2024-07-01T18:02:41.994534695Z,01J1QQD4H5CESJHHH0EEWYBZEF,2024-07-01T18:02:41.994534695Z,true,2024-07-01T18:26:26.396908349Z,true,2024-07-01T18:26:26.534851677Z,,,01J1QQD6E3NYNW2E921GB9TN0N,2024-07-01T18:02:41.994534695Z
01J1QR679FAFWR1FNEQT9P5E12,01J1QNEE1411JQHNJP627GJF23,2024-07-01T18:16:22.063556768Z,3,2024-07-01T18:16:22.063556768Z,true,2024-07-01T18:20:28.139141372Z,,,01J1QNEE1QGJVSMNPAJZ8D88KJ,2024-07-01T18:16:22.063556768Z,1,2024-07-01T18:16:22.063556768Z,true,2024-07-01T18:20:25.099093659Z,feedback,2024-07-01T18:16:22.063556768Z,01J1QR666YSVNKPACXWW9G6G9H,2024-07-01T18:16:22.063556768Z,true,2024-07-01T18:20:25.042990078Z,true,2024-07-01T18:20:25.134772497Z,,,01J1QR678Y01BRGQJ86JF286BJ,2024-07-01T18:16:22.063556768Z
01J1QRJ5M7SPJ5ZSJCQ4T03KFY,01J1QNEE1411JQHNJP627GJF23,2024-07-01T18:22:53.575832187Z,60,2024-07-01T18:22:53.575832187Z,true,2024-07-01T18:31:08.784419316Z,,,01J1QNEE1NSP9W3MM8ZJCN4WGY,2024-07-01T18:22:53.575832187Z,0,2024-07-01T18:22:53.575832187Z,true,2024-07-01T18:30:21.737448398Z,selection,2024-07-01T18:22:53.575832187Z,01J1QRJ3VVZ5ZCBHBTY7AMAGWS,2024-07-01T18:22:53.575832187Z,true,2024-07-01T18:30:21.636603425Z,true,2024-07-01T18:30:21.79033809Z,,,01J1QRJ5KSSBAK9V0RJMGC1DRV,2024-07-01T18:22:53.575832187Z
01J1QRJ6NGY2VF5RQAMRK0NDTM,01J1QNEE1411JQHNJP627GJF23,2024-07-01T18:22:54.640621099Z,60,2024-07-01T18:22:54.640621099Z,true,2024-07-01T18:39:33.715064969Z,,,01J1QNEE1NSP9W3MM8ZJCN4WGY,2024-07-01T18:22:54.640621099Z,0,2024-07-01T18:22:54.640621099Z,true,2024-07-01T18:39:00.468778906Z,selection,2024-07-01T18:22:54.640621099Z,01J1QRJ453TKYCTC2SVFWQHA2E,2024-07-01T18:22:54.640621099Z,true,2024-07-01T18:39:00.359386904Z,true,2024-07-01T18:39:00.538434459Z,,,01J1QRJ6N3FDVT1JFSX6QQHQ0H,2024-07-01T18:22:54.640621099Z
01J1QRJ7Q2STE428FF2JCWT7NG,01J1QNEE1411JQHNJP627GJF23,2024-07-01T18:22:55.714489857Z,3,2024-07-01T18:22:55.714489857Z,true,2024-07-01T18:47:07.347394887Z,,,01J1QNEE1NSP9W3MM8ZJCN4WGY,2024-07-01T18:22:55.714489857Z,1,2024-07-01T18:22:55.714489857Z,true,2024-07-01T18:47:04.264088283Z,feedback,2024-07-01T18:22:55.714489857Z,01J1QRJ489EFN7BECF0ZK6ET6M,2024-07-01T18:22:55.714489857Z,true,2024-07-01T18:47:04.16876464Z,true,2024-07-01T18:47:04.338494757Z,,,01J1QRJ7P92P6PBVJ957DH8B18,2024-07-01T18:22:55.714489857Z
01J1QPEP8YERKR181MR9CXGNFY,01J1QNE11Z45RGCN8KT7NWPAJ4,2024-07-01T17:46:02.398361671Z,60,2024-07-01T17:46:02.398361671Z,true,2024-07-01T17:55:27.204059004Z,,,01J1QNE12VV9T74DS9BE310JQ7,2024-07-01T17:46:02.398361671Z,0,2024-07-01T17:46:02.398361671Z,true,2024-07-01T17:55:09.652948861Z,selection,2024-07-01T17:46:02.398361671Z,01J1QPEP0K6TGE29RD7GMXFNDM,2024-07-01T17:46:02.398361671Z,true,2024-07-01T17:55:09.624899736Z,true,2024-07-01T17:55:09.668421314Z,,,01J1QPEP8R4SYV7G3BH1RJG863,2024-07-01T17:46:02.398361671Z
01J1QPT72Q7EE1V7HKDTHVNNZW,01J1QNE398RS8YBXTYNPZB97GK,2024-07-01T17:52:20.055320192Z,3,2024-07-01T17:52:20.055320192Z,true,2024-07-01T18:12:19.817852922Z,,,01J1QNE39PJ7B8A0REVHZR1A7K,2024-07-01T17:52:20.055320192Z,1,2024-07-01T17:52:20.055320192Z,true,2024-07-01T18:12:16.77696822Z,feedback,2024-07-01T17:52:20.055320192Z,01J1QPT6AFKCBRXHV2RKJ927VW,2024-07-01T17:52:20.055320192Z,true,2024-07-01T18:12:16.733565957Z,true,2024-07-01T18:12:16.81255646Z,,,01J1QPT72FCY6B2D1NDJ9Y19VJ,2024-07-01T17:52:20.055320192Z
01J1QQ0EF9N87HBX0ACMSY58HK,01J1QNE398RS8YBXTYNPZB97GK,2024-07-01T17:55:44.233802887Z,3,2024-07-01T17:55:44.233802887Z,true,2024-07-01T18:07:58.004727806Z,,,01J1QNE39Q81W3DCXXJZ95X0QX,2024-07-01T17:55:44.233802887Z,1,2024-07-01T17:55:44.233802887Z,true,2024-07-01T18:07:54.865414911Z,feedback,2024-07-01T17:55:44.233802887Z,01J1QQ0DTXPYP0PMGB5KKK5RMV,2024-07-01T17:55:44.233802887Z,true,2024-07-01T18:07:54.80655577Z,true,2024-07-01T18:07:54.897994576Z,,,01J1QQ0EF247BE25WY11KP0096,2024-07-01T17:55:44.233802887Z
01J1QQ0EM0FE37CDMCXBM9XA7R,01J1QNE398RS8YBXTYNPZB97GK,2024-07-01T17:55:44.384477536Z,3,2024-07-01T17:55:44.384477536Z,true,2024-07-01T18:10:21.954216188Z,,,01J1QNE39Q81W3DCXXJZ95X0QX,2024-07-01T17:55:44.384477536Z,1,2024-07-01T17:55:44.384477536Z,true,2024-07-01T18:10:18.908701885Z,feedback,2024-07-01T17:55:44.384477536Z,01J1QQ0DSN2EWACNRKW500X37K,2024-07-01T17:55:44.384477536Z,true,2024-07-01T18:10:18.85763177Z,true,2024-07-01T18:10:18.94949476Z,,,01J1QQ0EKSD2223C8P05G21448,2024-07-01T17:55:44.384477536Z
01J1QSH8NTDY9ST5HY4QHHBSAA,01J1QNEE1411JQHNJP627GJF23,2024-07-01T18:39:52.506560509Z,60,2024-07-01T18:39:52.506560509Z,true,2024-07-01T18:57:34.964761654Z,,,01J1QNEE1P53GVS68GZ19GDF41,2024-07-01T18:39:52.506560509Z,0,2024-07-01T18:39:52.506560509Z,true,2024-07-01T18:57:28.517753877Z,selection,2024-07-01T18:39:52.506560509Z,01J1QSH3T1SBK3TMHA4T7M4K6Q,2024-07-01T18:39:52.506560509Z,true,2024-07-01T18:57:28.397676087Z,true,2024-07-01T18:57:28.574962765Z,,,01J1QSH8NB1TB54QZZGWKJ12X8,2024-07-01T18:39:52.506560509Z
