playerID,prolificID,bonus,exitStepDone,gameID,age,gender,strategy,enjoy,feedback,education
01JFG9DEE4WBNK3M0D0JDNFZ74,60600970c606ccb9d34d971c,1.89,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,29,female,"I used a similar description every time, and used shapes for the most part as a description.","Yes, they were good at the game as well.",None.,high-school
01JFGA1PKNX0GFZEKMCQM4H943,6100c3f0a1cd16bb87069625,1.5,TRUE,01JFG8ZHV16RJMZXAMJCSCC8YH,24,Female,"facing left was dragon, facing right was pelican, dragons sometimes had tails, or a hat. sometimes the letter E was on top",yes. It was fun coming up with names for certain patterns and shapes,"I would be very interested in seeing the results of the experiment, if possible. no issues",high-school
01JFGASY33Y3P6D9J4GPN0M6Q0,5f105b47d36c8701ec112275,1.65,TRUE,01JFG8Z9BQREF412YKSXPEAKSA,24,Female,Associating shapes with objects ,Yes! Figured out an effective way of solving them!,No issues,master
01JFGBS3G9EG1PR97B1Y4H1C2J,65e8d383f3c7e1afd7b5c98f,NA,TRUE,01JFGB974ZHW03GYHWQASYBYD4,37,Female,"Unfortunately, I was never paired with another user.",I never had a partner join and timed out.,A partner never generated.  I was unable to play.,bachelor
01JFGAC1WH2TXCBT66F364EZSM,5f105b47d36c8701ec112317,NA,NA,null,NA,NA,NA,NA,NA,NA
01JFG9Y2GE3VEMM3XYBMT1D85D,6615cf2bee511e3e7975b884,0.69,TRUE,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,66,FEMALE,TO SUBMIT THE MOST DESCRIPTIVE INFORMAITON AS QUICKLY AS POSSIBLE,YES IT WAS VERY INTERESTING BECAUSE WE WERE LEARNING AS WE DESCRIBED EACH SHAPE,IT WAS VERY INTERESTING THANK YOU,bachelor
01JFG9ZV5JCSCD633QXFWF0TNM,665dcb0d2c9144ebe6c75d07,1.83,TRUE,01JFG8YYF8H0QD8W9TRHSGW7CC,20,Female,To try and describe the shapes on the edges (left and right) of the object.,"Yes because we were both polite and also confused at first, but we both got it in the end.","No troubles occurred, thanks and I hope you have a great day!",high-school
01JFGA0RP6XQSZFPDJZDZNZHCM,6761c9431d0d84f0349009cc,1.74,TRUE,01JFGA58DFG208NE3ZXZFARAF8,20,male,smart,yes it was tricky,improper description,bachelor
01JFG9PEN3A5ZX6VA18MK09X2F,6762c959dff72156c231820e,NA,NA,null,NA,NA,NA,NA,NA,NA
01JFGA0C9WVRCKVPF6XX5156HR,67645a8359ebabb5492f4df1,NA,TRUE,null,21,Male,,,,high-school
01JFGA0NWRWKSJ3RKMWVYF5FSB,6659f63e797dcc3dad177ad0,1.83,TRUE,01JFG8YYF8H0QD8W9TRHSGW7CC,32,female,developed a common language after a couple of games. ,"i really enjoyed this! wish there was longer to chat, my partner seemed nice! ",10/10,master
01JFGA0RBK56J4X337FK5ABXF9,5c0cb29e1b80df00017843d2,NA,NA,null,NA,NA,NA,NA,NA,NA
01JFGA15QX4KN1PS5F13JKQ9JZ,6696e1ea592ddbb5087a889b,0.69,TRUE,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,37,Female,"After a few rounds, I understood my partner's choice of words",Yes,,master
01JFGA7HV1902WMDHP9B1VGH4F,66704e9e669e722abcd02aa6,NA,NA,null,NA,NA,NA,NA,NA,NA
01JFGA15AQNS2PES3EQRRP5408,5f13524c9e2ee935054f5fc2,1.5,TRUE,01JFG8ZHV16RJMZXAMJCSCC8YH,27,female,Describing what I saw exactly,No because the connection was bad,Game crashed and kept reconnecting,bachelor
01JFGAC3DMMYRBG1A56E5SQ95T,5f33051bf1d60a0f299fa7f7,1.77,TRUE,01JFG8Z7EFJZW02VJSC7JSSAXB,20,Female,being fast,yes,,high-school
01JFGB2B59CTSJXJMRCQWE3459,5fd2f46ccf5806125472ef4c,1.74,TRUE,01JFGA58DFG208NE3ZXZFARAF8,31,female,"describe the top half, describe the bottom half, repeat the same code names for repeating shapes in other rounds",slow to describe their shapes,"originally booted me out of the game, but then it put me back in the waiting room to play",bachelor
01JFGA27Z2X951JTAJ3AFNVA61,5ec950bb79519545f34c591a,NA,TRUE,null,42,Male,,,,bachelor
01JFGA5PT00JG7Z5D4WE3346GM,66b8ffcab6a358181e9865cc,NA,NA,null,NA,NA,NA,NA,NA,NA
01JFGAQBHR0HECY779RTQ2C4C3,66f52b5788cb0f542d8b25d5,1.65,TRUE,01JFG8Z9BQREF412YKSXPEAKSA,27,female,we used same words for signing,yes loved it,no thanks it was fun,bachelor
01JFG9JKCBFHFPAFFP1RJW3H2X,60885d559ca52f07dd234260,1.89,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,52,male,simplified description as much as possible and repeated what worked,"Yes, we did well together",none,bachelor
01JFGA0TZ6XPWKGSKPGNTXQ4JS,5eb179d6d6fcb726f9275f97,NA,NA,null,NA,NA,NA,NA,NA,NA
01JFGA5MVC6GPBAZSHJQHEDZ3W,676385f1a7380d36b8106891,1.77,TRUE,01JFG8Z7EFJZW02VJSC7JSSAXB,40,Male,"Very enjoyable, you have to be so efficient with words ",I did because we started using the same terminology as well went on,slight lag but nothing that would affect the game,bachelor
01JFGABVD4EG817S9BV16D99MN,654a52a0e1915fa246a2af21,NA,TRUE,null,19,female,Didn't get an partner.,Didn't get an partner.,Didn't get an partner.,high-school
01JFGBQKXGQH3JMB351PC97PKC,600f43c41b55c5112ac7fd7d,NA,NA,01JFGB974ZHW03GYHWQASYBYD4,NA,NA,NA,NA,NA,NA
