roundID,gameID,phase,trialNum,repNum,targetNum,numTrials,numTrialsPerBlock,setId,target,targetLabel,tangramURLs,displayLabels,response,correct,selection,director,matcher,selectionMadeAt,clickBlockedAt,block
01M0TTK10DESAY0F2DG5BPD9GH,01M0TSZEY54T11A9AMGVA6T4ZB,training,1,0,2,48,12,0,/tangrams/422_244.png,C1,"[""/tangrams/138_405.png"",""/tangrams/279_244.png"",""/tangrams/422_244.png"",""/tangrams/422_66.png""]","[""A3"",""D1"",""C1"",""C4""]",/tangrams/279_244.png,FALSE,/tangrams/279_244.png,01M0TT7FNH08P86PFHWCV3NRS8,01M0TT7ZVRQQW92P55GPN9KMMS,1787607794481,NA,1
01M0TTKMTB2BD5FYABW27NRN6H,01M0TSZEY173D8F3KEP071GR06,training,9,0,10,48,12,0,/tangrams/138_405.png,A3,"[""/tangrams/138_405.png"",""/tangrams/366_244.png"",""/tangrams/422_66.png"",""/tangrams/279_339.png""]","[""A3"",""B1"",""C4"",""D2""]",/tangrams/138_405.png,TRUE,/tangrams/138_405.png,01M0TT55D1DRDQ3JPT1CDTT5VN,01M0TTF3ADJ36CYQBD8356XFNQ,1787607522905,NA,1
01M0TTKMZ7SV3M807NSRGTM6WH,01M0TSZEY173D8F3KEP071GR06,training,28,2,5,48,12,0,/tangrams/366_405.png,B3,"[""/tangrams/422_244.png"",""/tangrams/279_339.png"",""/tangrams/366_405.png"",""/tangrams/138_66.png""]","[""C1"",""D2"",""B3"",""A4""]",/tangrams/366_405.png,TRUE,/tangrams/366_405.png,01M0TTF3ADJ36CYQBD8356XFNQ,01M0TT55D1DRDQ3JPT1CDTT5VN,1787607999687,NA,3
01M0TTNREH2MYN478MJT0BNDDE,01M0TSZGKJQW5S4GCP9150DNN9,training,41,3,6,48,12,1,/tangrams/264_176.png,F3,"[""/tangrams/264_176.png"",""/tangrams/348_441.png"",""/tangrams/157_426.png"",""/tangrams/20_464.png""]","[""F3"",""B2"",""F7"",""D4""]",NA,NA,NA,NA,NA,NA,NA,4
01M0TTYQG3P7C1E9BXX9CG051S,01M0TTMWMDPGAHQRDA7BZJ8FEZ,training,24,2,1,48,12,1,/tangrams/202_441.png,C2,"[""/tangrams/348_314.png"",""/tangrams/66_441.png"",""/tangrams/202_464.png"",""/tangrams/202_441.png""]","[""B1"",""A2"",""C4"",""C2""]",NA,NA,NA,NA,NA,NA,NA,3
01M0TTK10N5BD0SS5DA63HF9K7,01M0TSZEY54T11A9AMGVA6T4ZB,training,5,0,6,48,12,0,/tangrams/279_405.png,D3,"[""/tangrams/138_66.png"",""/tangrams/366_405.png"",""/tangrams/279_405.png"",""/tangrams/279_244.png""]","[""A4"",""B3"",""D3"",""D1""]",/tangrams/366_405.png,FALSE,/tangrams/366_405.png,01M0TT7FNH08P86PFHWCV3NRS8,01M0TT7ZVRQQW92P55GPN9KMMS,1787607999984,NA,1
01M0TTKDFMVBB86KHZHNHMN1MF,01M0TSZGKM72FFW193EYG47F25,training,44,3,9,48,12,0,/tangrams/279_339.png,D2,"[""/tangrams/279_339.png"",""/tangrams/422_339.png"",""/tangrams/279_405.png"",""/tangrams/366_244.png""]","[""D2"",""C2"",""D3"",""B1""]",NA,NA,NA,NA,NA,NA,NA,4
01M0TTKDCEYY6CWSPP642Y6N9K,01M0TSZGKM72FFW193EYG47F25,training,19,1,8,48,12,0,/tangrams/138_405.png,A3,"[""/tangrams/138_405.png"",""/tangrams/138_339.png"",""/tangrams/279_244.png"",""/tangrams/366_405.png""]","[""A3"",""A2"",""D1"",""B3""]",NA,NA,NA,NA,NA,NA,NA,2
01M0TTK16981VYRXVWJ54TEAB8,01M0TSZEY54T11A9AMGVA6T4ZB,training,34,2,11,48,12,0,/tangrams/138_339.png,A2,"[""/tangrams/422_339.png"",""/tangrams/138_66.png"",""/tangrams/366_244.png"",""/tangrams/138_339.png""]","[""C2"",""A4"",""B1"",""A2""]",/tangrams/138_339.png,TRUE,/tangrams/138_339.png,01M0TT7ZVRQQW92P55GPN9KMMS,01M0TT7FNH08P86PFHWCV3NRS8,1787609255186,NA,3
01M0TTKD9WJN40G5YHQ9QB17AZ,01M0TSZGKM72FFW193EYG47F25,training,11,0,12,48,12,0,/tangrams/279_339.png,D2,"[""/tangrams/279_339.png"",""/tangrams/138_339.png"",""/tangrams/279_405.png"",""/tangrams/366_244.png""]","[""D2"",""A2"",""D3"",""B1""]",NA,NA,NA,NA,NA,NA,NA,1
01M0TTYQ0CMGYVGRETB27VW2NK,01M0TTMWMDPGAHQRDA7BZJ8FEZ,training,10,0,11,48,12,1,/tangrams/20_441.png,D2,"[""/tangrams/66_464.png"",""/tangrams/20_24.png"",""/tangrams/20_441.png"",""/tangrams/202_441.png""]","[""A4"",""D3"",""D2"",""C2""]",/tangrams/66_464.png,FALSE,/tangrams/66_464.png,01M0TTJT0T1FXWVGTP027BYENQ,01M0TTENRE0ZSC234N2S1BW8ZS,1787608499489,NA,1
