id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,serverStartedAt,serverStartedAtLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01M0WY4FRZMNPXSS0R3KNWEB47,01M0WWQ9XB6TMTWDYN7GB59TN7,2026-08-25T17:05:23.743428835Z,3,2026-08-25T17:05:23.743428835Z,true,2026-08-25T17:27:17.202700262Z,01M0WWQ9XVXJV1JR4118CY5W09,2026-08-25T17:05:23.743428835Z,1,2026-08-25T17:05:23.743428835Z,true,2026-08-25T17:27:14.17637951Z,feedback,2026-08-25T17:05:23.743428835Z,01M0WY4EZ80NY4XRCDT9Z9RDKV,2026-08-25T17:05:23.743428835Z,1787678834185,2026-08-25T17:27:14.187299821Z,true,2026-08-25T17:27:14.148436184Z,true,2026-08-25T17:27:14.196662908Z,01M0WY4FRV9HKY8NK6H1VMWVYW,2026-08-25T17:05:23.743428835Z
01M0WY96YVCAW5V8KWJ0QCNQF3,01M0WWQAZ72GMKNB5E8VWC3WG2,2026-08-25T17:07:58.555610235Z,60,2026-08-25T17:07:58.555610235Z,true,2026-08-25T17:40:03.240473671Z,01M0WWQAZPP7VBJF1WXDE2YKFW,2026-08-25T17:07:58.555610235Z,0,2026-08-25T17:07:58.555610235Z,true,2026-08-25T17:39:26.052547402Z,selection,2026-08-25T17:07:58.555610235Z,01M0WY96B0AYVN97RBTBSKAHBX,2026-08-25T17:07:58.555610235Z,1787679566063,2026-08-25T17:39:26.070741658Z,true,2026-08-25T17:39:26.010311983Z,true,2026-08-25T17:39:26.084737475Z,01M0WY96YQV7FT6TD5TGRD02TS,2026-08-25T17:07:58.555610235Z
01M0WXAWD9MDBGJYHCEJ7MCE0E,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:51:24.713755351Z,60,2026-08-25T16:51:24.713755351Z,true,2026-08-25T17:09:14.396710212Z,01M0WWQ74H7CSGCPAHPDSCJ0PV,2026-08-25T16:51:24.713755351Z,0,2026-08-25T16:51:24.713755351Z,true,2026-08-25T17:08:43.940557721Z,selection,2026-08-25T16:51:24.713755351Z,01M0WXAW3NRDWKKHNXDDFPZ1DZ,2026-08-25T16:51:24.713755351Z,1787677723947,2026-08-25T17:08:43.948561537Z,true,2026-08-25T17:08:43.916111234Z,true,2026-08-25T17:08:43.957886363Z,01M0WXAWCX7XBN27N2ASFENJWR,2026-08-25T16:51:24.713755351Z
01M0WXAWFY7H9P2MS81BVF143Z,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:51:24.798087027Z,60,2026-08-25T16:51:24.798087027Z,true,2026-08-25T17:11:59.379287113Z,01M0WWQ74H7CSGCPAHPDSCJ0PV,2026-08-25T16:51:24.798087027Z,0,2026-08-25T16:51:24.798087027Z,true,2026-08-25T17:11:38.640443617Z,selection,2026-08-25T16:51:24.798087027Z,01M0WXAW6HBME2NMSG8ZSQ59CD,2026-08-25T16:51:24.798087027Z,1787677898647,2026-08-25T17:11:38.648725387Z,true,2026-08-25T17:11:38.61435606Z,true,2026-08-25T17:11:38.656830052Z,01M0WXAWFRF8CTV8FCT8P87Y3J,2026-08-25T16:51:24.798087027Z
01M0WXAWZZC1ZACXQWYY0A4JY4,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:51:25.313541091Z,3,2026-08-25T16:51:25.313541091Z,true,2026-08-25T17:24:18.116285868Z,01M0WWQ74H7CSGCPAHPDSCJ0PV,2026-08-25T16:51:25.313541091Z,1,2026-08-25T16:51:25.313541091Z,true,2026-08-25T17:24:15.096195752Z,feedback,2026-08-25T16:51:25.313541091Z,01M0WXAW566C7GT40FYFZ5EGM7,2026-08-25T16:51:25.313541091Z,1787678655102,2026-08-25T17:24:15.103516494Z,true,2026-08-25T17:24:15.072102789Z,true,2026-08-25T17:24:15.113850777Z,01M0WXAWZWW308CZRZ2AV1AK0Y,2026-08-25T16:51:25.313541091Z
01M0WXEBQ15N3KCMA73FACWS5Y,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:53:18.689237796Z,60,2026-08-25T16:53:18.689237796Z,false,2026-08-25T16:53:18.689237796Z,01M0WWQ74M3NWYAJGQB0ESKAD2,2026-08-25T16:53:18.689237796Z,0,2026-08-25T16:53:18.689237796Z,,,selection,2026-08-25T16:53:18.689237796Z,01M0WXEBB8QJ9XTEK22NWMS8Y9,2026-08-25T16:53:18.689237796Z,,,false,2026-08-25T16:53:18.689237796Z,,,01M0WXEBPW8SYPFV02HTTWBJD1,2026-08-25T16:53:18.689237796Z
01M0WXEBRZ15WYGXJK3PJN68YG,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:53:18.751711999Z,60,2026-08-25T16:53:18.751711999Z,false,2026-08-25T16:53:18.751711999Z,01M0WWQ74M3NWYAJGQB0ESKAD2,2026-08-25T16:53:18.751711999Z,0,2026-08-25T16:53:18.751711999Z,,,selection,2026-08-25T16:53:18.751711999Z,01M0WXEBBCKF6KCNT4RCTZKF6H,2026-08-25T16:53:18.751711999Z,,,false,2026-08-25T16:53:18.751711999Z,,,01M0WXEBRSB6ZZTS6J75MT1Z0P,2026-08-25T16:53:18.751711999Z
01M0WXAX3GFERWD0XTDZPD8V1C,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:51:25.424510133Z,3,2026-08-25T16:51:25.424510133Z,true,2026-08-25T17:26:32.073007534Z,01M0WWQ74H7CSGCPAHPDSCJ0PV,2026-08-25T16:51:25.424510133Z,1,2026-08-25T16:51:25.424510133Z,true,2026-08-25T17:26:29.046884789Z,feedback,2026-08-25T16:51:25.424510133Z,01M0WXAW6NBMJ6BCMNQQ7HDMN9,2026-08-25T16:51:25.424510133Z,1787678789056,2026-08-25T17:26:29.058216599Z,true,2026-08-25T17:26:29.020683499Z,true,2026-08-25T17:26:29.071022253Z,01M0WXAX3DBF97EW09G5R9F729,2026-08-25T16:51:25.424510133Z
01M0WXAX4RHYCZPMP8WXWXXJD3,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:51:25.464556048Z,3,2026-08-25T16:51:25.464556048Z,true,2026-08-25T17:27:23.490977107Z,01M0WWQ74H7CSGCPAHPDSCJ0PV,2026-08-25T16:51:25.464556048Z,1,2026-08-25T16:51:25.464556048Z,true,2026-08-25T17:27:20.465269013Z,feedback,2026-08-25T16:51:25.464556048Z,01M0WXAW4Y49Y4HWK8ED0F12GC,2026-08-25T16:51:25.464556048Z,1787678840473,2026-08-25T17:27:20.474546956Z,true,2026-08-25T17:27:20.428501679Z,true,2026-08-25T17:27:20.488456296Z,01M0WXAX4N7YJRKQPKSNNM0GF3,2026-08-25T16:51:25.464556048Z
01M0WXGF7V47PWJS6HX2HRC4F5,01M0WWQ73PEDYQHEYYBB88AXMD,2026-08-25T16:54:27.835852572Z,3,2026-08-25T16:54:27.835852572Z,false,2026-08-25T16:54:27.835852572Z,01M0WWQ74ND1AHANTF309RNWJE,2026-08-25T16:54:27.835852572Z,1,2026-08-25T16:54:27.835852572Z,,,feedback,2026-08-25T16:54:27.835852572Z,01M0WXGEB6M7FRBYQ0BH6H08R3,2026-08-25T16:54:27.835852572Z,,,false,2026-08-25T16:54:27.835852572Z,,,01M0WXGF7PR5KG3GXP6RMD595D,2026-08-25T16:54:27.835852572Z
