roundID,correct,gameID,index,numTrials,repNum,response,target,targetNum,trialNum,tangramURLs
01JFG9M8HRAQTAAG5C7P694GHF,TRUE,01JFG8YPFB4QWAE1J5AKFP27SX,60,65,3,/tangrams/74_82.png,/tangrams/74_82.png,13,60,"[""/tangrams/74_82.png"",""/tangrams/415_392.png"",""/tangrams/287_250.png"",""/tangrams/11_360.png""]"
01JFGA4GSANCZ699KWM5XPRF2G,TRUE,01JFG8YYF8H0QD8W9TRHSGW7CC,15,65,0,/tangrams/53_203.png,/tangrams/53_203.png,16,15,"[""/tangrams/462_203.png"",""/tangrams/53_232.png"",""/tangrams/53_203.png"",""/tangrams/462_232.png""]"
01JFGA8FK74TZ5JT46NV17WY9W,NA,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,53,65,3,NA,/tangrams/311_79.png,6,53,"[""/tangrams/170_437.png"",""/tangrams/170_79.png"",""/tangrams/311_79.png"",""/tangrams/311_437.png""]"
01JFGAFFWYYB22SJKJ86NNJM0V,TRUE,01JFG8Z7EFJZW02VJSC7JSSAXB,4,65,0,/tangrams/400_193.png,/tangrams/400_193.png,5,4,"[""/tangrams/93_45.png"",""/tangrams/117_24.png"",""/tangrams/400_193.png"",""/tangrams/63_116.png""]"
01JFGAFG2RRQK4YTC4KAC74T28,TRUE,01JFG8Z7EFJZW02VJSC7JSSAXB,39,65,2,/tangrams/219_68.png,/tangrams/219_68.png,8,39,"[""/tangrams/63_116.png"",""/tangrams/219_68.png"",""/tangrams/141_104.png"",""/tangrams/93_45.png""]"
01JFGA6DD3CKX838DEC9XM3TR6,TRUE,01JFG8ZHV16RJMZXAMJCSCC8YH,31,65,1,/tangrams/232_321.png,/tangrams/232_321.png,16,31,"[""/tangrams/22_321.png"",""/tangrams/232_321.png"",""/tangrams/22_346.png"",""/tangrams/232_346.png""]"
01JFGA6DFSJ3XTEQK0NH0HN84J,TRUE,01JFG8ZHV16RJMZXAMJCSCC8YH,50,65,3,/tangrams/413_321.png,/tangrams/413_321.png,3,50,"[""/tangrams/413_346.png"",""/tangrams/232_346.png"",""/tangrams/413_321.png"",""/tangrams/232_321.png""]"
01JFGA8FH61DNX75Q48S1MKS2C,TRUE,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,30,65,1,/tangrams/128_437.png,/tangrams/128_437.png,15,30,"[""/tangrams/170_437.png"",""/tangrams/128_79.png"",""/tangrams/128_437.png"",""/tangrams/170_79.png""]"
01JFGB9AYD7T8YDVQS5CGSJQSP,TRUE,01JFGA58DFG208NE3ZXZFARAF8,43,65,2,/tangrams/436_36.png,/tangrams/436_36.png,12,43,"[""/tangrams/182_36.png"",""/tangrams/182_272.png"",""/tangrams/436_272.png"",""/tangrams/436_36.png""]"
01JFGA8FEFSX13QR7HH2N7FERG,FALSE,01JFG9ZJ9GEX6MPZ0HAKGHGQ29,22,65,1,NA,/tangrams/128_79.png,7,22,"[""/tangrams/128_437.png"",""/tangrams/97_437.png"",""/tangrams/97_79.png"",""/tangrams/128_79.png""]"
