roundID,gameID,phase,trialNum,repNum,targetNum,numTrials,numTrialsPerBlock,setId,target,targetLabel,tangramURLs,displayLabels,response,correct,selection,director,matcher,selectionMadeAt,clickBlockedAt,block
01M0XF02WNZBKR56EBFYKXT9YJ,01M0XEBFYZ40VDCCZ70PM6EWHK,training,41,3,6,48,12,1,/tangrams/98_302.png,F6,"[""/tangrams/98_302.png"",""/tangrams/202_24.png"",""/tangrams/157_426.png"",""/tangrams/452_257.png""]","[""F6"",""C3"",""F7"",""F1""]",/tangrams/98_302.png,TRUE,/tangrams/98_302.png,01M0XERQP1ZQ8ZKRV6F98VE778,01M0XEW4XVCD53BQGS5F5TWC4E,1787696548498,NA,4
01M0XF2S2CEN98EPJ27QPNEPWM,01M0XEBKS0ZEFNX9SMQDQW2PZ4,training,23,1,12,48,12,2,/tangrams/421_342.png,B3,"[""/tangrams/186_342.png"",""/tangrams/421_342.png"",""/tangrams/10_349.png"",""/tangrams/421_15.png""]","[""D3"",""B3"",""A4"",""B1""]",/tangrams/421_15.png,FALSE,/tangrams/421_15.png,01M0XER9CN1N4H5AFH0XVE2HCE,01M0XES69GNPHVSPMR1TVP4HAR,1787697542951,NA,2
01M0XF7M2RQRF89FR40C1EN1KX,01M0XEBKS0ZEFNX9SMQQNF9DE2,training,35,2,12,48,12,2,/tangrams/421_15.png,B1,"[""/tangrams/128_7.png"",""/tangrams/186_342.png"",""/tangrams/421_15.png"",""/tangrams/10_349.png""]","[""C2"",""D3"",""B1"",""A4""]",NA,NA,NA,NA,NA,NA,NA,3
01M0XEXFNB3BPEG3GC501YZ1VD,01M0XEBFZ0825AFF4R333DJ4HK,training,27,2,4,48,12,1,/tangrams/66_24.png,A3,"[""/tangrams/20_24.png"",""/tangrams/348_464.png"",""/tangrams/66_24.png"",""/tangrams/66_441.png""]","[""D3"",""B4"",""A3"",""A2""]",/tangrams/66_24.png,TRUE,/tangrams/66_24.png,01M0XEQXMFVE0GRKM8DY7Y5DHN,01M0XER0XX29HJPEX4FRYGSWYD,1787696747384,NA,3
01M0XF2S240ASE0Z5PFABF7RHS,01M0XEBKS0ZEFNX9SMQDQW2PZ4,training,21,1,10,48,12,2,/tangrams/186_7.png,D2,"[""/tangrams/186_342.png"",""/tangrams/10_7.png"",""/tangrams/128_349.png"",""/tangrams/186_7.png""]","[""D3"",""A2"",""C4"",""D2""]",/tangrams/10_7.png,FALSE,/tangrams/10_7.png,01M0XER9CN1N4H5AFH0XVE2HCE,01M0XES69GNPHVSPMR1TVP4HAR,1787697455713,NA,2
01M0XF5J9QZQV8CR67CRYY99VA,01M0XEBJH60M51NVP8EGS7231S,training,33,2,10,48,12,2,/tangrams/370_396.png,F6,"[""/tangrams/304_351.png"",""/tangrams/370_396.png"",""/tangrams/128_342.png"",""/tangrams/236_198.png""]","[""F7"",""F6"",""C3"",""F8""]",/tangrams/370_396.png,TRUE,/tangrams/370_396.png,01M0XEQNJ9809PHWDZ742E11VG,01M0XF1AW05AX3PDCQ9PWGAR99,1787696571034,NA,3
01M0XF5J5V7JHTRHK3WKRFWSQ9,01M0XEBJH60M51NVP8EGS7231S,training,10,0,11,48,12,2,/tangrams/148_294.png,F4,"[""/tangrams/148_294.png"",""/tangrams/10_15.png"",""/tangrams/291_410.png"",""/tangrams/421_7.png""]","[""F4"",""A1"",""F3"",""B2""]",/tangrams/148_294.png,TRUE,/tangrams/148_294.png,01M0XF1AW05AX3PDCQ9PWGAR99,01M0XEQNJ9809PHWDZ742E11VG,1787696094675,NA,1
01M0XF7M8DFNMYSKQW55XFGV2J,01M0XEBKS0ZEFNX9SMQQNF9DE2,training,6,0,7,48,12,2,/tangrams/10_349.png,A4,"[""/tangrams/186_7.png"",""/tangrams/128_15.png"",""/tangrams/10_349.png"",""/tangrams/421_342.png""]","[""D2"",""C1"",""A4"",""B3""]",NA,NA,NA,NA,NA,NA,NA,1
01M0XFCD4AGEHK3321SKB0ZAA5,01M0XEP3TSE5MTCHYTC004C3XD,training,28,2,5,48,12,3,/tangrams/271_421.png,A2,"[""/tangrams/371_244.png"",""/tangrams/271_421.png"",""/tangrams/322_116.png"",""/tangrams/445_60.png""]","[""D3"",""A2"",""B4"",""C1""]",/tangrams/271_421.png,TRUE,/tangrams/271_421.png,01M0XEY6K6WQC3AV5JQQ7N3PQV,01M0XETPA4APE5RG3CX52WNZAV,1787697513574,NA,3
01M0XFEDHKXRZG2XFNXGJTV2NJ,01M0XF36KPEANMAA2FHR330CGB,training,14,1,3,48,12,3,/tangrams/445_116.png,C4,"[""/tangrams/371_421.png"",""/tangrams/445_116.png"",""/tangrams/271_244.png"",""/tangrams/322_60.png""]","[""D2"",""C4"",""A3"",""B1""]",/tangrams/445_116.png,TRUE,/tangrams/445_116.png,01M0XETGWM5RF9ZVRZXVQJA69R,01M0XES7WHX0W3E8PJ1JTK03A6,1787697694136,NA,2
