gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets
01JFE2F3G88EFKXAZ79VCSWHZ9,2,01JFE2F3F5HJQFAZ9GTKYACR7B,4,comp-within,terminated,"[[33,355],[33,359],[33,379],[33,358],[328,355],[328,359],[328,379],[328,358],[272,355],[272,359],[272,379],[272,358],[126,355],[126,359],[126,379],[126,358]]"
01JFE2F3GA5Q3S2M2VD0KJEAF0,2,01JFE2F3F5HJQFAZ9GTKYACR7B,4,noncomp,ended,"[[157,10],[174,330],[93,52],[147,363],[90,308],[268,102],[357,156],[244,317],[283,294],[326,319],[38,327],[469,42],[54,306],[425,320],[73,88],[57,362]]"
01JFE2F4ZKGQVWRPETSR6SJYE1,2,01JFE2F4Z1V3R2QPM6H32SYRG1,4,comp-between,ended,"[[326,358],[326,181],[326,257],[326,256],[361,358],[361,181],[361,257],[361,256],[461,358],[461,181],[461,257],[461,256],[348,358],[348,181],[348,257],[348,256]]"
01JFE2F4ZN1B35J4N7NYDFRJ14,NA,01JFE2F4Z1V3R2QPM6H32SYRG1,NA,NA,failed,NA
01JFE2F4ZPX2JA4S2YP9QSTGK7,2,01JFE2F4Z1V3R2QPM6H32SYRG1,4,noncomp,ended,"[[197,128],[260,171],[180,447],[314,249],[116,315],[115,208],[372,347],[120,389],[37,375],[414,8],[87,187],[23,46],[378,20],[267,12],[77,332],[59,452]]"
01JFE2F90H5X262M03P4JRA0D6,NA,01JFE2F8ZQD0649R7FH9QBDN15,NA,NA,terminated,NA
01JFE2F90KX4R2RTV1NM6TJZMT,NA,01JFE2F8ZQD0649R7FH9QBDN15,NA,NA,terminated,NA
01JFE2F90PJKMV2BN0DNS9DYXN,NA,01JFE2F8ZQD0649R7FH9QBDN15,NA,NA,terminated,NA
01JFE2F3G88EFKXAZ79H1Z0JEZ,2,01JFE2F3F5HJQFAZ9GTKYACR7B,4,comp-between,ended,"[[289,301],[289,438],[289,187],[289,328],[87,301],[87,438],[87,187],[87,328],[226,301],[226,438],[226,187],[226,328],[14,301],[14,438],[14,187],[14,328]]"
01JFE2F62GTGJW6PH1EHSDRF1P,2,01JFE2F6201T265AQ8QKTC3PAM,4,comp-between,ended,"[[117,153],[117,6],[117,397],[117,207],[360,153],[360,6],[360,397],[360,207],[30,153],[30,6],[30,397],[30,207],[103,153],[103,6],[103,397],[103,207]]"
01JFE2F62H1W5X4513KE5VFKC6,NA,01JFE2F6201T265AQ8QKTC3PAM,NA,NA,terminated,NA
01JFE2F62J0Y0NRB64DBCTBMP8,NA,01JFE2F6201T265AQ8QKTC3PAM,NA,NA,terminated,NA
