id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JFTQHPAH83EBTN2DZJTRWSEX,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:38.161199477Z,60,2024-12-23T21:42:38.161199477Z,true,2024-12-23T22:10:15.144700596Z,01JFTQCWEVJMRJ7X1FGENJ4774,2024-12-23T21:42:38.161199477Z,0,2024-12-23T21:42:38.161199477Z,true,2024-12-23T22:10:05.262607396Z,selection,2024-12-23T21:42:38.161199477Z,01JFTQHNJETDGQEHBSCJX7PTG8,2024-12-23T21:42:38.161199477Z,true,2024-12-23T22:10:05.243917266Z,true,2024-12-23T22:10:05.276157025Z,01JFTQHPADJFR1Q8H4J0XJWR71,2024-12-23T21:42:38.161199477Z
01JFTQH4P4CXSJ2HDCCTRREKPR,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:20.10048788Z,3,2024-12-23T21:42:20.10048788Z,false,2024-12-23T21:42:20.10048788Z,01JFTQCWETJ81EPRJHTFGJ2WYS,2024-12-23T21:42:20.10048788Z,1,2024-12-23T21:42:20.10048788Z,,,feedback,2024-12-23T21:42:20.10048788Z,01JFTQH4BHTBHBRH58842CWCY8,2024-12-23T21:42:20.10048788Z,false,2024-12-23T21:42:20.10048788Z,,,01JFTQH4P2456CK8V4G0M60JCJ,2024-12-23T21:42:20.10048788Z
01JFTQH4W0T5AK28FSEHFJ8ZBP,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:20.288165825Z,60,2024-12-23T21:42:20.288165825Z,false,2024-12-23T21:42:20.288165825Z,01JFTQCWETJ81EPRJHTFGJ2WYS,2024-12-23T21:42:20.288165825Z,0,2024-12-23T21:42:20.288165825Z,,,selection,2024-12-23T21:42:20.288165825Z,01JFTQH4B270XR175DRGWFQ2DP,2024-12-23T21:42:20.288165825Z,false,2024-12-23T21:42:20.288165825Z,,,01JFTQH4VXRNCCA2F5DMBSMFM6,2024-12-23T21:42:20.288165825Z
01JFTQHP8FJ91WH84RT2FFN1D8,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:38.095944663Z,60,2024-12-23T21:42:38.095944663Z,true,2024-12-23T22:07:46.948456904Z,01JFTQCWEVJMRJ7X1FGENJ4774,2024-12-23T21:42:38.095944663Z,0,2024-12-23T21:42:38.095944663Z,true,2024-12-23T22:07:30.523163007Z,selection,2024-12-23T21:42:38.095944663Z,01JFTQHNKGB92PXJQVFERBCCKX,2024-12-23T21:42:38.095944663Z,true,2024-12-23T22:07:30.511547845Z,true,2024-12-23T22:07:30.531651241Z,01JFTQHP8D9EFKHKKSB5P3AK5H,2024-12-23T21:42:38.095944663Z
01JFTQHPAJYK88WW4RP9VCF7Q7,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:38.162221205Z,3,2024-12-23T21:42:38.162221205Z,true,2024-12-23T22:10:18.190416071Z,01JFTQCWEVJMRJ7X1FGENJ4774,2024-12-23T21:42:38.162221205Z,1,2024-12-23T21:42:38.162221205Z,true,2024-12-23T22:10:15.173662317Z,feedback,2024-12-23T21:42:38.162221205Z,01JFTQHNJETDGQEHBSCJX7PTG8,2024-12-23T21:42:38.162221205Z,true,2024-12-23T22:10:15.157385226Z,true,2024-12-23T22:10:15.18877741Z,01JFTQHPAF2F4S01CHX14A82W7,2024-12-23T21:42:38.162221205Z
01JFTQHNVBNJXES2QJ2ZZ7E185,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:37.675290949Z,60,2024-12-23T21:42:37.675290949Z,true,2024-12-23T21:52:26.694700741Z,01JFTQCWEVJMRJ7X1FGENJ4774,2024-12-23T21:42:37.675290949Z,0,2024-12-23T21:42:37.675290949Z,true,2024-12-23T21:51:42.262325116Z,selection,2024-12-23T21:42:37.675290949Z,01JFTQHNHPZTT42YZF3N2P0D7M,2024-12-23T21:42:37.675290949Z,true,2024-12-23T21:51:42.247376946Z,true,2024-12-23T21:51:42.271495511Z,01JFTQHNV74PCKDEBJY84H48AM,2024-12-23T21:42:37.675290949Z
01JFTQHP0XP2YC7K5K8YKMKGX6,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:37.8535354Z,60,2024-12-23T21:42:37.8535354Z,true,2024-12-23T22:00:25.797774978Z,01JFTQCWEVJMRJ7X1FGENJ4774,2024-12-23T21:42:37.8535354Z,0,2024-12-23T21:42:37.8535354Z,true,2024-12-23T21:59:57.81970164Z,selection,2024-12-23T21:42:37.8535354Z,01JFTQHNKNRCTPXV6672CGTD4Q,2024-12-23T21:42:37.8535354Z,true,2024-12-23T21:59:57.808499926Z,true,2024-12-23T21:59:57.83191802Z,01JFTQHP0T7WZ5AWKFDDPGBQ4B,2024-12-23T21:42:37.8535354Z
01JFTQHP6E4FZNX5PS2KMECT5S,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:38.030386059Z,3,2024-12-23T21:42:38.030386059Z,true,2024-12-23T22:06:13.530566615Z,01JFTQCWEVJMRJ7X1FGENJ4774,2024-12-23T21:42:38.030386059Z,1,2024-12-23T21:42:38.030386059Z,true,2024-12-23T22:06:10.516294282Z,feedback,2024-12-23T21:42:38.030386059Z,01JFTQHNKCN4KSGS9GBJ1ZTT9R,2024-12-23T21:42:38.030386059Z,true,2024-12-23T22:06:10.501205956Z,true,2024-12-23T22:06:10.530690469Z,01JFTQHP6BMYX42VCQE8HPPAFG,2024-12-23T21:42:38.030386059Z
01JFTQHP9X0GJTR31TS47G7SM8,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:38.141444096Z,60,2024-12-23T21:42:38.141444096Z,true,2024-12-23T22:09:47.96990547Z,01JFTQCWEVJMRJ7X1FGENJ4774,2024-12-23T21:42:38.141444096Z,0,2024-12-23T21:42:38.141444096Z,true,2024-12-23T22:09:36.452788733Z,selection,2024-12-23T21:42:38.141444096Z,01JFTQHNJGZZMDZXWNB9ZY6SZW,2024-12-23T21:42:38.141444096Z,true,2024-12-23T22:09:36.43893134Z,true,2024-12-23T22:09:36.465191711Z,01JFTQHP9SX23NMRN26FBCEKEM,2024-12-23T21:42:38.141444096Z
01JFTQH4EM042C6ZZ4K3NZQBBY,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:19.860047866Z,60,2024-12-23T21:42:19.860047866Z,true,2024-12-23T21:44:20.266554428Z,01JFTQCWETJ81EPRJHTFGJ2WYS,2024-12-23T21:42:19.860047866Z,0,2024-12-23T21:42:19.860047866Z,true,2024-12-23T21:43:25.836567667Z,selection,2024-12-23T21:42:19.860047866Z,01JFTQH49W5T8YNZH1KTP0FVQV,2024-12-23T21:42:19.860047866Z,true,2024-12-23T21:43:25.822282127Z,true,2024-12-23T21:43:25.845479786Z,01JFTQH4EFQS57VJT1D9YEPJT9,2024-12-23T21:42:19.860047866Z
