id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,serverStartedAt,serverStartedAtLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01M0TTNRYJKZK07SQKHQHGQB5Y,01M0TSZGJXR0N6DNTNARWRMFQ4,2026-08-24T21:26:27.026393618Z,3,2026-08-24T21:26:27.026393618Z,false,2026-08-24T21:26:27.026393618Z,01M0TSZGKJQW5S4GCP9150DNN9,2026-08-24T21:26:27.026393618Z,1,2026-08-24T21:26:27.026393618Z,,,feedback,2026-08-24T21:26:27.026393618Z,01M0TTNRJBY35V1V7SGKC29P7S,2026-08-24T21:26:27.026393618Z,,,false,2026-08-24T21:26:27.026393618Z,,,01M0TTNRYCWB3A0DNB2FVV6D62,2026-08-24T21:26:27.026393618Z
01M0TTYSCXYKT3FMTDAG8ZJXA7,01M0TTMTH8JPTHXWGXYEY1VFR8,2026-08-24T21:31:22.397607177Z,3,2026-08-24T21:31:22.397607177Z,false,2026-08-24T21:31:22.397607177Z,01M0TTMWMDPGAHQRDA7BZJ8FEZ,2026-08-24T21:31:22.397607177Z,1,2026-08-24T21:31:22.397607177Z,,,feedback,2026-08-24T21:31:22.397607177Z,01M0TTYQ4J33TAP4R67Z3HWZ3B,2026-08-24T21:31:22.397607177Z,,,false,2026-08-24T21:31:22.397607177Z,,,01M0TTYSCHR29XV26208P7CD91,2026-08-24T21:31:22.397607177Z
01M0TTKE3JHZASVCJH9MEJ241K,01M0TSZGJXR0N6DNTNARWRMFQ4,2026-08-24T21:25:10.387077405Z,3,2026-08-24T21:25:10.387077405Z,false,2026-08-24T21:25:10.387077405Z,01M0TSZGKM72FFW193EYG47F25,2026-08-24T21:25:10.387077405Z,1,2026-08-24T21:25:10.387077405Z,,,feedback,2026-08-24T21:25:10.387077405Z,01M0TTKDEMZ7047V07AP8BV1GK,2026-08-24T21:25:10.387077405Z,,,false,2026-08-24T21:25:10.387077405Z,,,01M0TTKE3DG09FJ27G5NT55VXQ,2026-08-24T21:25:10.387077405Z
01M0TTTPX3G28PJKTZN6AW681P,01M0TSZV7X3D77NKMM5CDCW4Z6,2026-08-24T21:29:08.771245258Z,3,2026-08-24T21:29:08.771245258Z,true,2026-08-24T21:41:31.303707618Z,01M0TSZV8KEDQHAT4X33M1GG1C,2026-08-24T21:29:08.771245258Z,1,2026-08-24T21:29:08.771245258Z,true,2026-08-24T21:41:28.282083358Z,feedback,2026-08-24T21:29:08.771245258Z,01M0TTTPEVD8VTDJ3K40Y6JM1E,2026-08-24T21:29:08.771245258Z,1787607688290,2026-08-24T21:41:28.291324951Z,true,2026-08-24T21:41:28.250858834Z,true,2026-08-24T21:41:28.30065998Z,01M0TTTPWSDVT0RVW6CD0KAX9P,2026-08-24T21:29:08.771245258Z
01M0TV7KTJKJBA38XB7S6XPQQG,01M0TTMTH8JPTHXWGXYEY1VFR8,2026-08-24T21:36:11.602997811Z,3,2026-08-24T21:36:11.602997811Z,true,2026-08-24T21:57:30.442678221Z,01M0TTMWM9GSP2NP0T4CET96EB,2026-08-24T21:36:11.602997811Z,1,2026-08-24T21:36:11.602997811Z,true,2026-08-24T21:57:27.399822933Z,feedback,2026-08-24T21:36:11.602997811Z,01M0TV7K0SH0YWD0PCFWXCP4T8,2026-08-24T21:36:11.602997811Z,1787608647411,2026-08-24T21:57:27.41244388Z,true,2026-08-24T21:57:27.349548245Z,true,2026-08-24T21:57:27.427772479Z,01M0TV7KT9K2AW93VMTRF6Y782,2026-08-24T21:36:11.602997811Z
01M0TV7M4486KC8YM6YRY8HH58,01M0TTMTH8JPTHXWGXYEY1VFR8,2026-08-24T21:36:11.908584451Z,60,2026-08-24T21:36:11.908584451Z,true,2026-08-24T22:00:19.121765781Z,01M0TTMWM9GSP2NP0T4CET96EB,2026-08-24T21:36:11.908584451Z,0,2026-08-24T21:36:11.908584451Z,true,2026-08-24T22:00:09.140540792Z,selection,2026-08-24T21:36:11.908584451Z,01M0TV7JY9S26C1KK358SFDASN,2026-08-24T21:36:11.908584451Z,1787608809160,2026-08-24T22:00:09.161572376Z,true,2026-08-24T22:00:09.098687938Z,true,2026-08-24T22:00:09.178351682Z,01M0TV7M3X5387E62WRXK6XFN9,2026-08-24T21:36:11.908584451Z
01M0TT9M0XVC99GGZ3F4Q2QFC7,01M0TSZGJXR0N6DNTNARWRMFQ4,2026-08-24T21:19:48.765746928Z,3,2026-08-24T21:19:48.765746928Z,false,2026-08-24T21:19:48.765746928Z,01M0TSZGKE32G3R2H2EPQFBQNN,2026-08-24T21:19:48.765746928Z,1,2026-08-24T21:19:48.765746928Z,,,feedback,2026-08-24T21:19:48.765746928Z,01M0TT9KJXDZ9RTR7WSS1FKRXS,2026-08-24T21:19:48.765746928Z,,,false,2026-08-24T21:19:48.765746928Z,,,01M0TT9M0QJG5J149D3HZCDKZS,2026-08-24T21:19:48.765746928Z
01M0TTEZ41P2XAN43XSCJPVHYR,01M0TSZEX52H0PZDJFB4JNEAFW,2026-08-24T21:22:43.969786882Z,3,2026-08-24T21:22:43.969786882Z,true,2026-08-24T21:57:38.204635309Z,01M0TSZEY44B7XSP574QH2WQPJ,2026-08-24T21:22:43.969786882Z,1,2026-08-24T21:22:43.969786882Z,true,2026-08-24T21:57:35.172321589Z,feedback,2026-08-24T21:22:43.969786882Z,01M0TTEY75JJ7H2PWJ2880EH40,2026-08-24T21:22:43.969786882Z,1787608655186,2026-08-24T21:57:35.187617245Z,true,2026-08-24T21:57:35.123156003Z,true,2026-08-24T21:57:35.208295359Z,01M0TTEZ3Y6JJG1M05FGGMC7AC,2026-08-24T21:22:43.969786882Z
01M0TTTQPYG7AD9R5QHPQR3FBZ,01M0TSZV7X3D77NKMM5CDCW4Z6,2026-08-24T21:29:09.598974321Z,3,2026-08-24T21:29:09.598974321Z,true,2026-08-24T21:59:31.027790515Z,01M0TSZV8KEDQHAT4X33M1GG1C,2026-08-24T21:29:09.598974321Z,1,2026-08-24T21:29:09.598974321Z,true,2026-08-24T21:59:27.992571917Z,feedback,2026-08-24T21:29:09.598974321Z,01M0TTTPRT0KJ8VKW180HK0X4Q,2026-08-24T21:29:09.598974321Z,1787608768008,2026-08-24T21:59:28.009985672Z,true,2026-08-24T21:59:27.943767156Z,true,2026-08-24T21:59:28.029445977Z,01M0TTTQPNGS1PBY5F67Y8F1QQ,2026-08-24T21:29:09.598974321Z
01M0TTTRN3T4YSZT74J13ZMZKZ,01M0TSZV7X3D77NKMM5CDCW4Z6,2026-08-24T21:29:10.563692601Z,3,2026-08-24T21:29:10.563692601Z,true,2026-08-24T22:14:35.450486824Z,01M0TSZV8KEDQHAT4X33M1GG1C,2026-08-24T21:29:10.563692601Z,1,2026-08-24T21:29:10.563692601Z,true,2026-08-24T22:14:32.378800124Z,feedback,2026-08-24T21:29:10.563692601Z,01M0TTTPVCBKQZRQZN9J9GHT95,2026-08-24T21:29:10.563692601Z,1787609672410,2026-08-24T22:14:32.4129237Z,true,2026-08-24T22:14:32.302372953Z,true,2026-08-24T22:14:32.449005678Z,01M0TTTRMR18S241BRCS5A0YT2,2026-08-24T21:29:10.563692601Z
01M0TTYQNWXGCGCDQ5GRENKN2G,01M0TTMTH8JPTHXWGXYEY1VFR8,2026-08-24T21:31:20.636257976Z,60,2026-08-24T21:31:20.636257976Z,true,2026-08-24T21:46:14.488350452Z,01M0TTMWMDPGAHQRDA7BZJ8FEZ,2026-08-24T21:31:20.636257976Z,0,2026-08-24T21:31:20.636257976Z,true,2026-08-24T21:45:14.450663933Z,selection,2026-08-24T21:31:20.636257976Z,01M0TTYPYGZDYWHA5J93E4YJ54,2026-08-24T21:31:20.636257976Z,1787607914461,2026-08-24T21:45:14.463324772Z,true,2026-08-24T21:45:14.403863528Z,true,2026-08-24T21:45:14.474832275Z,01M0TTYQNMKDCWEW0YWEXK6NSV,2026-08-24T21:31:20.636257976Z
01M0TV7MFEF84XTMQC1YH1FKCJ,01M0TTMTH8JPTHXWGXYEY1VFR8,2026-08-24T21:36:12.270680059Z,60,2026-08-24T21:36:12.270680059Z,true,2026-08-24T22:03:58.910965167Z,01M0TTMWM9GSP2NP0T4CET96EB,2026-08-24T21:36:12.270680059Z,0,2026-08-24T21:36:12.270680059Z,true,2026-08-24T22:03:38.738073595Z,selection,2026-08-24T21:36:12.270680059Z,01M0TV7JS7955894M0GKRCQAS6,2026-08-24T21:36:12.270680059Z,1787609018755,2026-08-24T22:03:38.757305985Z,true,2026-08-24T22:03:38.690493776Z,true,2026-08-24T22:03:38.77049964Z,01M0TV7MFA6CMNWHXBFVQH8T3V,2026-08-24T21:36:12.270680059Z
01M0TTK1C3JX2KQYQND2VN860N,01M0TSZEX52H0PZDJFB4JNEAFW,2026-08-24T21:24:57.347390567Z,3,2026-08-24T21:24:57.347390567Z,true,2026-08-24T21:45:38.184603353Z,01M0TSZEY54T11A9AMGVA6T4ZB,2026-08-24T21:24:57.347390567Z,1,2026-08-24T21:24:57.347390567Z,true,2026-08-24T21:45:35.128059119Z,feedback,2026-08-24T21:24:57.347390567Z,01M0TTK10K7BJJNZGSYM0XZVS0,2026-08-24T21:24:57.347390567Z,1787607935148,2026-08-24T21:45:35.150789075Z,true,2026-08-24T21:45:35.090177802Z,true,2026-08-24T21:45:35.172126888Z,01M0TTK1C0JBHF66G08QP74R5V,2026-08-24T21:24:57.347390567Z
01M0TTK1Q2V7A3X2R0JYFSJ78D,01M0TSZEX52H0PZDJFB4JNEAFW,2026-08-24T21:24:57.698654445Z,60,2026-08-24T21:24:57.698654445Z,true,2026-08-24T22:01:17.981042661Z,01M0TSZEY54T11A9AMGVA6T4ZB,2026-08-24T21:24:57.698654445Z,0,2026-08-24T21:24:57.698654445Z,true,2026-08-24T22:00:24.411272864Z,selection,2026-08-24T21:24:57.698654445Z,01M0TTK16KQYT2X97TRZWMF19X,2026-08-24T21:24:57.698654445Z,1787608824425,2026-08-24T22:00:24.426491542Z,true,2026-08-24T22:00:24.349540896Z,true,2026-08-24T22:00:24.441317839Z,01M0TTK1PVB4QZ0E20ZEEJCFMT,2026-08-24T21:24:57.698654445Z
