gameID,batchID,contextStructure,contextSize,status,setId,setIndex,setReplicate,setSlotInReplicate,compSetId,rotation,numPretestItems,numPosttestItems,describeSecondsPerItem,stimulusSchemaVersion,trainingLabels,endedInactive,trainingRoundsCompleted,trainingRoundsExpected,endedReason
01M1HNZ4BE44DHGKYPWAFCFKFQ,01M1HNZ4AQMW3CQQ0JKW0NFD55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M1HNZ7HG9FM9B308W4F38HV9,01M1HNZ7H1QQ8YFY0MR8Z98T8T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M1HNZ6677RWDEVPFK38R4HBH,01M1HNZ65RXT848EG5X679ZRMG,comp-between,4,ended,4,1,0,0,4,0,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M1HNZ7HDN6NT9ENNGGR9B8JJ,01M1HNZ7H1QQ8YFY0MR8Z98T8T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M1HNZFMHJVBG3FH9MYVSDQDF,01M1HNZFKWPZFQFMFYNFGEB3S4,comp-within,4,ended,3,0,0,0,3,270,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M1HNZK6GZFFJ98G9C97SZE0A,01M1HNZK5YY3RJ5Y39H4HTG2NP,comp-within,4,ended,3,0,0,1,3,270,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",TRUE,5,48,timeOut
01M1HNZK6HB8AMTV47EJ1Q8XDP,01M1HNZK5YY3RJ5Y39H4HTG2NP,noncomp,4,ended,3,0,0,1,3,270,8,20,60,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",FALSE,48,48,end of game
01M1HPX189NR0FRV9T4N38XQRH,01M1HPX17643FS3QP5ASTF88G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M1HNZ4BGDMTMWYBCXCP1XX2S,01M1HNZ4AQMW3CQQ0JKW0NFD55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M1HNZ4BH9CEPKJB2WK1FF6FZ,01M1HNZ4AQMW3CQQ0JKW0NFD55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M1HNZ66BCC5C4CZAZZWHY7T3,01M1HNZ65RXT848EG5X679ZRMG,noncomp,4,ended,4,1,0,0,4,0,8,20,60,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",FALSE,48,48,end of game
01M1HNZFMBG6JCPAHH8MQHWYV4,01M1HNZFKWPZFQFMFYNFGEB3S4,comp-between,4,ended,3,0,0,0,3,270,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M1HPX186D7APS3NTNBEWJNGG,01M1HPX17643FS3QP5ASTF88G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M1HNZ669FEBMMFEN8CY4CN59,01M1HNZ65RXT848EG5X679ZRMG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M1HNZ7HJEQPEYJ9VDNGQFHBJ,01M1HNZ7H1QQ8YFY0MR8Z98T8T,noncomp,4,ended,4,1,0,1,4,0,8,20,60,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",FALSE,48,48,end of game
01M1HNZFMDENM6D0TD5PFJYWRC,01M1HNZFKWPZFQFMFYNFGEB3S4,noncomp,4,ended,3,0,0,0,3,270,8,20,60,exp2-1,"[""A1"",""B2"",""C3"",""D4"",""F1"",""F2"",""F3"",""F4"",""F5"",""F6"",""F7"",""F8""]",FALSE,48,48,end of game
01M1HNZK6DPR4P92Y2T8F5XDRV,01M1HNZK5YY3RJ5Y39H4HTG2NP,comp-between,4,ended,3,0,0,1,3,270,20,20,60,exp2-1,"[""A2"",""A3"",""A4"",""B1"",""B3"",""B4"",""C1"",""C2"",""C4"",""D1"",""D2"",""D3""]",FALSE,48,48,end of game
01M1HPX17YJAYFCJ1ERQ8NEBJH,01M1HPX17643FS3QP5ASTF88G8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
