gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets,rotation
01JGZ1J1S9HRZETTFT0YBZ9QYK,2,01JGZ1J1RQ9RJWEWNQW6SZWDX9,4,comp-between,ended,"[[359,159],[359,216],[359,305],[359,71],[207,159],[207,216],[207,305],[207,71],[299,159],[299,216],[299,305],[299,71],[402,159],[402,216],[402,305],[402,71]]",180
01JGZ1J4WMY7MA81TRZB8H2YG3,2,01JGZ1J4W56VM27P6SXN8FAEF4,4,noncomp,ended,"[[422,236],[72,251],[85,112],[221,130],[101,432],[115,220],[279,358],[402,269],[268,300],[359,159],[354,18],[180,241],[189,309],[169,365],[68,12],[292,302]]",90
01JGZ1JTFN1FD5A54BCQMJHBNZ,2,01JGZ1JTF0VX78WKWJN6R8GA1B,4,comp-between,ended,"[[389,212],[389,373],[389,348],[389,248],[75,212],[75,373],[75,348],[75,248],[143,212],[143,373],[143,348],[143,248],[240,212],[240,373],[240,348],[240,248]]",90
01JGZ3FW5F9PB6GEQ6P3RC6MSC,2,01JGZ3FW0DTMTAGQ58VA8P6MEE,4,noncomp,ended,"[[343,388],[298,143],[25,203],[265,219],[177,330],[332,183],[46,217],[450,407],[293,34],[454,121],[52,159],[387,466],[119,1],[349,314],[148,212],[96,344]]",270
01JGZ1JZ8NW40KBCX0V75X3ASW,2,01JGZ1JZ88SWYYRG2SW3JHB9A4,4,comp-between,ended,"[[41,148],[41,450],[41,69],[41,369],[38,148],[38,450],[38,69],[38,369],[455,148],[455,450],[455,69],[455,369],[152,148],[152,450],[152,69],[152,369]]",270
01JGZ1HQ3BXW69RFKVC55KXV7B,2,01JGZ1HQ2ACP5KAXQKEVQPZFA0,4,comp-within,ended,"[[396,442],[396,432],[396,376],[396,227],[253,442],[253,432],[253,376],[253,227],[373,442],[373,432],[373,376],[373,227],[12,442],[12,432],[12,376],[12,227]]",270
01JGZ1J1SAQ65EVEEREPVNZ6VV,2,01JGZ1J1RQ9RJWEWNQW6SZWDX9,4,comp-within,ended,"[[36,57],[36,334],[36,203],[36,194],[408,57],[408,334],[408,203],[408,194],[18,57],[18,334],[18,203],[18,194],[118,57],[118,334],[118,203],[118,194]]",270
01JGZ1J4WKTCRGQS8R8214JJH2,2,01JGZ1J4W56VM27P6SXN8FAEF4,4,comp-between,ended,"[[118,240],[118,407],[118,339],[118,469],[303,240],[303,407],[303,339],[303,469],[302,240],[302,407],[302,339],[302,469],[231,240],[231,407],[231,339],[231,469]]",180
01JGZ2J71XN8Q7J627EBMRDRH5,2,01JGZ2J6YWS750GRPJ6FKAYERT,4,comp-within,ended,"[[330,467],[330,420],[330,5],[330,185],[23,467],[23,420],[23,5],[23,185],[32,467],[32,420],[32,5],[32,185],[314,467],[314,420],[314,5],[314,185]]",180
01JGZ3D7SK1X8GJSFVC9ZH6F7D,NA,01JGZ3D6RZSF9DMGSDWTFXFBDS,NA,NA,terminated,NA,NA
01JGZ1J4WKTCRGQS8R8HDNJ96R,2,01JGZ1J4W56VM27P6SXN8FAEF4,4,comp-within,ended,"[[65,48],[65,272],[65,61],[65,408],[415,48],[415,272],[415,61],[415,408],[193,48],[193,272],[193,61],[193,408],[63,48],[63,272],[63,61],[63,408]]",0
01JGZ1J6QX7N1Q5REWV6S61X60,2,01JGZ1J6QFQZJ1HAP3QKP7EGZG,4,comp-between,ended,"[[289,165],[289,418],[289,13],[289,308],[139,165],[139,418],[139,13],[139,308],[343,165],[343,418],[343,13],[343,308],[47,165],[47,418],[47,13],[47,308]]",180
01JGZ1HQ3BXW69RFKVBQ3Y8K4V,2,01JGZ1HQ2ACP5KAXQKEVQPZFA0,4,comp-between,ended,"[[436,178],[436,52],[436,356],[436,260],[83,178],[83,52],[83,356],[83,260],[349,178],[349,52],[349,356],[349,260],[334,178],[334,52],[334,356],[334,260]]",270
01JGZ1J6QWPAFKR4CPC8THA3K7,2,01JGZ1J6QFQZJ1HAP3QKP7EGZG,4,noncomp,ended,"[[325,50],[465,426],[228,276],[406,442],[374,292],[42,81],[55,389],[12,360],[415,83],[79,187],[196,448],[238,463],[158,56],[206,270],[239,410],[68,204]]",0
01JGZ1JTFPNZ10B2SXBEYNMS9G,2,01JGZ1JTF0VX78WKWJN6R8GA1B,4,noncomp,ended,"[[214,421],[361,25],[20,437],[258,107],[98,374],[293,174],[151,253],[138,24],[100,18],[428,305],[145,267],[317,382],[264,161],[183,33],[12,72],[70,434]]",270
01JGZ2J7237RK699F2RP9MBZAC,2,01JGZ2J6YWS750GRPJ6FKAYERT,4,noncomp,ended,"[[389,237],[140,33],[250,57],[432,262],[315,159],[345,91],[176,121],[48,231],[233,131],[468,406],[448,304],[175,292],[16,299],[181,84],[457,39],[101,24]]",180
01JGZ2J71MT2BKRWNWKHE4RGRR,NA,01JGZ2J6YWS750GRPJ6FKAYERT,NA,NA,terminated,NA,NA
01JGZ3D7TD3RFHY7WTEQP12BVJ,NA,01JGZ3D6RZSF9DMGSDWTFXFBDS,NA,NA,terminated,NA,NA
01JGZ3D7VA18B29B4ENER0W1NE,NA,01JGZ3D6RZSF9DMGSDWTFXFBDS,NA,NA,terminated,NA,NA
01JGZ1HQ3D5SE9KTKE87QW9STN,2,01JGZ1HQ2ACP5KAXQKEVQPZFA0,4,noncomp,ended,"[[420,52],[436,13],[209,170],[180,294],[36,145],[30,337],[268,143],[343,269],[176,75],[45,457],[279,99],[163,358],[325,3],[132,63],[318,327],[11,248]]",270
01JGZ1J6QWPAFKR4CPC25F4W67,2,01JGZ1J6QFQZJ1HAP3QKP7EGZG,4,comp-within,ended,"[[323,22],[323,69],[323,404],[323,5],[207,22],[207,69],[207,404],[207,5],[237,22],[237,69],[237,404],[237,5],[86,22],[86,69],[86,404],[86,5]]",0
01JGZ1JZ8NW40KBCX0V187VCKF,2,01JGZ1JZ88SWYYRG2SW3JHB9A4,4,comp-within,ended,"[[75,270],[75,254],[75,252],[75,329],[426,270],[426,254],[426,252],[426,329],[57,270],[57,254],[57,252],[57,329],[353,270],[353,254],[353,252],[353,329]]",0
01JGZ1JZ8NW40KBCX0VGZ5C48M,2,01JGZ1JZ88SWYYRG2SW3JHB9A4,4,noncomp,ended,"[[262,377],[145,446],[465,342],[415,427],[0,163],[381,93],[52,78],[311,32],[317,61],[81,334],[405,131],[259,12],[161,227],[238,57],[383,36],[438,222]]",270
01JGZ1J1SBA646C45Q9V7SKXN9,2,01JGZ1J1RQ9RJWEWNQW6SZWDX9,4,noncomp,ended,"[[265,277],[21,258],[12,139],[114,297],[184,97],[333,45],[456,8],[404,147],[432,105],[311,332],[18,134],[225,360],[50,189],[368,149],[218,465],[25,141]]",270
01JGZ1JTFPNZ10B2SXAYHEV9EZ,2,01JGZ1JTF0VX78WKWJN6R8GA1B,4,comp-within,ended,"[[9,233],[9,87],[9,169],[9,156],[146,233],[146,87],[146,169],[146,156],[229,233],[229,87],[229,169],[229,156],[423,233],[423,87],[423,169],[423,156]]",0
